unit,co_nco,sector,finpos,na_item,geotime,date,value
PC_GDP,NCO,S12,LIAB,F,AT,1995-01-01,271
PC_GDP,NCO,S12,LIAB,F,AT,1996-01-01,282
PC_GDP,NCO,S12,LIAB,F,AT,1997-01-01,291
PC_GDP,NCO,S12,LIAB,F,AT,1998-01-01,309
PC_GDP,NCO,S12,LIAB,F,AT,1999-01-01,337
PC_GDP,NCO,S12,LIAB,F,AT,2000-01-01,354
PC_GDP,NCO,S12,LIAB,F,AT,2001-01-01,360
PC_GDP,NCO,S12,LIAB,F,AT,2002-01-01,352
PC_GDP,NCO,S12,LIAB,F,AT,2003-01-01,370
PC_GDP,NCO,S12,LIAB,F,AT,2004-01-01,393
PC_GDP,NCO,S12,LIAB,F,AT,2005-01-01,459
PC_GDP,NCO,S12,LIAB,F,AT,2006-01-01,478
PC_GDP,NCO,S12,LIAB,F,AT,2007-01-01,500
PC_GDP,NCO,S12,LIAB,F,AT,2008-01-01,536
PC_GDP,NCO,S12,LIAB,F,AT,2009-01-01,536
PC_GDP,NCO,S12,LIAB,F,AT,2010-01-01,511
PC_GDP,NCO,S12,LIAB,F,AT,2011-01-01,495
PC_GDP,NCO,S12,LIAB,F,AT,2012-01-01,484
PC_GDP,NCO,S12,LIAB,F,AT,2013-01-01,461
PC_GDP,NCO,S12,LIAB,F,AT,2014-01-01,444
PC_GDP,NCO,S12,LIAB,F,AT,2015-01-01,429
PC_GDP,NCO,S12,LIAB,F,AT,2016-01-01,404
PC_GDP,NCO,S12,LIAB,F,AT,2017-01-01,396
PC_GDP,NCO,S12,LIAB,F,BE,1995-01-01,363
PC_GDP,NCO,S12,LIAB,F,BE,1996-01-01,390
PC_GDP,NCO,S12,LIAB,F,BE,1997-01-01,404
PC_GDP,NCO,S12,LIAB,F,BE,1998-01-01,451
PC_GDP,NCO,S12,LIAB,F,BE,1999-01-01,466
PC_GDP,NCO,S12,LIAB,F,BE,2000-01-01,451
PC_GDP,NCO,S12,LIAB,F,BE,2001-01-01,471
PC_GDP,NCO,S12,LIAB,F,BE,2002-01-01,448
PC_GDP,NCO,S12,LIAB,F,BE,2003-01-01,484
PC_GDP,NCO,S12,LIAB,F,BE,2004-01-01,519
PC_GDP,NCO,S12,LIAB,F,BE,2005-01-01,579
PC_GDP,NCO,S12,LIAB,F,BE,2006-01-01,614
PC_GDP,NCO,S12,LIAB,F,BE,2007-01-01,666
PC_GDP,NCO,S12,LIAB,F,BE,2008-01-01,620
PC_GDP,NCO,S12,LIAB,F,BE,2009-01-01,632
PC_GDP,NCO,S12,LIAB,F,BE,2010-01-01,593
PC_GDP,NCO,S12,LIAB,F,BE,2011-01-01,602
PC_GDP,NCO,S12,LIAB,F,BE,2012-01-01,559
PC_GDP,NCO,S12,LIAB,F,BE,2013-01-01,557
PC_GDP,NCO,S12,LIAB,F,BE,2014-01-01,565
PC_GDP,NCO,S12,LIAB,F,BE,2015-01-01,565
PC_GDP,NCO,S12,LIAB,F,BE,2016-01-01,562
PC_GDP,NCO,S12,LIAB,F,BE,2017-01-01,547
PC_GDP,NCO,S12,LIAB,F,BG,1995-01-01,131
PC_GDP,NCO,S12,LIAB,F,BG,1996-01-01,218
PC_GDP,NCO,S12,LIAB,F,BG,1997-01-01,81
PC_GDP,NCO,S12,LIAB,F,BG,1998-01-01,61
PC_GDP,NCO,S12,LIAB,F,BG,1999-01-01,77
PC_GDP,NCO,S12,LIAB,F,BG,2000-01-01,88
PC_GDP,NCO,S12,LIAB,F,BG,2001-01-01,85
PC_GDP,NCO,S12,LIAB,F,BG,2002-01-01,83
PC_GDP,NCO,S12,LIAB,F,BG,2003-01-01,95
PC_GDP,NCO,S12,LIAB,F,BG,2004-01-01,115
PC_GDP,NCO,S12,LIAB,F,BG,2005-01-01,136
PC_GDP,NCO,S12,LIAB,F,BG,2006-01-01,181
PC_GDP,NCO,S12,LIAB,F,BG,2007-01-01,196
PC_GDP,NCO,S12,LIAB,F,BG,2008-01-01,170
PC_GDP,NCO,S12,LIAB,F,BG,2009-01-01,171
PC_GDP,NCO,S12,LIAB,F,BG,2010-01-01,158
PC_GDP,NCO,S12,LIAB,F,BG,2011-01-01,154
PC_GDP,NCO,S12,LIAB,F,BG,2012-01-01,167
PC_GDP,NCO,S12,LIAB,F,BG,2013-01-01,175
PC_GDP,NCO,S12,LIAB,F,BG,2014-01-01,181
PC_GDP,NCO,S12,LIAB,F,BG,2015-01-01,181
PC_GDP,NCO,S12,LIAB,F,BG,2016-01-01,190
PC_GDP,NCO,S12,LIAB,F,BG,2017-01-01,179
PC_GDP,NCO,S12,LIAB,F,CY,1995-01-01,273
PC_GDP,NCO,S12,LIAB,F,CY,1996-01-01,307
PC_GDP,NCO,S12,LIAB,F,CY,1997-01-01,314
PC_GDP,NCO,S12,LIAB,F,CY,1998-01-01,330
PC_GDP,NCO,S12,LIAB,F,CY,1999-01-01,471
PC_GDP,NCO,S12,LIAB,F,CY,2000-01-01,376
PC_GDP,NCO,S12,LIAB,F,CY,2001-01-01,377
PC_GDP,NCO,S12,LIAB,F,CY,2002-01-01,372
PC_GDP,NCO,S12,LIAB,F,CY,2003-01-01,384
PC_GDP,NCO,S12,LIAB,F,CY,2004-01-01,428
PC_GDP,NCO,S12,LIAB,F,CY,2005-01-01,537
PC_GDP,NCO,S12,LIAB,F,CY,2006-01-01,644
PC_GDP,NCO,S12,LIAB,F,CY,2007-01-01,749
PC_GDP,NCO,S12,LIAB,F,CY,2008-01-01,1488
PC_GDP,NCO,S12,LIAB,F,CY,2009-01-01,1691
