unit,co_nco,sector,finpos,na_item,geotime,date,value
MIO_NAC,NCO,S12,LIAB,F,AT,1995-01-01,479107
MIO_NAC,NCO,S12,LIAB,F,AT,1996-01-01,516240
MIO_NAC,NCO,S12,LIAB,F,AT,1997-01-01,550546
MIO_NAC,NCO,S12,LIAB,F,AT,1998-01-01,607681
MIO_NAC,NCO,S12,LIAB,F,AT,1999-01-01,688613
MIO_NAC,NCO,S12,LIAB,F,AT,2000-01-01,757465
MIO_NAC,NCO,S12,LIAB,F,AT,2001-01-01,793898
MIO_NAC,NCO,S12,LIAB,F,AT,2002-01-01,798297
MIO_NAC,NCO,S12,LIAB,F,AT,2003-01-01,857899
MIO_NAC,NCO,S12,LIAB,F,AT,2004-01-01,952876
MIO_NAC,NCO,S12,LIAB,F,AT,2005-01-01,1167563
MIO_NAC,NCO,S12,LIAB,F,AT,2006-01-01,1280383
MIO_NAC,NCO,S12,LIAB,F,AT,2007-01-01,1420781
MIO_NAC,NCO,S12,LIAB,F,AT,2008-01-01,1575738
MIO_NAC,NCO,S12,LIAB,F,AT,2009-01-01,1543904
MIO_NAC,NCO,S12,LIAB,F,AT,2010-01-01,1514665
MIO_NAC,NCO,S12,LIAB,F,AT,2011-01-01,1537010
MIO_NAC,NCO,S12,LIAB,F,AT,2012-01-01,1543115
MIO_NAC,NCO,S12,LIAB,F,AT,2013-01-01,1493546
MIO_NAC,NCO,S12,LIAB,F,AT,2014-01-01,1481380
MIO_NAC,NCO,S12,LIAB,F,AT,2015-01-01,1479500
MIO_NAC,NCO,S12,LIAB,F,AT,2016-01-01,1440426
MIO_NAC,NCO,S12,LIAB,F,AT,2017-01-01,1466702
MIO_NAC,NCO,S12,LIAB,F,BE,1995-01-01,768618
MIO_NAC,NCO,S12,LIAB,F,BE,1996-01-01,842465
MIO_NAC,NCO,S12,LIAB,F,BE,1997-01-01,914168
MIO_NAC,NCO,S12,LIAB,F,BE,1998-01-01,1057538
MIO_NAC,NCO,S12,LIAB,F,BE,1999-01-01,1138733
MIO_NAC,NCO,S12,LIAB,F,BE,2000-01-01,1165626
MIO_NAC,NCO,S12,LIAB,F,BE,2001-01-01,1252307
MIO_NAC,NCO,S12,LIAB,F,BE,2002-01-01,1233922
MIO_NAC,NCO,S12,LIAB,F,BE,2003-01-01,1370512
MIO_NAC,NCO,S12,LIAB,F,BE,2004-01-01,1552181
MIO_NAC,NCO,S12,LIAB,F,BE,2005-01-01,1805074
MIO_NAC,NCO,S12,LIAB,F,BE,2006-01-01,2008667
MIO_NAC,NCO,S12,LIAB,F,BE,2007-01-01,2298836
MIO_NAC,NCO,S12,LIAB,F,BE,2008-01-01,2197637
MIO_NAC,NCO,S12,LIAB,F,BE,2009-01-01,2204691
MIO_NAC,NCO,S12,LIAB,F,BE,2010-01-01,2168326
MIO_NAC,NCO,S12,LIAB,F,BE,2011-01-01,2285631
MIO_NAC,NCO,S12,LIAB,F,BE,2012-01-01,2169220
MIO_NAC,NCO,S12,LIAB,F,BE,2013-01-01,2188507
MIO_NAC,NCO,S12,LIAB,F,BE,2014-01-01,2260373
MIO_NAC,NCO,S12,LIAB,F,BE,2015-01-01,2321308
MIO_NAC,NCO,S12,LIAB,F,BE,2016-01-01,2376566
MIO_NAC,NCO,S12,LIAB,F,BE,2017-01-01,2392255
MIO_NAC,NCO,S12,LIAB,F,BG,1995-01-01,1662
MIO_NAC,NCO,S12,LIAB,F,BG,1996-01-01,4729
MIO_NAC,NCO,S12,LIAB,F,BG,1997-01-01,15321
MIO_NAC,NCO,S12,LIAB,F,BG,1998-01-01,16235
MIO_NAC,NCO,S12,LIAB,F,BG,1999-01-01,19195
MIO_NAC,NCO,S12,LIAB,F,BG,2000-01-01,24656
MIO_NAC,NCO,S12,LIAB,F,BG,2001-01-01,26274
MIO_NAC,NCO,S12,LIAB,F,BG,2002-01-01,28360
MIO_NAC,NCO,S12,LIAB,F,BG,2003-01-01,34617
MIO_NAC,NCO,S12,LIAB,F,BG,2004-01-01,47280
MIO_NAC,NCO,S12,LIAB,F,BG,2005-01-01,63463
MIO_NAC,NCO,S12,LIAB,F,BG,2006-01-01,96430
MIO_NAC,NCO,S12,LIAB,F,BG,2007-01-01,124696
MIO_NAC,NCO,S12,LIAB,F,BG,2008-01-01,123667
MIO_NAC,NCO,S12,LIAB,F,BG,2009-01-01,125274
MIO_NAC,NCO,S12,LIAB,F,BG,2010-01-01,118468
MIO_NAC,NCO,S12,LIAB,F,BG,2011-01-01,124924
MIO_NAC,NCO,S12,LIAB,F,BG,2012-01-01,137672
MIO_NAC,NCO,S12,LIAB,F,BG,2013-01-01,143539
MIO_NAC,NCO,S12,LIAB,F,BG,2014-01-01,151616
MIO_NAC,NCO,S12,LIAB,F,BG,2015-01-01,161054
MIO_NAC,NCO,S12,LIAB,F,BG,2016-01-01,179022
MIO_NAC,NCO,S12,LIAB,F,BG,2017-01-01,180951
MIO_NAC,NCO,S12,LIAB,F,CY,1995-01-01,20960
MIO_NAC,NCO,S12,LIAB,F,CY,1996-01-01,24542
MIO_NAC,NCO,S12,LIAB,F,CY,1997-01-01,26328
MIO_NAC,NCO,S12,LIAB,F,CY,1998-01-01,29894
MIO_NAC,NCO,S12,LIAB,F,CY,1999-01-01,45887
MIO_NAC,NCO,S12,LIAB,F,CY,2000-01-01,39915
MIO_NAC,NCO,S12,LIAB,F,CY,2001-01-01,43112
MIO_NAC,NCO,S12,LIAB,F,CY,2002-01-01,44221
MIO_NAC,NCO,S12,LIAB,F,CY,2003-01-01,49420
MIO_NAC,NCO,S12,LIAB,F,CY,2004-01-01,59404
MIO_NAC,NCO,S12,LIAB,F,CY,2005-01-01,79677
MIO_NAC,NCO,S12,LIAB,F,CY,2006-01-01,103167
MIO_NAC,NCO,S12,LIAB,F,CY,2007-01-01,131195
MIO_NAC,NCO,S12,LIAB,F,CY,2008-01-01,282906
MIO_NAC,NCO,S12,LIAB,F,CY,2009-01-01,315923
MIO_NAC,NCO,S12,LIAB,F,CY,2010-01-01,342510
MIO_NAC,NCO,S12,LIAB,F,CY,2011-01-01,321597
MIO_NAC,NCO,S12,LIAB,F,CY,2012-01-01,342130
MIO_NAC,NCO,S12,LIAB,F,CY,2013-01-01,289887
MIO_NAC,NCO,S12,LIAB,F,CY,2014-01-01,279329
MIO_NAC,NCO,S12,LIAB,F,CY,2015-01-01,310203
MIO_NAC,NCO,S12,LIAB,F,CY,2016-01-01,315935
MIO_NAC,NCO,S12,LIAB,F,CY,2017-01-01,308731
MIO_NAC,NCO,S12,LIAB,F,CZ,1995-01-01,2371865
MIO_NAC,NCO,S12,LIAB,F,CZ,1996-01-01,2604134
MIO_NAC,NCO,S12,LIAB,F,CZ,1997-01-01,3076839
MIO_NAC,NCO,S12,LIAB,F,CZ,1998-01-01,3284825
MIO_NAC,NCO,S12,LIAB,F,CZ,1999-01-01,3475069
MIO_NAC,NCO,S12,LIAB,F,CZ,2000-01-01,3615015
MIO_NAC,NCO,S12,LIAB,F,CZ,2001-01-01,3642886
MIO_NAC,NCO,S12,LIAB,F,CZ,2002-01-01,3968800
MIO_NAC,NCO,S12,LIAB,F,CZ,2003-01-01,4143183
MIO_NAC,NCO,S12,LIAB,F,CZ,2004-01-01,4380564
MIO_NAC,NCO,S12,LIAB,F,CZ,2005-01-01,4860864
MIO_NAC,NCO,S12,LIAB,F,CZ,2006-01-01,5031704
MIO_NAC,NCO,S12,LIAB,F,CZ,2007-01-01,5810385
MIO_NAC,NCO,S12,LIAB,F,CZ,2008-01-01,6157737
MIO_NAC,NCO,S12,LIAB,F,CZ,2009-01-01,6312649
MIO_NAC,NCO,S12,LIAB,F,CZ,2010-01-01,6516094
MIO_NAC,NCO,S12,LIAB,F,CZ,2011-01-01,6794617
MIO_NAC,NCO,S12,LIAB,F,CZ,2012-01-01,7147743
MIO_NAC,NCO,S12,LIAB,F,CZ,2013-01-01,7963007
MIO_NAC,NCO,S12,LIAB,F,CZ,2014-01-01,8374722
MIO_NAC,NCO,S12,LIAB,F,CZ,2015-01-01,9051263
MIO_NAC,NCO,S12,LIAB,F,CZ,2016-01-01,10524787
MIO_NAC,NCO,S12,LIAB,F,CZ,2017-01-01,12935162
MIO_NAC,NCO,S12,LIAB,F,DE,1995-01-01,5587088
MIO_NAC,NCO,S12,LIAB,F,DE,1996-01-01,6153642
MIO_NAC,NCO,S12,LIAB,F,DE,1997-01-01,6947572
MIO_NAC,NCO,S12,LIAB,F,DE,1998-01-01,7835449
MIO_NAC,NCO,S12,LIAB,F,DE,1999-01-01,8756128
MIO_NAC,NCO,S12,LIAB,F,DE,2000-01-01,9447006
MIO_NAC,NCO,S12,LIAB,F,DE,2001-01-01,9960084
MIO_NAC,NCO,S12,LIAB,F,DE,2002-01-01,10059778
MIO_NAC,NCO,S12,LIAB,F,DE,2003-01-01,10375666
MIO_NAC,NCO,S12,LIAB,F,DE,2004-01-01,10784318
MIO_NAC,NCO,S12,LIAB,F,DE,2005-01-01,11467918
MIO_NAC,NCO,S12,LIAB,F,DE,2006-01-01,12018961
MIO_NAC,NCO,S12,LIAB,F,DE,2007-01-01,13005662
MIO_NAC,NCO,S12,LIAB,F,DE,2008-01-01,13603537
MIO_NAC,NCO,S12,LIAB,F,DE,2009-01-01,12740353
MIO_NAC,NCO,S12,LIAB,F,DE,2010-01-01,12604990
MIO_NAC,NCO,S12,LIAB,F,DE,2011-01-01,12968900
MIO_NAC,NCO,S12,LIAB,F,DE,2012-01-01,13398237
MIO_NAC,NCO,S12,LIAB,F,DE,2013-01-01,12561910
MIO_NAC,NCO,S12,LIAB,F,DE,2014-01-01,13137296
MIO_NAC,NCO,S12,LIAB,F,DE,2015-01-01,13520236
MIO_NAC,NCO,S12,LIAB,F,DE,2016-01-01,14204845
MIO_NAC,NCO,S12,LIAB,F,DE,2017-01-01,14774825
MIO_NAC,NCO,S12,LIAB,F,DK,1995-01-01,3559665
MIO_NAC,NCO,S12,LIAB,F,DK,1996-01-01,4010753
MIO_NAC,NCO,S12,LIAB,F,DK,1997-01-01,4781187
MIO_NAC,NCO,S12,LIAB,F,DK,1998-01-01,5526080
MIO_NAC,NCO,S12,LIAB,F,DK,1999-01-01,6128685
MIO_NAC,NCO,S12,LIAB,F,DK,2000-01-01,6723539
MIO_NAC,NCO,S12,LIAB,F,DK,2001-01-01,6809226
MIO_NAC,NCO,S12,LIAB,F,DK,2002-01-01,6806614
MIO_NAC,NCO,S12,LIAB,F,DK,2003-01-01,7336827
MIO_NAC,NCO,S12,LIAB,F,DK,2004-01-01,7909143
