na_item,co_nco,sector,finpos,unit,geo\time,date,value
F,CO,S12,LIAB,PC_GDP,AT,1995-01-01,193.7 
F,CO,S12,LIAB,PC_GDP,AT,1996-01-01,202.4 
F,CO,S12,LIAB,PC_GDP,AT,1997-01-01,208.1 
F,CO,S12,LIAB,PC_GDP,AT,1998-01-01,212.5 
F,CO,S12,LIAB,PC_GDP,AT,1999-01-01,231.7 
F,CO,S12,LIAB,PC_GDP,AT,2000-01-01,247.6 
F,CO,S12,LIAB,PC_GDP,AT,2001-01-01,250.0 
F,CO,S12,LIAB,PC_GDP,AT,2002-01-01,244.2 
F,CO,S12,LIAB,PC_GDP,AT,2003-01-01,253.8 
F,CO,S12,LIAB,PC_GDP,AT,2004-01-01,267.5 
F,CO,S12,LIAB,PC_GDP,AT,2005-01-01,320.0 
F,CO,S12,LIAB,PC_GDP,AT,2006-01-01,339.9 
F,CO,S12,LIAB,PC_GDP,AT,2007-01-01,348.8 
F,CO,S12,LIAB,PC_GDP,AT,2008-01-01,343.3 
F,CO,S12,LIAB,PC_GDP,AT,2009-01-01,349.0 
F,CO,S12,LIAB,PC_GDP,AT,2010-01-01,342.6 
F,CO,S12,LIAB,PC_GDP,AT,2011-01-01,331.3 
F,CO,S12,LIAB,PC_GDP,AT,2012-01-01,329.2 
F,CO,S12,LIAB,PC_GDP,AT,2013-01-01,318.6 
F,CO,S12,LIAB,PC_GDP,AT,2014-01-01,313.0 
F,CO,S12,LIAB,PC_GDP,AT,2015-01-01,304.1 
F,CO,S12,LIAB,PC_GDP,AT,2016-01-01,287.3 
F,CO,S12,LIAB,PC_GDP,AT,2017-01-01,280.8 
F,CO,S12,LIAB,PC_GDP,BE,1995-01-01,317.8 
F,CO,S12,LIAB,PC_GDP,BE,1996-01-01,329.8 
F,CO,S12,LIAB,PC_GDP,BE,1997-01-01,343.4 
F,CO,S12,LIAB,PC_GDP,BE,1998-01-01,359.6 
F,CO,S12,LIAB,PC_GDP,BE,1999-01-01,370.9 
F,CO,S12,LIAB,PC_GDP,BE,2000-01-01,367.9 
F,CO,S12,LIAB,PC_GDP,BE,2001-01-01,386.3 
F,CO,S12,LIAB,PC_GDP,BE,2002-01-01,374.7 
F,CO,S12,LIAB,PC_GDP,BE,2003-01-01,399.8 
F,CO,S12,LIAB,PC_GDP,BE,2004-01-01,423.5 
F,CO,S12,LIAB,PC_GDP,BE,2005-01-01,477.6 
F,CO,S12,LIAB,PC_GDP,BE,2006-01-01,503.2 
F,CO,S12,LIAB,PC_GDP,BE,2007-01-01,541.3 
F,CO,S12,LIAB,PC_GDP,BE,2008-01-01,503.7 
F,CO,S12,LIAB,PC_GDP,BE,2009-01-01,510.6 
F,CO,S12,LIAB,PC_GDP,BE,2010-01-01,486.8 
F,CO,S12,LIAB,PC_GDP,BE,2011-01-01,489.9 
F,CO,S12,LIAB,PC_GDP,BE,2012-01-01,450.9 
F,CO,S12,LIAB,PC_GDP,BE,2013-01-01,455.6 
F,CO,S12,LIAB,PC_GDP,BE,2014-01-01,465.8 
F,CO,S12,LIAB,PC_GDP,BE,2015-01-01,464.0 
F,CO,S12,LIAB,PC_GDP,BE,2016-01-01,455.4 
F,CO,S12,LIAB,PC_GDP,BE,2017-01-01,439.2 
F,CO,S12,LIAB,PC_GDP,BG,1995-01-01,109.7 
F,CO,S12,LIAB,PC_GDP,BG,1996-01-01,186.0 
F,CO,S12,LIAB,PC_GDP,BG,1997-01-01,70.5 
F,CO,S12,LIAB,PC_GDP,BG,1998-01-01,55.3 
F,CO,S12,LIAB,PC_GDP,BG,1999-01-01,69.9 
F,CO,S12,LIAB,PC_GDP,BG,2000-01-01,80.4 
F,CO,S12,LIAB,PC_GDP,BG,2001-01-01,77.6 
F,CO,S12,LIAB,PC_GDP,BG,2002-01-01,75.3 
F,CO,S12,LIAB,PC_GDP,BG,2003-01-01,84.4 
F,CO,S12,LIAB,PC_GDP,BG,2004-01-01,101.6 
F,CO,S12,LIAB,PC_GDP,BG,2005-01-01,116.7 
F,CO,S12,LIAB,PC_GDP,BG,2006-01-01,155.5 
F,CO,S12,LIAB,PC_GDP,BG,2007-01-01,173.2 
F,CO,S12,LIAB,PC_GDP,BG,2008-01-01,148.9 
F,CO,S12,LIAB,PC_GDP,BG,2009-01-01,150.1 
F,CO,S12,LIAB,PC_GDP,BG,2010-01-01,133.4 
F,CO,S12,LIAB,PC_GDP,BG,2011-01-01,129.2 
F,CO,S12,LIAB,PC_GDP,BG,2012-01-01,141.6 
F,CO,S12,LIAB,PC_GDP,BG,2013-01-01,149.3 
F,CO,S12,LIAB,PC_GDP,BG,2014-01-01,154.9 
F,CO,S12,LIAB,PC_GDP,BG,2015-01-01,149.9 
F,CO,S12,LIAB,PC_GDP,BG,2016-01-01,158.9 
F,CO,S12,LIAB,PC_GDP,BG,2017-01-01,148.7 
F,CO,S12,LIAB,PC_GDP,CY,1995-01-01,252.6 
F,CO,S12,LIAB,PC_GDP,CY,1996-01-01,281.0 
F,CO,S12,LIAB,PC_GDP,CY,1997-01-01,285.8 
F,CO,S12,LIAB,PC_GDP,CY,1998-01-01,301.6 
F,CO,S12,LIAB,PC_GDP,CY,1999-01-01,394.5 
F,CO,S12,LIAB,PC_GDP,CY,2000-01-01,322.5 
F,CO,S12,LIAB,PC_GDP,CY,2001-01-01,330.3 
F,CO,S12,LIAB,PC_GDP,CY,2002-01-01,323.4 
F,CO,S12,LIAB,PC_GDP,CY,2003-01-01,331.3 
F,CO,S12,LIAB,PC_GDP,CY,2004-01-01,344.3 
F,CO,S12,LIAB,PC_GDP,CY,2005-01-01,434.5 
F,CO,S12,LIAB,PC_GDP,CY,2006-01-01,514.1 
F,CO,S12,LIAB,PC_GDP,CY,2007-01-01,579.7 
F,CO,S12,LIAB,PC_GDP,CY,2008-01-01,1345.0 
F,CO,S12,LIAB,PC_GDP,CY,2009-01-01,1470.1 
F,CO,S12,LIAB,PC_GDP,CY,2010-01-01,1543.7 
F,CO,S12,LIAB,PC_GDP,CY,2011-01-01,1386.9 
F,CO,S12,LIAB,PC_GDP,CY,2012-01-01,1616.4 
F,CO,S12,LIAB,PC_GDP,CY,2013-01-01,1465.4 
F,CO,S12,LIAB,PC_GDP,CY,2014-01-01,1450.6 
F,CO,S12,LIAB,PC_GDP,CY,2015-01-01,1597.9 
F,CO,S12,LIAB,PC_GDP,CY,2016-01-01,1589.7 
F,CO,S12,LIAB,PC_GDP,CY,2017-01-01,1468.8 
F,CO,S12,LIAB,PC_GDP,CZ,1995-01-01,103.6 
F,CO,S12,LIAB,PC_GDP,CZ,1996-01-01,101.1 
F,CO,S12,LIAB,PC_GDP,CZ,1997-01-01,109.1 
F,CO,S12,LIAB,PC_GDP,CZ,1998-01-01,105.5 
F,CO,S12,LIAB,PC_GDP,CZ,1999-01-01,109.7 
F,CO,S12,LIAB,PC_GDP,CZ,2000-01-01,110.5 
F,CO,S12,LIAB,PC_GDP,CZ,2001-01-01,108.3 
F,CO,S12,LIAB,PC_GDP,CZ,2002-01-01,108.7 
