unit,geotime,date,value
INX_A_AVG,AT,2000-01-01,80
INX_A_AVG,AT,2001-01-01,79
INX_A_AVG,AT,2002-01-01,78
INX_A_AVG,AT,2003-01-01,77
INX_A_AVG,AT,2004-01-01,75
INX_A_AVG,AT,2005-01-01,77
INX_A_AVG,AT,2006-01-01,78
INX_A_AVG,AT,2007-01-01,80
INX_A_AVG,AT,2008-01-01,79
INX_A_AVG,AT,2009-01-01,82
INX_A_AVG,AT,2010-01-01,85
INX_A_AVG,AT,2011-01-01,88
INX_A_AVG,AT,2012-01-01,92
INX_A_AVG,AT,2013-01-01,95
INX_A_AVG,AT,2014-01-01,96
INX_A_AVG,AT,2015-01-01,100
INX_A_AVG,AT,2016-01-01,107
INX_A_AVG,AT,2017-01-01,110
INX_A_AVG,BE,2000-01-01,65
INX_A_AVG,BE,2001-01-01,66
INX_A_AVG,BE,2002-01-01,70
INX_A_AVG,BE,2003-01-01,74
INX_A_AVG,BE,2004-01-01,78
INX_A_AVG,BE,2005-01-01,86
INX_A_AVG,BE,2006-01-01,91
INX_A_AVG,BE,2007-01-01,96
INX_A_AVG,BE,2008-01-01,97
INX_A_AVG,BE,2009-01-01,97
INX_A_AVG,BE,2010-01-01,98
INX_A_AVG,BE,2011-01-01,99
INX_A_AVG,BE,2012-01-01,99
INX_A_AVG,BE,2013-01-01,100
INX_A_AVG,BE,2014-01-01,98
INX_A_AVG,BE,2015-01-01,100
INX_A_AVG,BE,2016-01-01,101
INX_A_AVG,BE,2017-01-01,102
INX_A_AVG,BG,2000-01-01,
INX_A_AVG,BG,2001-01-01,57
INX_A_AVG,BG,2002-01-01,51
INX_A_AVG,BG,2003-01-01,56
INX_A_AVG,BG,2004-01-01,80
INX_A_AVG,BG,2005-01-01,103
INX_A_AVG,BG,2006-01-01,115
INX_A_AVG,BG,2007-01-01,137
INX_A_AVG,BG,2008-01-01,161
INX_A_AVG,BG,2009-01-01,127
INX_A_AVG,BG,2010-01-01,111
INX_A_AVG,BG,2011-01-01,102
INX_A_AVG,BG,2012-01-01,96
INX_A_AVG,BG,2013-01-01,96
INX_A_AVG,BG,2014-01-01,98
INX_A_AVG,BG,2015-01-01,100
INX_A_AVG,BG,2016-01-01,107
INX_A_AVG,BG,2017-01-01,113
INX_A_AVG,CY,2000-01-01,
INX_A_AVG,CY,2001-01-01,
INX_A_AVG,CY,2002-01-01,103
INX_A_AVG,CY,2003-01-01,102
INX_A_AVG,CY,2004-01-01,111
INX_A_AVG,CY,2005-01-01,115
INX_A_AVG,CY,2006-01-01,124
INX_A_AVG,CY,2007-01-01,133
INX_A_AVG,CY,2008-01-01,134
INX_A_AVG,CY,2009-01-01,125
INX_A_AVG,CY,2010-01-01,115
INX_A_AVG,CY,2011-01-01,110
INX_A_AVG,CY,2012-01-01,104
INX_A_AVG,CY,2013-01-01,100
INX_A_AVG,CY,2014-01-01,99
INX_A_AVG,CY,2015-01-01,100
INX_A_AVG,CY,2016-01-01,101
INX_A_AVG,CY,2017-01-01,103
INX_A_AVG,CZ,2000-01-01,64
INX_A_AVG,CZ,2001-01-01,68
INX_A_AVG,CZ,2002-01-01,75
INX_A_AVG,CZ,2003-01-01,83
INX_A_AVG,CZ,2004-01-01,81
INX_A_AVG,CZ,2005-01-01,81
INX_A_AVG,CZ,2006-01-01,86
INX_A_AVG,CZ,2007-01-01,100
INX_A_AVG,CZ,2008-01-01,107
INX_A_AVG,CZ,2009-01-01,102
INX_A_AVG,CZ,2010-01-01,100
INX_A_AVG,CZ,2011-01-01,98
INX_A_AVG,CZ,2012-01-01,95
INX_A_AVG,CZ,2013-01-01,94
INX_A_AVG,CZ,2014-01-01,96
INX_A_AVG,CZ,2015-01-01,100
INX_A_AVG,CZ,2016-01-01,106
INX_A_AVG,CZ,2017-01-01,116
INX_A_AVG,DE,2000-01-01,102
INX_A_AVG,DE,2001-01-01,100
INX_A_AVG,DE,2002-01-01,97
INX_A_AVG,DE,2003-01-01,96
INX_A_AVG,DE,2004-01-01,94
INX_A_AVG,DE,2005-01-01,93
INX_A_AVG,DE,2006-01-01,92
INX_A_AVG,DE,2007-01-01,89
INX_A_AVG,DE,2008-01-01,88
INX_A_AVG,DE,2009-01-01,89
INX_A_AVG,DE,2010-01-01,89
INX_A_AVG,DE,2011-01-01,90
INX_A_AVG,DE,2012-01-01,92
INX_A_AVG,DE,2013-01-01,94
INX_A_AVG,DE,2014-01-01,96
INX_A_AVG,DE,2015-01-01,100
INX_A_AVG,DE,2016-01-01,105
INX_A_AVG,DE,2017-01-01,108
INX_A_AVG,DK,2000-01-01,73
INX_A_AVG,DK,2001-01-01,76
INX_A_AVG,DK,2002-01-01,77
INX_A_AVG,DK,2003-01-01,79
INX_A_AVG,DK,2004-01-01,85
INX_A_AVG,DK,2005-01-01,98
INX_A_AVG,DK,2006-01-01,119
INX_A_AVG,DK,2007-01-01,120
INX_A_AVG,DK,2008-01-01,111
INX_A_AVG,DK,2009-01-01,96
INX_A_AVG,DK,2010-01-01,96
INX_A_AVG,DK,2011-01-01,93
INX_A_AVG,DK,2012-01-01,88
INX_A_AVG,DK,2013-01-01,91
INX_A_AVG,DK,2014-01-01,94
INX_A_AVG,DK,2015-01-01,100
INX_A_AVG,DK,2016-01-01,104
INX_A_AVG,DK,2017-01-01,108
INX_A_AVG,EE,2000-01-01,
INX_A_AVG,EE,2001-01-01,
INX_A_AVG,EE,2002-01-01,
INX_A_AVG,EE,2003-01-01,
INX_A_AVG,EE,2004-01-01,
INX_A_AVG,EE,2005-01-01,86
INX_A_AVG,EE,2006-01-01,121
INX_A_AVG,EE,2007-01-01,135
INX_A_AVG,EE,2008-01-01,113
INX_A_AVG,EE,2009-01-01,71
INX_A_AVG,EE,2010-01-01,72
INX_A_AVG,EE,2011-01-01,74
INX_A_AVG,EE,2012-01-01,77
INX_A_AVG,EE,2013-01-01,83
INX_A_AVG,EE,2014-01-01,93
INX_A_AVG,EE,2015-01-01,100
