unit,s_adj,na_item,geotime,date,value
CP_MNAC,NSA,P31_S14_S15,AT,1995-01-01,22352
CP_MNAC,NSA,P31_S14_S15,AT,1995-04-01,24264
CP_MNAC,NSA,P31_S14_S15,AT,1995-07-01,24818
CP_MNAC,NSA,P31_S14_S15,AT,1995-10-01,25590
CP_MNAC,NSA,P31_S14_S15,AT,1996-01-01,23664
CP_MNAC,NSA,P31_S14_S15,AT,1996-04-01,25202
CP_MNAC,NSA,P31_S14_S15,AT,1996-07-01,25773
CP_MNAC,NSA,P31_S14_S15,AT,1996-10-01,26684
CP_MNAC,NSA,P31_S14_S15,AT,1997-01-01,24078
CP_MNAC,NSA,P31_S14_S15,AT,1997-04-01,25584
CP_MNAC,NSA,P31_S14_S15,AT,1997-07-01,26281
CP_MNAC,NSA,P31_S14_S15,AT,1997-10-01,27406
CP_MNAC,NSA,P31_S14_S15,AT,1998-01-01,24722
CP_MNAC,NSA,P31_S14_S15,AT,1998-04-01,26584
CP_MNAC,NSA,P31_S14_S15,AT,1998-07-01,27225
CP_MNAC,NSA,P31_S14_S15,AT,1998-10-01,28092
CP_MNAC,NSA,P31_S14_S15,AT,1999-01-01,25219
CP_MNAC,NSA,P31_S14_S15,AT,1999-04-01,27179
CP_MNAC,NSA,P31_S14_S15,AT,1999-07-01,27860
CP_MNAC,NSA,P31_S14_S15,AT,1999-10-01,29069
CP_MNAC,NSA,P31_S14_S15,AT,2000-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2000-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2000-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2000-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2001-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2001-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2001-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2001-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2002-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2002-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2002-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2002-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2003-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2003-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2003-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2003-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2004-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2004-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2004-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2004-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2005-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2005-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2005-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2005-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2006-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2006-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2006-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2006-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2007-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2007-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2007-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2007-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2008-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2008-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2008-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2008-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2009-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2009-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2009-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2009-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2010-01-01,
CP_MNAC,NSA,P31_S14_S15,AT,2010-04-01,
CP_MNAC,NSA,P31_S14_S15,AT,2010-07-01,
CP_MNAC,NSA,P31_S14_S15,AT,2010-10-01,
CP_MNAC,NSA,P31_S14_S15,AT,2011-01-01,38266
CP_MNAC,NSA,P31_S14_S15,AT,2011-04-01,41391
CP_MNAC,NSA,P31_S14_S15,AT,2011-07-01,42484
CP_MNAC,NSA,P31_S14_S15,AT,2011-10-01,43404
CP_MNAC,NSA,P31_S14_S15,AT,2012-01-01,40701
CP_MNAC,NSA,P31_S14_S15,AT,2012-04-01,42599
CP_MNAC,NSA,P31_S14_S15,AT,2012-07-01,43416
CP_MNAC,NSA,P31_S14_S15,AT,2012-10-01,43633
