unit,s_adj,bop_item,stk_flow,partner,geotime,date,value
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1995-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1996-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1997-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1998-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1999-01-01,23
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2000-01-01,28
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2001-01-01,30
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2002-01-01,26
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2003-01-01,22
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2004-01-01,18
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2005-01-01,15
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2006-01-01,13
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2007-01-01,15
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2008-01-01,23
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2009-01-01,20
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2010-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2011-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2012-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2013-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2014-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2015-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2016-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2017-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,1995-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,1996-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,1997-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,1998-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,1999-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2000-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2001-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2002-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2003-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2004-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2005-01-01,43
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2006-01-01,49
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2007-01-01,45
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2008-01-01,85
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2009-01-01,105
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2010-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2011-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2012-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2013-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2014-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2015-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2016-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BE,2017-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,1995-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,1996-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,1997-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,1998-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,1999-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2000-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2001-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2002-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2003-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2004-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2005-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2006-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2007-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2008-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2009-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2010-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2011-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2012-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2013-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2014-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2015-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2016-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,BG,2017-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,1995-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,1996-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,1997-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,1998-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,1999-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2000-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2001-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2002-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2003-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2004-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2005-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2006-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2007-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2008-01-01,58
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2009-01-01,70
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2010-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2011-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2012-01-01,
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,CY,2013-01-01,
