currency,bop_item,sector10,sectpart,stk_flow,partner,geotime,date,value
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,1997-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,1998-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,1999-01-01,-3693.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2000-01-01,-1429.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2001-01-01,5290.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2002-01-01,4220.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2003-01-01,18122.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2004-01-01,21551.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2005-01-01,13458.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2006-01-01,30414.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2007-01-01,54054.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2008-01-01,75109.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2009-01-01,77085.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2010-01-01,60519.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2011-01-01,68494.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2012-01-01,67760.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2013-01-01,75077.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2014-01-01,67153.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2015-01-01,50180.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2016-01-01,35608.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,AT,2017-01-01,28311.0
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BE,1995-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BE,1996-01-01,
MIO_NAC,FA__O__F,S1,S1,N_LE,WRL_REST,BE,1997-01-01,
