unit,s_adj,bop_item,stk_flow,partner,geo\time,date,value
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1995-10-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1996-01-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1996-04-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1996-07-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1996-10-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1997-01-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1997-04-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1997-07-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1997-10-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1998-01-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1998-04-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1998-07-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1998-10-01,: 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1999-01-01,18.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1999-04-01,15.7 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1999-07-01,16.6 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,1999-10-01,23.3 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2000-01-01,25.1 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2000-04-01,27.2 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2000-07-01,27.4 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2000-10-01,28.0 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2001-01-01,24.3 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2001-04-01,26.4 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2001-07-01,27.5 
PC_GDP,NSA,FA__FNED,NE_LE,WRL_REST,AT,2001-10-01,30.2 
