sex,unit,indic_il,age,geotime,date,value
T,PC,LI_R_MD60,TOTAL,AT,1995-01-01,13.0
T,PC,LI_R_MD60,TOTAL,AT,1996-01-01,14.0
T,PC,LI_R_MD60,TOTAL,AT,1997-01-01,13.0
T,PC,LI_R_MD60,TOTAL,AT,1998-01-01,13.0
T,PC,LI_R_MD60,TOTAL,AT,1999-01-01,12.0
T,PC,LI_R_MD60,TOTAL,AT,2000-01-01,12.0
T,PC,LI_R_MD60,TOTAL,AT,2001-01-01,12.0
T,PC,LI_R_MD60,TOTAL,AT,2002-01-01,
T,PC,LI_R_MD60,TOTAL,AT,2003-01-01,13.2
T,PC,LI_R_MD60,TOTAL,AT,2004-01-01,13.0
T,PC,LI_R_MD60,TOTAL,AT,2005-01-01,12.6
T,PC,LI_R_MD60,TOTAL,AT,2006-01-01,12.6
T,PC,LI_R_MD60,TOTAL,AT,2007-01-01,12.0
T,PC,LI_R_MD60,TOTAL,AT,2008-01-01,15.2
T,PC,LI_R_MD60,TOTAL,AT,2009-01-01,14.5
T,PC,LI_R_MD60,TOTAL,AT,2010-01-01,14.7
T,PC,LI_R_MD60,TOTAL,AT,2011-01-01,14.5
T,PC,LI_R_MD60,TOTAL,AT,2012-01-01,14.4
T,PC,LI_R_MD60,TOTAL,AT,2013-01-01,14.4
T,PC,LI_R_MD60,TOTAL,AT,2014-01-01,14.1
T,PC,LI_R_MD60,TOTAL,AT,2015-01-01,13.9
T,PC,LI_R_MD60,TOTAL,AT,2016-01-01,14.1
T,PC,LI_R_MD60,TOTAL,AT,2017-01-01,14.4
T,PC,LI_R_MD60,TOTAL,BE,1995-01-01,16.0
T,PC,LI_R_MD60,TOTAL,BE,1996-01-01,15.0
T,PC,LI_R_MD60,TOTAL,BE,1997-01-01,14.0
T,PC,LI_R_MD60,TOTAL,BE,1998-01-01,14.0
T,PC,LI_R_MD60,TOTAL,BE,1999-01-01,13.0
T,PC,LI_R_MD60,TOTAL,BE,2000-01-01,13.0
T,PC,LI_R_MD60,TOTAL,BE,2001-01-01,13.0
T,PC,LI_R_MD60,TOTAL,BE,2002-01-01,
T,PC,LI_R_MD60,TOTAL,BE,2003-01-01,15.4
T,PC,LI_R_MD60,TOTAL,BE,2004-01-01,14.3
T,PC,LI_R_MD60,TOTAL,BE,2005-01-01,14.8
T,PC,LI_R_MD60,TOTAL,BE,2006-01-01,14.7
T,PC,LI_R_MD60,TOTAL,BE,2007-01-01,15.2
T,PC,LI_R_MD60,TOTAL,BE,2008-01-01,14.7
T,PC,LI_R_MD60,TOTAL,BE,2009-01-01,14.6
T,PC,LI_R_MD60,TOTAL,BE,2010-01-01,14.6
T,PC,LI_R_MD60,TOTAL,BE,2011-01-01,15.3
T,PC,LI_R_MD60,TOTAL,BE,2012-01-01,15.3
T,PC,LI_R_MD60,TOTAL,BE,2013-01-01,15.1
T,PC,LI_R_MD60,TOTAL,BE,2014-01-01,15.5
T,PC,LI_R_MD60,TOTAL,BE,2015-01-01,14.9
T,PC,LI_R_MD60,TOTAL,BE,2016-01-01,15.5
T,PC,LI_R_MD60,TOTAL,BE,2017-01-01,15.9
T,PC,LI_R_MD60,TOTAL,BG,1995-01-01,
T,PC,LI_R_MD60,TOTAL,BG,1996-01-01,
T,PC,LI_R_MD60,TOTAL,BG,1997-01-01,
T,PC,LI_R_MD60,TOTAL,BG,1998-01-01,
T,PC,LI_R_MD60,TOTAL,BG,1999-01-01,
T,PC,LI_R_MD60,TOTAL,BG,2000-01-01,14.0
T,PC,LI_R_MD60,TOTAL,BG,2001-01-01,16.0
T,PC,LI_R_MD60,TOTAL,BG,2002-01-01,14.0
T,PC,LI_R_MD60,TOTAL,BG,2003-01-01,
T,PC,LI_R_MD60,TOTAL,BG,2004-01-01,
T,PC,LI_R_MD60,TOTAL,BG,2005-01-01,
T,PC,LI_R_MD60,TOTAL,BG,2006-01-01,18.4
T,PC,LI_R_MD60,TOTAL,BG,2007-01-01,22.0
T,PC,LI_R_MD60,TOTAL,BG,2008-01-01,21.4
T,PC,LI_R_MD60,TOTAL,BG,2009-01-01,21.8
T,PC,LI_R_MD60,TOTAL,BG,2010-01-01,20.7
T,PC,LI_R_MD60,TOTAL,BG,2011-01-01,22.2
T,PC,LI_R_MD60,TOTAL,BG,2012-01-01,21.2
T,PC,LI_R_MD60,TOTAL,BG,2013-01-01,21.0
T,PC,LI_R_MD60,TOTAL,BG,2014-01-01,21.8
T,PC,LI_R_MD60,TOTAL,BG,2015-01-01,22.0
T,PC,LI_R_MD60,TOTAL,BG,2016-01-01,22.9
T,PC,LI_R_MD60,TOTAL,BG,2017-01-01,23.4
T,PC,LI_R_MD60,TOTAL,CY,1995-01-01,
T,PC,LI_R_MD60,TOTAL,CY,1996-01-01,
T,PC,LI_R_MD60,TOTAL,CY,1997-01-01,
T,PC,LI_R_MD60,TOTAL,CY,1998-01-01,
T,PC,LI_R_MD60,TOTAL,CY,1999-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2000-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2001-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2002-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2003-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2004-01-01,
T,PC,LI_R_MD60,TOTAL,CY,2005-01-01,16.1
T,PC,LI_R_MD60,TOTAL,CY,2006-01-01,15.6
T,PC,LI_R_MD60,TOTAL,CY,2007-01-01,15.5
T,PC,LI_R_MD60,TOTAL,CY,2008-01-01,15.9
T,PC,LI_R_MD60,TOTAL,CY,2009-01-01,15.8
T,PC,LI_R_MD60,TOTAL,CY,2010-01-01,15.6
T,PC,LI_R_MD60,TOTAL,CY,2011-01-01,14.8
T,PC,LI_R_MD60,TOTAL,CY,2012-01-01,14.7
T,PC,LI_R_MD60,TOTAL,CY,2013-01-01,15.3
T,PC,LI_R_MD60,TOTAL,CY,2014-01-01,14.4
T,PC,LI_R_MD60,TOTAL,CY,2015-01-01,16.2
T,PC,LI_R_MD60,TOTAL,CY,2016-01-01,16.1
T,PC,LI_R_MD60,TOTAL,CY,2017-01-01,15.7
T,PC,LI_R_MD60,TOTAL,CZ,1995-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,1996-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,1997-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,1998-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,1999-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,2000-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,2001-01-01,8.0
T,PC,LI_R_MD60,TOTAL,CZ,2002-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,2003-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,2004-01-01,
T,PC,LI_R_MD60,TOTAL,CZ,2005-01-01,10.4
T,PC,LI_R_MD60,TOTAL,CZ,2006-01-01,9.9
T,PC,LI_R_MD60,TOTAL,CZ,2007-01-01,9.6
T,PC,LI_R_MD60,TOTAL,CZ,2008-01-01,9.0
T,PC,LI_R_MD60,TOTAL,CZ,2009-01-01,8.6
T,PC,LI_R_MD60,TOTAL,CZ,2010-01-01,9.0
T,PC,LI_R_MD60,TOTAL,CZ,2011-01-01,9.8
T,PC,LI_R_MD60,TOTAL,CZ,2012-01-01,9.6
T,PC,LI_R_MD60,TOTAL,CZ,2013-01-01,8.6
T,PC,LI_R_MD60,TOTAL,CZ,2014-01-01,9.7
T,PC,LI_R_MD60,TOTAL,CZ,2015-01-01,9.7
T,PC,LI_R_MD60,TOTAL,CZ,2016-01-01,9.7
T,PC,LI_R_MD60,TOTAL,CZ,2017-01-01,9.1
T,PC,LI_R_MD60,TOTAL,DE,1995-01-01,15.0
T,PC,LI_R_MD60,TOTAL,DE,1996-01-01,14.0
T,PC,LI_R_MD60,TOTAL,DE,1997-01-01,12.0
T,PC,LI_R_MD60,TOTAL,DE,1998-01-01,11.0
T,PC,LI_R_MD60,TOTAL,DE,1999-01-01,11.0
T,PC,LI_R_MD60,TOTAL,DE,2000-01-01,10.0
T,PC,LI_R_MD60,TOTAL,DE,2001-01-01,11.0
T,PC,LI_R_MD60,TOTAL,DE,2002-01-01,
T,PC,LI_R_MD60,TOTAL,DE,2003-01-01,
T,PC,LI_R_MD60,TOTAL,DE,2004-01-01,
T,PC,LI_R_MD60,TOTAL,DE,2005-01-01,12.2
T,PC,LI_R_MD60,TOTAL,DE,2006-01-01,12.5
T,PC,LI_R_MD60,TOTAL,DE,2007-01-01,15.2
T,PC,LI_R_MD60,TOTAL,DE,2008-01-01,15.2
T,PC,LI_R_MD60,TOTAL,DE,2009-01-01,15.5
T,PC,LI_R_MD60,TOTAL,DE,2010-01-01,15.6
T,PC,LI_R_MD60,TOTAL,DE,2011-01-01,15.8
T,PC,LI_R_MD60,TOTAL,DE,2012-01-01,16.1
T,PC,LI_R_MD60,TOTAL,DE,2013-01-01,16.1
T,PC,LI_R_MD60,TOTAL,DE,2014-01-01,16.7
T,PC,LI_R_MD60,TOTAL,DE,2015-01-01,16.7
T,PC,LI_R_MD60,TOTAL,DE,2016-01-01,16.5
T,PC,LI_R_MD60,TOTAL,DE,2017-01-01,16.1
T,PC,LI_R_MD60,TOTAL,DK,1995-01-01,10.0
T,PC,LI_R_MD60,TOTAL,DK,1996-01-01,
T,PC,LI_R_MD60,TOTAL,DK,1997-01-01,10.0
T,PC,LI_R_MD60,TOTAL,DK,1998-01-01,
T,PC,LI_R_MD60,TOTAL,DK,1999-01-01,10.0
T,PC,LI_R_MD60,TOTAL,DK,2000-01-01,
T,PC,LI_R_MD60,TOTAL,DK,2001-01-01,10.0
T,PC,LI_R_MD60,TOTAL,DK,2002-01-01,
T,PC,LI_R_MD60,TOTAL,DK,2003-01-01,11.7
T,PC,LI_R_MD60,TOTAL,DK,2004-01-01,10.9
T,PC,LI_R_MD60,TOTAL,DK,2005-01-01,11.8
T,PC,LI_R_MD60,TOTAL,DK,2006-01-01,11.7
T,PC,LI_R_MD60,TOTAL,DK,2007-01-01,11.7
T,PC,LI_R_MD60,TOTAL,DK,2008-01-01,11.8
T,PC,LI_R_MD60,TOTAL,DK,2009-01-01,13.1
T,PC,LI_R_MD60,TOTAL,DK,2010-01-01,13.3
T,PC,LI_R_MD60,TOTAL,DK,2011-01-01,12.1
T,PC,LI_R_MD60,TOTAL,DK,2012-01-01,12.0
T,PC,LI_R_MD60,TOTAL,DK,2013-01-01,11.9
T,PC,LI_R_MD60,TOTAL,DK,2014-01-01,12.1
T,PC,LI_R_MD60,TOTAL,DK,2015-01-01,12.2
T,PC,LI_R_MD60,TOTAL,DK,2016-01-01,11.9
T,PC,LI_R_MD60,TOTAL,DK,2017-01-01,12.4
T,PC,LI_R_MD60,TOTAL,EE,1995-01-01,
T,PC,LI_R_MD60,TOTAL,EE,1996-01-01,
T,PC,LI_R_MD60,TOTAL,EE,1997-01-01,
T,PC,LI_R_MD60,TOTAL,EE,1998-01-01,
T,PC,LI_R_MD60,TOTAL,EE,1999-01-01,
T,PC,LI_R_MD60,TOTAL,EE,2000-01-01,18.0
T,PC,LI_R_MD60,TOTAL,EE,2001-01-01,18.0
T,PC,LI_R_MD60,TOTAL,EE,2002-01-01,18.0
T,PC,LI_R_MD60,TOTAL,EE,2003-01-01,
