sex,unit,age,geotime,date,value
T,PC,TOTAL,AT,2003-01-01,3.3
T,PC,TOTAL,AT,2004-01-01,3.8
T,PC,TOTAL,AT,2005-01-01,3.5
T,PC,TOTAL,AT,2006-01-01,3.6
T,PC,TOTAL,AT,2007-01-01,3.3
T,PC,TOTAL,AT,2008-01-01,5.9
T,PC,TOTAL,AT,2009-01-01,4.6
T,PC,TOTAL,AT,2010-01-01,4.3
T,PC,TOTAL,AT,2011-01-01,4.0
T,PC,TOTAL,AT,2012-01-01,4.0
T,PC,TOTAL,AT,2013-01-01,4.2
T,PC,TOTAL,AT,2014-01-01,4.0
T,PC,TOTAL,AT,2015-01-01,3.6
T,PC,TOTAL,AT,2016-01-01,3.0
T,PC,TOTAL,AT,2017-01-01,3.7
T,PC,TOTAL,BE,2003-01-01,4.5
T,PC,TOTAL,BE,2004-01-01,4.7
T,PC,TOTAL,BE,2005-01-01,6.5
T,PC,TOTAL,BE,2006-01-01,6.4
T,PC,TOTAL,BE,2007-01-01,5.7
T,PC,TOTAL,BE,2008-01-01,5.6
T,PC,TOTAL,BE,2009-01-01,5.2
T,PC,TOTAL,BE,2010-01-01,5.9
T,PC,TOTAL,BE,2011-01-01,5.7
T,PC,TOTAL,BE,2012-01-01,6.3
T,PC,TOTAL,BE,2013-01-01,5.1
T,PC,TOTAL,BE,2014-01-01,5.9
T,PC,TOTAL,BE,2015-01-01,5.8
T,PC,TOTAL,BE,2016-01-01,5.5
T,PC,TOTAL,BE,2017-01-01,5.1
T,PC,TOTAL,BG,2003-01-01,
T,PC,TOTAL,BG,2004-01-01,
T,PC,TOTAL,BG,2005-01-01,
T,PC,TOTAL,BG,2006-01-01,57.7
T,PC,TOTAL,BG,2007-01-01,57.6
T,PC,TOTAL,BG,2008-01-01,41.2
T,PC,TOTAL,BG,2009-01-01,41.9
T,PC,TOTAL,BG,2010-01-01,45.7
T,PC,TOTAL,BG,2011-01-01,43.6
T,PC,TOTAL,BG,2012-01-01,44.1
T,PC,TOTAL,BG,2013-01-01,43.0
T,PC,TOTAL,BG,2014-01-01,33.1
T,PC,TOTAL,BG,2015-01-01,34.2
T,PC,TOTAL,BG,2016-01-01,31.9
T,PC,TOTAL,BG,2017-01-01,30.0
T,PC,TOTAL,CY,2003-01-01,
T,PC,TOTAL,CY,2004-01-01,
T,PC,TOTAL,CY,2005-01-01,12.2
T,PC,TOTAL,CY,2006-01-01,12.6
T,PC,TOTAL,CY,2007-01-01,13.3
T,PC,TOTAL,CY,2008-01-01,9.1
T,PC,TOTAL,CY,2009-01-01,9.5
T,PC,TOTAL,CY,2010-01-01,11.2
T,PC,TOTAL,CY,2011-01-01,11.7
T,PC,TOTAL,CY,2012-01-01,15.0
T,PC,TOTAL,CY,2013-01-01,16.1
T,PC,TOTAL,CY,2014-01-01,15.3
T,PC,TOTAL,CY,2015-01-01,15.4
T,PC,TOTAL,CY,2016-01-01,13.6
T,PC,TOTAL,CY,2017-01-01,11.5
T,PC,TOTAL,CZ,2003-01-01,
T,PC,TOTAL,CZ,2004-01-01,
T,PC,TOTAL,CZ,2005-01-01,11.8
T,PC,TOTAL,CZ,2006-01-01,9.6
T,PC,TOTAL,CZ,2007-01-01,7.4
T,PC,TOTAL,CZ,2008-01-01,6.8
T,PC,TOTAL,CZ,2009-01-01,6.1
T,PC,TOTAL,CZ,2010-01-01,6.2
T,PC,TOTAL,CZ,2011-01-01,6.1
T,PC,TOTAL,CZ,2012-01-01,6.6
T,PC,TOTAL,CZ,2013-01-01,6.6
T,PC,TOTAL,CZ,2014-01-01,6.7
T,PC,TOTAL,CZ,2015-01-01,5.6
T,PC,TOTAL,CZ,2016-01-01,4.8
T,PC,TOTAL,CZ,2017-01-01,3.7
T,PC,TOTAL,DE,2003-01-01,
T,PC,TOTAL,DE,2004-01-01,
T,PC,TOTAL,DE,2005-01-01,4.6
T,PC,TOTAL,DE,2006-01-01,5.1
T,PC,TOTAL,DE,2007-01-01,4.8
T,PC,TOTAL,DE,2008-01-01,5.5
T,PC,TOTAL,DE,2009-01-01,5.4
T,PC,TOTAL,DE,2010-01-01,4.5
T,PC,TOTAL,DE,2011-01-01,5.3
T,PC,TOTAL,DE,2012-01-01,4.9
T,PC,TOTAL,DE,2013-01-01,5.4
T,PC,TOTAL,DE,2014-01-01,5.0
T,PC,TOTAL,DE,2015-01-01,4.4
T,PC,TOTAL,DE,2016-01-01,3.7
T,PC,TOTAL,DE,2017-01-01,3.4
T,PC,TOTAL,DK,2003-01-01,2.0
T,PC,TOTAL,DK,2004-01-01,2.9
T,PC,TOTAL,DK,2005-01-01,3.2
T,PC,TOTAL,DK,2006-01-01,3.1
T,PC,TOTAL,DK,2007-01-01,3.3
T,PC,TOTAL,DK,2008-01-01,2.0
T,PC,TOTAL,DK,2009-01-01,2.3
T,PC,TOTAL,DK,2010-01-01,2.7
T,PC,TOTAL,DK,2011-01-01,2.3
T,PC,TOTAL,DK,2012-01-01,2.7
T,PC,TOTAL,DK,2013-01-01,3.6
T,PC,TOTAL,DK,2014-01-01,3.2
T,PC,TOTAL,DK,2015-01-01,3.7
T,PC,TOTAL,DK,2016-01-01,2.6
T,PC,TOTAL,DK,2017-01-01,3.1
T,PC,TOTAL,EE,2003-01-01,
T,PC,TOTAL,EE,2004-01-01,9.4
T,PC,TOTAL,EE,2005-01-01,12.4
T,PC,TOTAL,EE,2006-01-01,7.0
T,PC,TOTAL,EE,2007-01-01,5.6
T,PC,TOTAL,EE,2008-01-01,4.9
T,PC,TOTAL,EE,2009-01-01,6.2
T,PC,TOTAL,EE,2010-01-01,9.0
T,PC,TOTAL,EE,2011-01-01,8.7
T,PC,TOTAL,EE,2012-01-01,9.4
T,PC,TOTAL,EE,2013-01-01,7.6
T,PC,TOTAL,EE,2014-01-01,6.2
T,PC,TOTAL,EE,2015-01-01,4.5
T,PC,TOTAL,EE,2016-01-01,4.7
T,PC,TOTAL,EE,2017-01-01,4.1
T,PC,TOTAL,EL,2003-01-01,16.9
T,PC,TOTAL,EL,2004-01-01,14.1
T,PC,TOTAL,EL,2005-01-01,12.8
T,PC,TOTAL,EL,2006-01-01,11.5
T,PC,TOTAL,EL,2007-01-01,11.5
T,PC,TOTAL,EL,2008-01-01,11.2
T,PC,TOTAL,EL,2009-01-01,11.0
T,PC,TOTAL,EL,2010-01-01,11.6
T,PC,TOTAL,EL,2011-01-01,15.2
T,PC,TOTAL,EL,2012-01-01,19.5
T,PC,TOTAL,EL,2013-01-01,20.3
T,PC,TOTAL,EL,2014-01-01,21.5
T,PC,TOTAL,EL,2015-01-01,22.2
T,PC,TOTAL,EL,2016-01-01,22.4
T,PC,TOTAL,EL,2017-01-01,21.1
T,PC,TOTAL,ES,2003-01-01,
T,PC,TOTAL,ES,2004-01-01,4.8
T,PC,TOTAL,ES,2005-01-01,4.1
T,PC,TOTAL,ES,2006-01-01,4.1
T,PC,TOTAL,ES,2007-01-01,3.5
T,PC,TOTAL,ES,2008-01-01,3.6
T,PC,TOTAL,ES,2009-01-01,4.5
T,PC,TOTAL,ES,2010-01-01,4.9
