na_item,unit,geotime,date,value
D1,CP_MNAC,AT,1995-01-01,
D1,CP_MNAC,AT,1996-01-01,
D1,CP_MNAC,AT,1997-01-01,
D1,CP_MNAC,AT,1998-01-01,
D1,CP_MNAC,AT,1999-01-01,
D1,CP_MNAC,AT,2000-01-01,
D1,CP_MNAC,AT,2001-01-01,
D1,CP_MNAC,AT,2002-01-01,
D1,CP_MNAC,AT,2003-01-01,
D1,CP_MNAC,AT,2004-01-01,
D1,CP_MNAC,AT,2005-01-01,
D1,CP_MNAC,AT,2006-01-01,
D1,CP_MNAC,AT,2007-01-01,
D1,CP_MNAC,AT,2008-01-01,
D1,CP_MNAC,AT,2009-01-01,
D1,CP_MNAC,AT,2010-01-01,
D1,CP_MNAC,AT,2011-01-01,144318
D1,CP_MNAC,AT,2012-01-01,150324
D1,CP_MNAC,AT,2013-01-01,154509
D1,CP_MNAC,AT,2014-01-01,158788
D1,CP_MNAC,AT,2015-01-01,163660
D1,CP_MNAC,AT,2016-01-01,170023
D1,CP_MNAC,AT,2017-01-01,175782
D1,CP_MNAC,BE,1995-01-01,
D1,CP_MNAC,BE,1996-01-01,
D1,CP_MNAC,BE,1997-01-01,
D1,CP_MNAC,BE,1998-01-01,
D1,CP_MNAC,BE,1999-01-01,
D1,CP_MNAC,BE,2000-01-01,
D1,CP_MNAC,BE,2001-01-01,
D1,CP_MNAC,BE,2002-01-01,
D1,CP_MNAC,BE,2003-01-01,
D1,CP_MNAC,BE,2004-01-01,
D1,CP_MNAC,BE,2005-01-01,
D1,CP_MNAC,BE,2006-01-01,
D1,CP_MNAC,BE,2007-01-01,
D1,CP_MNAC,BE,2008-01-01,
D1,CP_MNAC,BE,2009-01-01,
D1,CP_MNAC,BE,2010-01-01,
D1,CP_MNAC,BE,2011-01-01,191626
D1,CP_MNAC,BE,2012-01-01,198305
D1,CP_MNAC,BE,2013-01-01,202271
D1,CP_MNAC,BE,2014-01-01,204878
D1,CP_MNAC,BE,2015-01-01,206560
D1,CP_MNAC,BE,2016-01-01,210093
D1,CP_MNAC,BE,2017-01-01,217053
D1,CP_MNAC,BG,1995-01-01,
D1,CP_MNAC,BG,1996-01-01,
D1,CP_MNAC,BG,1997-01-01,
D1,CP_MNAC,BG,1998-01-01,
D1,CP_MNAC,BG,1999-01-01,
D1,CP_MNAC,BG,2000-01-01,
D1,CP_MNAC,BG,2001-01-01,
D1,CP_MNAC,BG,2002-01-01,
D1,CP_MNAC,BG,2003-01-01,
D1,CP_MNAC,BG,2004-01-01,
D1,CP_MNAC,BG,2005-01-01,
D1,CP_MNAC,BG,2006-01-01,
D1,CP_MNAC,BG,2007-01-01,
D1,CP_MNAC,BG,2008-01-01,
D1,CP_MNAC,BG,2009-01-01,
D1,CP_MNAC,BG,2010-01-01,
D1,CP_MNAC,BG,2011-01-01,28590
D1,CP_MNAC,BG,2012-01-01,30239
D1,CP_MNAC,BG,2013-01-01,32527
D1,CP_MNAC,BG,2014-01-01,34282
D1,CP_MNAC,BG,2015-01-01,36572
D1,CP_MNAC,BG,2016-01-01,39387
D1,CP_MNAC,BG,2017-01-01,43664
D1,CP_MNAC,CY,1995-01-01,
D1,CP_MNAC,CY,1996-01-01,
D1,CP_MNAC,CY,1997-01-01,
D1,CP_MNAC,CY,1998-01-01,
D1,CP_MNAC,CY,1999-01-01,
D1,CP_MNAC,CY,2000-01-01,
D1,CP_MNAC,CY,2001-01-01,
D1,CP_MNAC,CY,2002-01-01,
D1,CP_MNAC,CY,2003-01-01,
