sex,unit,geotime,date,value
T,PC_POP,AT,1995-01-01,71
T,PC_POP,AT,1996-01-01,71
T,PC_POP,AT,1997-01-01,71
T,PC_POP,AT,1998-01-01,71
T,PC_POP,AT,1999-01-01,71
T,PC_POP,AT,2000-01-01,71
T,PC_POP,AT,2001-01-01,71
T,PC_POP,AT,2002-01-01,71
T,PC_POP,AT,2003-01-01,72
T,PC_POP,AT,2004-01-01,70
T,PC_POP,AT,2005-01-01,71
T,PC_POP,AT,2006-01-01,72
T,PC_POP,AT,2007-01-01,73
T,PC_POP,AT,2008-01-01,73
T,PC_POP,AT,2009-01-01,74
T,PC_POP,AT,2010-01-01,74
T,PC_POP,AT,2011-01-01,74
T,PC_POP,AT,2012-01-01,75
T,PC_POP,AT,2013-01-01,75
T,PC_POP,AT,2014-01-01,75
T,PC_POP,AT,2015-01-01,75
T,PC_POP,AT,2016-01-01,76
T,PC_POP,AT,2017-01-01,76
T,PC_POP,BE,1995-01-01,62
T,PC_POP,BE,1996-01-01,62
T,PC_POP,BE,1997-01-01,63
T,PC_POP,BE,1998-01-01,63
T,PC_POP,BE,1999-01-01,64
T,PC_POP,BE,2000-01-01,65
T,PC_POP,BE,2001-01-01,64
T,PC_POP,BE,2002-01-01,64
T,PC_POP,BE,2003-01-01,64
T,PC_POP,BE,2004-01-01,65
T,PC_POP,BE,2005-01-01,66
T,PC_POP,BE,2006-01-01,66
T,PC_POP,BE,2007-01-01,67
T,PC_POP,BE,2008-01-01,67
T,PC_POP,BE,2009-01-01,66
T,PC_POP,BE,2010-01-01,67
T,PC_POP,BE,2011-01-01,66
T,PC_POP,BE,2012-01-01,66
T,PC_POP,BE,2013-01-01,67
T,PC_POP,BE,2014-01-01,67
T,PC_POP,BE,2015-01-01,67
T,PC_POP,BE,2016-01-01,67
T,PC_POP,BE,2017-01-01,68
T,PC_POP,BG,1995-01-01,
T,PC_POP,BG,1996-01-01,
T,PC_POP,BG,1997-01-01,
T,PC_POP,BG,1998-01-01,
T,PC_POP,BG,1999-01-01,
T,PC_POP,BG,2000-01-01,60
T,PC_POP,BG,2001-01-01,62
T,PC_POP,BG,2002-01-01,61
T,PC_POP,BG,2003-01-01,60
T,PC_POP,BG,2004-01-01,61
T,PC_POP,BG,2005-01-01,62
T,PC_POP,BG,2006-01-01,64
T,PC_POP,BG,2007-01-01,66
T,PC_POP,BG,2008-01-01,67
T,PC_POP,BG,2009-01-01,67
T,PC_POP,BG,2010-01-01,66
T,PC_POP,BG,2011-01-01,65
T,PC_POP,BG,2012-01-01,67
T,PC_POP,BG,2013-01-01,68
T,PC_POP,BG,2014-01-01,69
T,PC_POP,BG,2015-01-01,69
T,PC_POP,BG,2016-01-01,68
T,PC_POP,BG,2017-01-01,71
T,PC_POP,CY,1995-01-01,
T,PC_POP,CY,1996-01-01,
T,PC_POP,CY,1997-01-01,68
T,PC_POP,CY,1998-01-01,68
T,PC_POP,CY,1999-01-01,68
T,PC_POP,CY,2000-01-01,69
T,PC_POP,CY,2001-01-01,70
T,PC_POP,CY,2002-01-01,71
T,PC_POP,CY,2003-01-01,72
T,PC_POP,CY,2004-01-01,72
T,PC_POP,CY,2005-01-01,72
T,PC_POP,CY,2006-01-01,73
T,PC_POP,CY,2007-01-01,73
T,PC_POP,CY,2008-01-01,73
T,PC_POP,CY,2009-01-01,73
T,PC_POP,CY,2010-01-01,73
T,PC_POP,CY,2011-01-01,73
T,PC_POP,CY,2012-01-01,73
T,PC_POP,CY,2013-01-01,73
T,PC_POP,CY,2014-01-01,74
T,PC_POP,CY,2015-01-01,73
T,PC_POP,CY,2016-01-01,73
T,PC_POP,CY,2017-01-01,73
T,PC_POP,CZ,1995-01-01,
T,PC_POP,CZ,1996-01-01,
T,PC_POP,CZ,1997-01-01,
T,PC_POP,CZ,1998-01-01,72
T,PC_POP,CZ,1999-01-01,72
T,PC_POP,CZ,2000-01-01,71
T,PC_POP,CZ,2001-01-01,70
T,PC_POP,CZ,2002-01-01,70
T,PC_POP,CZ,2003-01-01,70
T,PC_POP,CZ,2004-01-01,70
T,PC_POP,CZ,2005-01-01,70
T,PC_POP,CZ,2006-01-01,70
T,PC_POP,CZ,2007-01-01,69
T,PC_POP,CZ,2008-01-01,69
T,PC_POP,CZ,2009-01-01,70
T,PC_POP,CZ,2010-01-01,70
T,PC_POP,CZ,2011-01-01,70
T,PC_POP,CZ,2012-01-01,71
T,PC_POP,CZ,2013-01-01,72
T,PC_POP,CZ,2014-01-01,73
T,PC_POP,CZ,2015-01-01,74
T,PC_POP,CZ,2016-01-01,75
T,PC_POP,CZ,2017-01-01,75
T,PC_POP,DE,1995-01-01,70
T,PC_POP,DE,1996-01-01,70
T,PC_POP,DE,1997-01-01,70
T,PC_POP,DE,1998-01-01,70
T,PC_POP,DE,1999-01-01,71
T,PC_POP,DE,2000-01-01,71
T,PC_POP,DE,2001-01-01,71
T,PC_POP,DE,2002-01-01,71
T,PC_POP,DE,2003-01-01,72
T,PC_POP,DE,2004-01-01,72
T,PC_POP,DE,2005-01-01,73
T,PC_POP,DE,2006-01-01,74
T,PC_POP,DE,2007-01-01,75
T,PC_POP,DE,2008-01-01,75
T,PC_POP,DE,2009-01-01,76
T,PC_POP,DE,2010-01-01,76
T,PC_POP,DE,2011-01-01,77
T,PC_POP,DE,2012-01-01,77
T,PC_POP,DE,2013-01-01,77
T,PC_POP,DE,2014-01-01,77
T,PC_POP,DE,2015-01-01,77
T,PC_POP,DE,2016-01-01,77
T,PC_POP,DE,2017-01-01,78
T,PC_POP,DK,1995-01-01,79
T,PC_POP,DK,1996-01-01,79
T,PC_POP,DK,1997-01-01,79
T,PC_POP,DK,1998-01-01,79
T,PC_POP,DK,1999-01-01,80
T,PC_POP,DK,2000-01-01,80
T,PC_POP,DK,2001-01-01,79
T,PC_POP,DK,2002-01-01,79
T,PC_POP,DK,2003-01-01,79
T,PC_POP,DK,2004-01-01,80
T,PC_POP,DK,2005-01-01,79
T,PC_POP,DK,2006-01-01,80
T,PC_POP,DK,2007-01-01,80
T,PC_POP,DK,2008-01-01,80
T,PC_POP,DK,2009-01-01,80
T,PC_POP,DK,2010-01-01,79
T,PC_POP,DK,2011-01-01,79
T,PC_POP,DK,2012-01-01,78
T,PC_POP,DK,2013-01-01,78
T,PC_POP,DK,2014-01-01,78
T,PC_POP,DK,2015-01-01,78
T,PC_POP,DK,2016-01-01,80
T,PC_POP,DK,2017-01-01,78
T,PC_POP,EE,1995-01-01,
T,PC_POP,EE,1996-01-01,
T,PC_POP,EE,1997-01-01,72
T,PC_POP,EE,1998-01-01,71
T,PC_POP,EE,1999-01-01,70
T,PC_POP,EE,2000-01-01,70
T,PC_POP,EE,2001-01-01,70
T,PC_POP,EE,2002-01-01,69
T,PC_POP,EE,2003-01-01,70
T,PC_POP,EE,2004-01-01,70
T,PC_POP,EE,2005-01-01,70
T,PC_POP,EE,2006-01-01,72
T,PC_POP,EE,2007-01-01,73
T,PC_POP,EE,2008-01-01,74
T,PC_POP,EE,2009-01-01,74
T,PC_POP,EE,2010-01-01,73
T,PC_POP,EE,2011-01-01,74
T,PC_POP,EE,2012-01-01,74
T,PC_POP,EE,2013-01-01,75
T,PC_POP,EE,2014-01-01,75
T,PC_POP,EE,2015-01-01,76
T,PC_POP,EE,2016-01-01,77
T,PC_POP,EE,2017-01-01,78
T,PC_POP,EL,1995-01-01,60
T,PC_POP,EL,1996-01-01,60
T,PC_POP,EL,1997-01-01,61
T,PC_POP,EL,1998-01-01,63
T,PC_POP,EL,1999-01-01,63
T,PC_POP,EL,2000-01-01,63
T,PC_POP,EL,2001-01-01,63
T,PC_POP,EL,2002-01-01,64
T,PC_POP,EL,2003-01-01,65
T,PC_POP,EL,2004-01-01,66
T,PC_POP,EL,2005-01-01,66
T,PC_POP,EL,2006-01-01,66
T,PC_POP,EL,2007-01-01,66
T,PC_POP,EL,2008-01-01,66
T,PC_POP,EL,2009-01-01,67
T,PC_POP,EL,2010-01-01,67
T,PC_POP,EL,2011-01-01,67
T,PC_POP,EL,2012-01-01,67
T,PC_POP,EL,2013-01-01,67
T,PC_POP,EL,2014-01-01,67
T,PC_POP,EL,2015-01-01,67
T,PC_POP,EL,2016-01-01,68
T,PC_POP,EL,2017-01-01,68
T,PC_POP,ES,1995-01-01,60
T,PC_POP,ES,1996-01-01,61
T,PC_POP,ES,1997-01-01,62
T,PC_POP,ES,1998-01-01,63
T,PC_POP,ES,1999-01-01,63
