na_item,unit,geotime,date,value
P51G,CP_MEUR,AT,1995-01-01,
P51G,CP_MEUR,AT,1996-01-01,
P51G,CP_MEUR,AT,1997-01-01,
P51G,CP_MEUR,AT,1998-01-01,
P51G,CP_MEUR,AT,1999-01-01,
P51G,CP_MEUR,AT,2000-01-01,
P51G,CP_MEUR,AT,2001-01-01,
P51G,CP_MEUR,AT,2002-01-01,
P51G,CP_MEUR,AT,2003-01-01,
P51G,CP_MEUR,AT,2004-01-01,
P51G,CP_MEUR,AT,2005-01-01,
P51G,CP_MEUR,AT,2006-01-01,
P51G,CP_MEUR,AT,2007-01-01,
P51G,CP_MEUR,AT,2008-01-01,
P51G,CP_MEUR,AT,2009-01-01,
P51G,CP_MEUR,AT,2010-01-01,
P51G,CP_MEUR,AT,2011-01-01,69691
P51G,CP_MEUR,AT,2012-01-01,72172
P51G,CP_MEUR,AT,2013-01-01,74629
P51G,CP_MEUR,AT,2014-01-01,75492
P51G,CP_MEUR,AT,2015-01-01,78133
P51G,CP_MEUR,AT,2016-01-01,82725
P51G,CP_MEUR,AT,2017-01-01,87357
P51G,CP_MEUR,BE,1995-01-01,
P51G,CP_MEUR,BE,1996-01-01,
P51G,CP_MEUR,BE,1997-01-01,
P51G,CP_MEUR,BE,1998-01-01,
P51G,CP_MEUR,BE,1999-01-01,
P51G,CP_MEUR,BE,2000-01-01,
P51G,CP_MEUR,BE,2001-01-01,
P51G,CP_MEUR,BE,2002-01-01,
P51G,CP_MEUR,BE,2003-01-01,
P51G,CP_MEUR,BE,2004-01-01,
P51G,CP_MEUR,BE,2005-01-01,
P51G,CP_MEUR,BE,2006-01-01,
P51G,CP_MEUR,BE,2007-01-01,
P51G,CP_MEUR,BE,2008-01-01,
P51G,CP_MEUR,BE,2009-01-01,
P51G,CP_MEUR,BE,2010-01-01,
P51G,CP_MEUR,BE,2011-01-01,85609
P51G,CP_MEUR,BE,2012-01-01,87671
P51G,CP_MEUR,BE,2013-01-01,86943
P51G,CP_MEUR,BE,2014-01-01,92161
P51G,CP_MEUR,BE,2015-01-01,94980
P51G,CP_MEUR,BE,2016-01-01,99132
P51G,CP_MEUR,BE,2017-01-01,103156
P51G,CP_MEUR,BG,1995-01-01,
P51G,CP_MEUR,BG,1996-01-01,
P51G,CP_MEUR,BG,1997-01-01,
P51G,CP_MEUR,BG,1998-01-01,
P51G,CP_MEUR,BG,1999-01-01,
P51G,CP_MEUR,BG,2000-01-01,
P51G,CP_MEUR,BG,2001-01-01,
P51G,CP_MEUR,BG,2002-01-01,
P51G,CP_MEUR,BG,2003-01-01,
P51G,CP_MEUR,BG,2004-01-01,
P51G,CP_MEUR,BG,2005-01-01,
P51G,CP_MEUR,BG,2006-01-01,
P51G,CP_MEUR,BG,2007-01-01,
P51G,CP_MEUR,BG,2008-01-01,
P51G,CP_MEUR,BG,2009-01-01,
P51G,CP_MEUR,BG,2010-01-01,
P51G,CP_MEUR,BG,2011-01-01,8638
P51G,CP_MEUR,BG,2012-01-01,8918
P51G,CP_MEUR,BG,2013-01-01,8878
P51G,CP_MEUR,BG,2014-01-01,9026
P51G,CP_MEUR,BG,2015-01-01,9516
P51G,CP_MEUR,BG,2016-01-01,8939
P51G,CP_MEUR,BG,2017-01-01,9569
P51G,CP_MEUR,CY,1995-01-01,
P51G,CP_MEUR,CY,1996-01-01,
P51G,CP_MEUR,CY,1997-01-01,
P51G,CP_MEUR,CY,1998-01-01,
P51G,CP_MEUR,CY,1999-01-01,
P51G,CP_MEUR,CY,2000-01-01,
P51G,CP_MEUR,CY,2001-01-01,
P51G,CP_MEUR,CY,2002-01-01,
P51G,CP_MEUR,CY,2003-01-01,
P51G,CP_MEUR,CY,2004-01-01,
P51G,CP_MEUR,CY,2005-01-01,
P51G,CP_MEUR,CY,2006-01-01,
P51G,CP_MEUR,CY,2007-01-01,
P51G,CP_MEUR,CY,2008-01-01,
P51G,CP_MEUR,CY,2009-01-01,
P51G,CP_MEUR,CY,2010-01-01,
