unit,nace_r2,s_adj,na_item,geotime,date,value
THS_PER,TOTAL,NSA,EMP_DC,AT,1995-01-01,3518.9
THS_PER,TOTAL,NSA,EMP_DC,AT,1995-04-01,3585.27
THS_PER,TOTAL,NSA,EMP_DC,AT,1995-07-01,3650.53
THS_PER,TOTAL,NSA,EMP_DC,AT,1995-10-01,3593.83
THS_PER,TOTAL,NSA,EMP_DC,AT,1996-01-01,3537.89
THS_PER,TOTAL,NSA,EMP_DC,AT,1996-04-01,3598.21
THS_PER,TOTAL,NSA,EMP_DC,AT,1996-07-01,3664.31
THS_PER,TOTAL,NSA,EMP_DC,AT,1996-10-01,3603.88
THS_PER,TOTAL,NSA,EMP_DC,AT,1997-01-01,3561.58
THS_PER,TOTAL,NSA,EMP_DC,AT,1997-04-01,3622.74
THS_PER,TOTAL,NSA,EMP_DC,AT,1997-07-01,3690.7
THS_PER,TOTAL,NSA,EMP_DC,AT,1997-10-01,3634.56
THS_PER,TOTAL,NSA,EMP_DC,AT,1998-01-01,3594.43
THS_PER,TOTAL,NSA,EMP_DC,AT,1998-04-01,3665.42
THS_PER,TOTAL,NSA,EMP_DC,AT,1998-07-01,3730.18
THS_PER,TOTAL,NSA,EMP_DC,AT,1998-10-01,3666.48
THS_PER,TOTAL,NSA,EMP_DC,AT,1999-01-01,3655.75
THS_PER,TOTAL,NSA,EMP_DC,AT,1999-04-01,3719.46
THS_PER,TOTAL,NSA,EMP_DC,AT,1999-07-01,3783.05
THS_PER,TOTAL,NSA,EMP_DC,AT,1999-10-01,3720.59
THS_PER,TOTAL,NSA,EMP_DC,AT,2000-01-01,3688.99
THS_PER,TOTAL,NSA,EMP_DC,AT,2000-04-01,3752.47
THS_PER,TOTAL,NSA,EMP_DC,AT,2000-07-01,3815.51
THS_PER,TOTAL,NSA,EMP_DC,AT,2000-10-01,3762.9
THS_PER,TOTAL,NSA,EMP_DC,AT,2001-01-01,3724.66
THS_PER,TOTAL,NSA,EMP_DC,AT,2001-04-01,3781.08
THS_PER,TOTAL,NSA,EMP_DC,AT,2001-07-01,3840.75
THS_PER,TOTAL,NSA,EMP_DC,AT,2001-10-01,3781.5
THS_PER,TOTAL,NSA,EMP_DC,AT,2002-01-01,3720.98
THS_PER,TOTAL,NSA,EMP_DC,AT,2002-04-01,3772.0
THS_PER,TOTAL,NSA,EMP_DC,AT,2002-07-01,3844.03
THS_PER,TOTAL,NSA,EMP_DC,AT,2002-10-01,3776.51
THS_PER,TOTAL,NSA,EMP_DC,AT,2003-01-01,3733.24
THS_PER,TOTAL,NSA,EMP_DC,AT,2003-04-01,3795.64
THS_PER,TOTAL,NSA,EMP_DC,AT,2003-07-01,3874.68
THS_PER,TOTAL,NSA,EMP_DC,AT,2003-10-01,3808.56
THS_PER,TOTAL,NSA,EMP_DC,AT,2004-01-01,3741.94
THS_PER,TOTAL,NSA,EMP_DC,AT,2004-04-01,3817.73
THS_PER,TOTAL,NSA,EMP_DC,AT,2004-07-01,3904.83
THS_PER,TOTAL,NSA,EMP_DC,AT,2004-10-01,3842.79
THS_PER,TOTAL,NSA,EMP_DC,AT,2005-01-01,3781.63
THS_PER,TOTAL,NSA,EMP_DC,AT,2005-04-01,3855.5
THS_PER,TOTAL,NSA,EMP_DC,AT,2005-07-01,3955.32
THS_PER,TOTAL,NSA,EMP_DC,AT,2005-10-01,3899.16
THS_PER,TOTAL,NSA,EMP_DC,AT,2006-01-01,3848.16
THS_PER,TOTAL,NSA,EMP_DC,AT,2006-04-01,3929.51
THS_PER,TOTAL,NSA,EMP_DC,AT,2006-07-01,4023.43
THS_PER,TOTAL,NSA,EMP_DC,AT,2006-10-01,3961.82
THS_PER,TOTAL,NSA,EMP_DC,AT,2007-01-01,3916.54
THS_PER,TOTAL,NSA,EMP_DC,AT,2007-04-01,3999.72
THS_PER,TOTAL,NSA,EMP_DC,AT,2007-07-01,4097.84
THS_PER,TOTAL,NSA,EMP_DC,AT,2007-10-01,4036.82
THS_PER,TOTAL,NSA,EMP_DC,AT,2008-01-01,4012.36
THS_PER,TOTAL,NSA,EMP_DC,AT,2008-04-01,4087.76
THS_PER,TOTAL,NSA,EMP_DC,AT,2008-07-01,4165.54
THS_PER,TOTAL,NSA,EMP_DC,AT,2008-10-01,4090.87
THS_PER,TOTAL,NSA,EMP_DC,AT,2009-01-01,4023.45
THS_PER,TOTAL,NSA,EMP_DC,AT,2009-04-01,4057.86
THS_PER,TOTAL,NSA,EMP_DC,AT,2009-07-01,4121.6
THS_PER,TOTAL,NSA,EMP_DC,AT,2009-10-01,4067.06
THS_PER,TOTAL,NSA,EMP_DC,AT,2010-01-01,4014.16
THS_PER,TOTAL,NSA,EMP_DC,AT,2010-04-01,4086.61
THS_PER,TOTAL,NSA,EMP_DC,AT,2010-07-01,4167.28
THS_PER,TOTAL,NSA,EMP_DC,AT,2010-10-01,4124.82
THS_PER,TOTAL,NSA,EMP_DC,AT,2011-01-01,4077.86
THS_PER,TOTAL,NSA,EMP_DC,AT,2011-04-01,4150.73
THS_PER,TOTAL,NSA,EMP_DC,AT,2011-07-01,4236.39
THS_PER,TOTAL,NSA,EMP_DC,AT,2011-10-01,4182.81
THS_PER,TOTAL,NSA,EMP_DC,AT,2012-01-01,4139.0
THS_PER,TOTAL,NSA,EMP_DC,AT,2012-04-01,4199.51
THS_PER,TOTAL,NSA,EMP_DC,AT,2012-07-01,4274.67
THS_PER,TOTAL,NSA,EMP_DC,AT,2012-10-01,4207.48
THS_PER,TOTAL,NSA,EMP_DC,AT,2013-01-01,4143.11
THS_PER,TOTAL,NSA,EMP_DC,AT,2013-04-01,4211.24
THS_PER,TOTAL,NSA,EMP_DC,AT,2013-07-01,4293.77
THS_PER,TOTAL,NSA,EMP_DC,AT,2013-10-01,4230.94
THS_PER,TOTAL,NSA,EMP_DC,AT,2014-01-01,4190.71
THS_PER,TOTAL,NSA,EMP_DC,AT,2014-04-01,4255.04
THS_PER,TOTAL,NSA,EMP_DC,AT,2014-07-01,4330.62
THS_PER,TOTAL,NSA,EMP_DC,AT,2014-10-01,4263.23
THS_PER,TOTAL,NSA,EMP_DC,AT,2015-01-01,4213.41
THS_PER,TOTAL,NSA,EMP_DC,AT,2015-04-01,4277.49
THS_PER,TOTAL,NSA,EMP_DC,AT,2015-07-01,4355.0
THS_PER,TOTAL,NSA,EMP_DC,AT,2015-10-01,4295.55
THS_PER,TOTAL,NSA,EMP_DC,AT,2016-01-01,4251.08
THS_PER,TOTAL,NSA,EMP_DC,AT,2016-04-01,4319.61
THS_PER,TOTAL,NSA,EMP_DC,AT,2016-07-01,4412.29
THS_PER,TOTAL,NSA,EMP_DC,AT,2016-10-01,4365.94
THS_PER,TOTAL,NSA,EMP_DC,AT,2017-01-01,4329.62
THS_PER,TOTAL,NSA,EMP_DC,AT,2017-04-01,4397.56
THS_PER,TOTAL,NSA,EMP_DC,AT,2017-07-01,4478.82
THS_PER,TOTAL,NSA,EMP_DC,AT,2017-10-01,4444.42
THS_PER,TOTAL,NSA,EMP_DC,AT,2018-01-01,4413.21
THS_PER,TOTAL,NSA,EMP_DC,AT,2018-04-01,4486.3
THS_PER,TOTAL,NSA,EMP_DC,BE,1995-01-01,3833.6
THS_PER,TOTAL,NSA,EMP_DC,BE,1995-04-01,3846.5
THS_PER,TOTAL,NSA,EMP_DC,BE,1995-07-01,3924.6
THS_PER,TOTAL,NSA,EMP_DC,BE,1995-10-01,3866.7
THS_PER,TOTAL,NSA,EMP_DC,BE,1996-01-01,3853.7
THS_PER,TOTAL,NSA,EMP_DC,BE,1996-04-01,3853.0
THS_PER,TOTAL,NSA,EMP_DC,BE,1996-07-01,3931.7
THS_PER,TOTAL,NSA,EMP_DC,BE,1996-10-01,3874.1
THS_PER,TOTAL,NSA,EMP_DC,BE,1997-01-01,3871.0
THS_PER,TOTAL,NSA,EMP_DC,BE,1997-04-01,3872.1
THS_PER,TOTAL,NSA,EMP_DC,BE,1997-07-01,3957.7
THS_PER,TOTAL,NSA,EMP_DC,BE,1997-10-01,3917.2
THS_PER,TOTAL,NSA,EMP_DC,BE,1998-01-01,3920.6
THS_PER,TOTAL,NSA,EMP_DC,BE,1998-04-01,3931.3
THS_PER,TOTAL,NSA,EMP_DC,BE,1998-07-01,4042.0
THS_PER,TOTAL,NSA,EMP_DC,BE,1998-10-01,3998.1
THS_PER,TOTAL,NSA,EMP_DC,BE,1999-01-01,3990.3
THS_PER,TOTAL,NSA,EMP_DC,BE,1999-04-01,3984.4
THS_PER,TOTAL,NSA,EMP_DC,BE,1999-07-01,4088.7
THS_PER,TOTAL,NSA,EMP_DC,BE,1999-10-01,4047.7
THS_PER,TOTAL,NSA,EMP_DC,BE,2000-01-01,4058.5
THS_PER,TOTAL,NSA,EMP_DC,BE,2000-04-01,4064.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2000-07-01,4181.7
THS_PER,TOTAL,NSA,EMP_DC,BE,2000-10-01,4130.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2001-01-01,4135.9
THS_PER,TOTAL,NSA,EMP_DC,BE,2001-04-01,4133.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2001-07-01,4237.0
THS_PER,TOTAL,NSA,EMP_DC,BE,2001-10-01,4154.1
THS_PER,TOTAL,NSA,EMP_DC,BE,2002-01-01,4136.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2002-04-01,4139.0
THS_PER,TOTAL,NSA,EMP_DC,BE,2002-07-01,4220.3
THS_PER,TOTAL,NSA,EMP_DC,BE,2002-10-01,4133.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2003-01-01,4113.1
THS_PER,TOTAL,NSA,EMP_DC,BE,2003-04-01,4136.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2003-07-01,4223.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2003-10-01,4142.5
THS_PER,TOTAL,NSA,EMP_DC,BE,2004-01-01,4150.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2004-04-01,4170.5
THS_PER,TOTAL,NSA,EMP_DC,BE,2004-07-01,4267.9
THS_PER,TOTAL,NSA,EMP_DC,BE,2004-10-01,4189.5
THS_PER,TOTAL,NSA,EMP_DC,BE,2005-01-01,4215.0
THS_PER,TOTAL,NSA,EMP_DC,BE,2005-04-01,4236.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2005-07-01,4330.9
THS_PER,TOTAL,NSA,EMP_DC,BE,2005-10-01,4238.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2006-01-01,4247.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2006-04-01,4279.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2006-07-01,4385.0
THS_PER,TOTAL,NSA,EMP_DC,BE,2006-10-01,4299.4
THS_PER,TOTAL,NSA,EMP_DC,BE,2007-01-01,4312.3
THS_PER,TOTAL,NSA,EMP_DC,BE,2007-04-01,4345.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2007-07-01,4458.5
THS_PER,TOTAL,NSA,EMP_DC,BE,2007-10-01,4379.3
THS_PER,TOTAL,NSA,EMP_DC,BE,2008-01-01,4398.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2008-04-01,4427.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2008-07-01,4542.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2008-10-01,4443.2
THS_PER,TOTAL,NSA,EMP_DC,BE,2009-01-01,4423.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2009-04-01,4425.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2009-07-01,4512.9
THS_PER,TOTAL,NSA,EMP_DC,BE,2009-10-01,4419.6
THS_PER,TOTAL,NSA,EMP_DC,BE,2010-01-01,4418.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2010-04-01,4447.4
THS_PER,TOTAL,NSA,EMP_DC,BE,2010-07-01,4558.9
THS_PER,TOTAL,NSA,EMP_DC,BE,2010-10-01,4471.0
THS_PER,TOTAL,NSA,EMP_DC,BE,2011-01-01,4482.8
THS_PER,TOTAL,NSA,EMP_DC,BE,2011-04-01,4514.8
