na_item,unit,geo\time,date,value
RLPR_PER,I10,AT,1995-01-01,84.7 
RLPR_PER,I10,AT,1996-01-01,86.3 
RLPR_PER,I10,AT,1997-01-01,87.5 
RLPR_PER,I10,AT,1998-01-01,89.7 
RLPR_PER,I10,AT,1999-01-01,91.5 
RLPR_PER,I10,AT,2000-01-01,93.7 
RLPR_PER,I10,AT,2001-01-01,94.2 
RLPR_PER,I10,AT,2002-01-01,95.9 
RLPR_PER,I10,AT,2003-01-01,96.1 
RLPR_PER,I10,AT,2004-01-01,98.2 
RLPR_PER,I10,AT,2005-01-01,99.2 
RLPR_PER,I10,AT,2006-01-01,100.8 
RLPR_PER,I10,AT,2007-01-01,102.7 
RLPR_PER,I10,AT,2008-01-01,102.3 
RLPR_PER,I10,AT,2009-01-01,98.9 
RLPR_PER,I10,AT,2010-01-01,100.0 
RLPR_PER,I10,AT,2011-01-01,101.3 
RLPR_PER,I10,AT,2012-01-01,101.0 
RLPR_PER,I10,AT,2013-01-01,100.7 
RLPR_PER,I10,AT,2014-01-01,100.4 
RLPR_PER,I10,AT,2015-01-01,100.9 
RLPR_PER,I10,AT,2016-01-01,101.7 
RLPR_PER,I10,AT,2017-01-01,102.5 
RLPR_PER,I10,BE,1995-01-01,85.4 
RLPR_PER,I10,BE,1996-01-01,86.6 
RLPR_PER,I10,BE,1997-01-01,89.2 
RLPR_PER,I10,BE,1998-01-01,89.4 
RLPR_PER,I10,BE,1999-01-01,91.3 
RLPR_PER,I10,BE,2000-01-01,92.7 
RLPR_PER,I10,BE,2001-01-01,92.2 
RLPR_PER,I10,BE,2002-01-01,94.0 
RLPR_PER,I10,BE,2003-01-01,94.8 
RLPR_PER,I10,BE,2004-01-01,97.3 
RLPR_PER,I10,BE,2005-01-01,98.0 
RLPR_PER,I10,BE,2006-01-01,99.3 
RLPR_PER,I10,BE,2007-01-01,101.1 
RLPR_PER,I10,BE,2008-01-01,100.0 
RLPR_PER,I10,BE,2009-01-01,98.0 
RLPR_PER,I10,BE,2010-01-01,100.0 
RLPR_PER,I10,BE,2011-01-01,100.4 
RLPR_PER,I10,BE,2012-01-01,100.2 
RLPR_PER,I10,BE,2013-01-01,100.8 
RLPR_PER,I10,BE,2014-01-01,101.6 
