unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,NCO,F4,LIAB,S11,AT,1995-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,1996-01-01,8864.5
MIO_NAC,NCO,F4,LIAB,S11,AT,1997-01-01,5961.7
MIO_NAC,NCO,F4,LIAB,S11,AT,1998-01-01,9821.9
MIO_NAC,NCO,F4,LIAB,S11,AT,1999-01-01,16127.6
MIO_NAC,NCO,F4,LIAB,S11,AT,2000-01-01,19034.0
MIO_NAC,NCO,F4,LIAB,S11,AT,2001-01-01,13412.2
MIO_NAC,NCO,F4,LIAB,S11,AT,2002-01-01,6862.7
MIO_NAC,NCO,F4,LIAB,S11,AT,2003-01-01,7098.0
MIO_NAC,NCO,F4,LIAB,S11,AT,2004-01-01,-101.5
MIO_NAC,NCO,F4,LIAB,S11,AT,2005-01-01,8007.2
MIO_NAC,NCO,F4,LIAB,S11,AT,2006-01-01,13195.5
MIO_NAC,NCO,F4,LIAB,S11,AT,2007-01-01,21766.0
MIO_NAC,NCO,F4,LIAB,S11,AT,2008-01-01,11984.1
MIO_NAC,NCO,F4,LIAB,S11,AT,2009-01-01,-10115.7
MIO_NAC,NCO,F4,LIAB,S11,AT,2010-01-01,5816.4
MIO_NAC,NCO,F4,LIAB,S11,AT,2011-01-01,6396.9
MIO_NAC,NCO,F4,LIAB,S11,AT,2012-01-01,592.6
MIO_NAC,NCO,F4,LIAB,S11,AT,2013-01-01,7031.6
MIO_NAC,NCO,F4,LIAB,S11,AT,2014-01-01,3272.1
MIO_NAC,NCO,F4,LIAB,S11,AT,2015-01-01,5812.3
MIO_NAC,NCO,F4,LIAB,S11,AT,2016-01-01,14579.4
MIO_NAC,NCO,F4,LIAB,S11,AT,2017-01-01,14605.5
MIO_NAC,NCO,F4,LIAB,S11,BE,1995-01-01,2390.9
MIO_NAC,NCO,F4,LIAB,S11,BE,1996-01-01,4964.5
MIO_NAC,NCO,F4,LIAB,S11,BE,1997-01-01,20510.7
MIO_NAC,NCO,F4,LIAB,S11,BE,1998-01-01,24664.2
MIO_NAC,NCO,F4,LIAB,S11,BE,1999-01-01,34181.8
MIO_NAC,NCO,F4,LIAB,S11,BE,2000-01-01,39614.6
MIO_NAC,NCO,F4,LIAB,S11,BE,2001-01-01,28385.0
MIO_NAC,NCO,F4,LIAB,S11,BE,2002-01-01,7007.0
MIO_NAC,NCO,F4,LIAB,S11,BE,2003-01-01,40273.2
MIO_NAC,NCO,F4,LIAB,S11,BE,2004-01-01,22489.5
MIO_NAC,NCO,F4,LIAB,S11,BE,2005-01-01,6234.1
MIO_NAC,NCO,F4,LIAB,S11,BE,2006-01-01,9919.0
MIO_NAC,NCO,F4,LIAB,S11,BE,2007-01-01,45958.8
MIO_NAC,NCO,F4,LIAB,S11,BE,2008-01-01,55987.4
MIO_NAC,NCO,F4,LIAB,S11,BE,2009-01-01,26489.3
MIO_NAC,NCO,F4,LIAB,S11,BE,2010-01-01,-31378.9
MIO_NAC,NCO,F4,LIAB,S11,BE,2011-01-01,55102.2
MIO_NAC,NCO,F4,LIAB,S11,BE,2012-01-01,36338.1
MIO_NAC,NCO,F4,LIAB,S11,BE,2013-01-01,-7734.5
MIO_NAC,NCO,F4,LIAB,S11,BE,2014-01-01,-2433.9
MIO_NAC,NCO,F4,LIAB,S11,BE,2015-01-01,297.9
MIO_NAC,NCO,F4,LIAB,S11,BE,2016-01-01,89096.6
MIO_NAC,NCO,F4,LIAB,S11,BE,2017-01-01,-15220.3
MIO_NAC,NCO,F4,LIAB,S11,BG,1995-01-01,0.0
MIO_NAC,NCO,F4,LIAB,S11,BG,1996-01-01,719.0
MIO_NAC,NCO,F4,LIAB,S11,BG,1997-01-01,509.0
MIO_NAC,NCO,F4,LIAB,S11,BG,1998-01-01,697.0
MIO_NAC,NCO,F4,LIAB,S11,BG,1999-01-01,1740.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2000-01-01,2538.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2001-01-01,4525.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2002-01-01,1306.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2003-01-01,4115.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2004-01-01,5802.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2005-01-01,7322.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2006-01-01,6641.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2007-01-01,19937.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2008-01-01,21266.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2009-01-01,6270.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2010-01-01,2475.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2011-01-01,2527.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2012-01-01,3177.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2013-01-01,5232.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2014-01-01,1103.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2015-01-01,-1320.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2016-01-01,2736.0
MIO_NAC,NCO,F4,LIAB,S11,BG,2017-01-01,3011.0
MIO_NAC,NCO,F4,LIAB,S11,CY,1995-01-01,4277.9
MIO_NAC,NCO,F4,LIAB,S11,CY,1996-01-01,1252.4
