unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,CO,F3,LIAB,S11,AT,1995-01-01,7263
MIO_NAC,CO,F3,LIAB,S11,AT,1996-01-01,6464
MIO_NAC,CO,F3,LIAB,S11,AT,1997-01-01,11682
MIO_NAC,CO,F3,LIAB,S11,AT,1998-01-01,12270
MIO_NAC,CO,F3,LIAB,S11,AT,1999-01-01,15100
MIO_NAC,CO,F3,LIAB,S11,AT,2000-01-01,17327
MIO_NAC,CO,F3,LIAB,S11,AT,2001-01-01,15645
MIO_NAC,CO,F3,LIAB,S11,AT,2002-01-01,14855
MIO_NAC,CO,F3,LIAB,S11,AT,2003-01-01,18153
MIO_NAC,CO,F3,LIAB,S11,AT,2004-01-01,21344
MIO_NAC,CO,F3,LIAB,S11,AT,2005-01-01,18930
MIO_NAC,CO,F3,LIAB,S11,AT,2006-01-01,19185
MIO_NAC,CO,F3,LIAB,S11,AT,2007-01-01,21354
MIO_NAC,CO,F3,LIAB,S11,AT,2008-01-01,21559
MIO_NAC,CO,F3,LIAB,S11,AT,2009-01-01,27448
MIO_NAC,CO,F3,LIAB,S11,AT,2010-01-01,28954
MIO_NAC,CO,F3,LIAB,S11,AT,2011-01-01,33030
MIO_NAC,CO,F3,LIAB,S11,AT,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,AT,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,AT,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,AT,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,AT,2016-01-01,43828
MIO_NAC,CO,F3,LIAB,S11,AT,2017-01-01,40291
MIO_NAC,CO,F3,LIAB,S11,BE,1995-01-01,6442
MIO_NAC,CO,F3,LIAB,S11,BE,1996-01-01,7874
MIO_NAC,CO,F3,LIAB,S11,BE,1997-01-01,8364
MIO_NAC,CO,F3,LIAB,S11,BE,1998-01-01,7072
MIO_NAC,CO,F3,LIAB,S11,BE,1999-01-01,7575
MIO_NAC,CO,F3,LIAB,S11,BE,2000-01-01,9515
MIO_NAC,CO,F3,LIAB,S11,BE,2001-01-01,9553
MIO_NAC,CO,F3,LIAB,S11,BE,2002-01-01,9014
MIO_NAC,CO,F3,LIAB,S11,BE,2003-01-01,10547
MIO_NAC,CO,F3,LIAB,S11,BE,2004-01-01,12781
MIO_NAC,CO,F3,LIAB,S11,BE,2005-01-01,9811
MIO_NAC,CO,F3,LIAB,S11,BE,2006-01-01,11334
MIO_NAC,CO,F3,LIAB,S11,BE,2007-01-01,13716
MIO_NAC,CO,F3,LIAB,S11,BE,2008-01-01,14062
MIO_NAC,CO,F3,LIAB,S11,BE,2009-01-01,42904
MIO_NAC,CO,F3,LIAB,S11,BE,2010-01-01,42914
MIO_NAC,CO,F3,LIAB,S11,BE,2011-01-01,46588
MIO_NAC,CO,F3,LIAB,S11,BE,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,BE,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,BE,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,BE,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,BE,2016-01-01,66055
MIO_NAC,CO,F3,LIAB,S11,BE,2017-01-01,64304
MIO_NAC,CO,F3,LIAB,S11,BG,1995-01-01,4
MIO_NAC,CO,F3,LIAB,S11,BG,1996-01-01,29
MIO_NAC,CO,F3,LIAB,S11,BG,1997-01-01,0
MIO_NAC,CO,F3,LIAB,S11,BG,1998-01-01,11
MIO_NAC,CO,F3,LIAB,S11,BG,1999-01-01,26
MIO_NAC,CO,F3,LIAB,S11,BG,2000-01-01,239
MIO_NAC,CO,F3,LIAB,S11,BG,2001-01-01,149
MIO_NAC,CO,F3,LIAB,S11,BG,2002-01-01,102
MIO_NAC,CO,F3,LIAB,S11,BG,2003-01-01,244
MIO_NAC,CO,F3,LIAB,S11,BG,2004-01-01,336
MIO_NAC,CO,F3,LIAB,S11,BG,2005-01-01,526
MIO_NAC,CO,F3,LIAB,S11,BG,2006-01-01,1747
MIO_NAC,CO,F3,LIAB,S11,BG,2007-01-01,1288
MIO_NAC,CO,F3,LIAB,S11,BG,2008-01-01,1494
MIO_NAC,CO,F3,LIAB,S11,BG,2009-01-01,1063
MIO_NAC,CO,F3,LIAB,S11,BG,2010-01-01,1080
MIO_NAC,CO,F3,LIAB,S11,BG,2011-01-01,1181
MIO_NAC,CO,F3,LIAB,S11,BG,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,BG,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,BG,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,BG,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,BG,2016-01-01,3749
MIO_NAC,CO,F3,LIAB,S11,BG,2017-01-01,4099
MIO_NAC,CO,F3,LIAB,S11,CY,1995-01-01,29
MIO_NAC,CO,F3,LIAB,S11,CY,1996-01-01,25
MIO_NAC,CO,F3,LIAB,S11,CY,1997-01-01,26
MIO_NAC,CO,F3,LIAB,S11,CY,1998-01-01,25
MIO_NAC,CO,F3,LIAB,S11,CY,1999-01-01,41
MIO_NAC,CO,F3,LIAB,S11,CY,2000-01-01,74
MIO_NAC,CO,F3,LIAB,S11,CY,2001-01-01,67
MIO_NAC,CO,F3,LIAB,S11,CY,2002-01-01,33
MIO_NAC,CO,F3,LIAB,S11,CY,2003-01-01,47
MIO_NAC,CO,F3,LIAB,S11,CY,2004-01-01,5
MIO_NAC,CO,F3,LIAB,S11,CY,2005-01-01,11
MIO_NAC,CO,F3,LIAB,S11,CY,2006-01-01,11
MIO_NAC,CO,F3,LIAB,S11,CY,2007-01-01,5
MIO_NAC,CO,F3,LIAB,S11,CY,2008-01-01,5
MIO_NAC,CO,F3,LIAB,S11,CY,2009-01-01,10
MIO_NAC,CO,F3,LIAB,S11,CY,2010-01-01,8
MIO_NAC,CO,F3,LIAB,S11,CY,2011-01-01,72
MIO_NAC,CO,F3,LIAB,S11,CY,2012-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2013-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2014-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2015-01-01,
MIO_NAC,CO,F3,LIAB,S11,CY,2016-01-01,85
MIO_NAC,CO,F3,LIAB,S11,CY,2017-01-01,100
MIO_NAC,CO,F3,LIAB,S11,CZ,1995-01-01,43132
MIO_NAC,CO,F3,LIAB,S11,CZ,1996-01-01,73739
MIO_NAC,CO,F3,LIAB,S11,CZ,1997-01-01,76018
