sex,age,unit,geo\time,date,value
T,TOTAL,PC_ACT,AT,1995-01-01,4.2 
T,TOTAL,PC_ACT,AT,1996-01-01,4.7 
T,TOTAL,PC_ACT,AT,1997-01-01,4.7 
T,TOTAL,PC_ACT,AT,1998-01-01,4.7 
T,TOTAL,PC_ACT,AT,1999-01-01,4.2 
T,TOTAL,PC_ACT,AT,2000-01-01,3.9 
T,TOTAL,PC_ACT,AT,2001-01-01,4.0 
T,TOTAL,PC_ACT,AT,2002-01-01,4.4 
T,TOTAL,PC_ACT,AT,2003-01-01,4.8 d
T,TOTAL,PC_ACT,AT,2004-01-01,5.5 
T,TOTAL,PC_ACT,AT,2005-01-01,5.6 
T,TOTAL,PC_ACT,AT,2006-01-01,5.3 
T,TOTAL,PC_ACT,AT,2007-01-01,4.9
T,TOTAL,PC_ACT,AT,2008-01-01,4.1 
T,TOTAL,PC_ACT,AT,2009-01-01,5.3 
T,TOTAL,PC_ACT,AT,2010-01-01,4.8 
T,TOTAL,PC_ACT,AT,2011-01-01,4.6 
T,TOTAL,PC_ACT,AT,2012-01-01,4.9
T,TOTAL,PC_ACT,AT,2013-01-01,5.4
T,TOTAL,PC_ACT,AT,2014-01-01,5.6
T,TOTAL,PC_ACT,AT,2015-01-01,5.7
T,TOTAL,PC_ACT,AT,2016-01-01,6.0
T,TOTAL,PC_ACT,AT,2017-01-01,5.5 
T,TOTAL,PC_ACT,BE,1995-01-01,9.7 
T,TOTAL,PC_ACT,BE,1996-01-01,9.5 
T,TOTAL,PC_ACT,BE,1997-01-01,9.2 
T,TOTAL,PC_ACT,BE,1998-01-01,9.3 
T,TOTAL,PC_ACT,BE,1999-01-01,8.4 
T,TOTAL,PC_ACT,BE,2000-01-01,6.9 
T,TOTAL,PC_ACT,BE,2001-01-01,6.6 
T,TOTAL,PC_ACT,BE,2002-01-01,7.5 
T,TOTAL,PC_ACT,BE,2003-01-01,8.2 
T,TOTAL,PC_ACT,BE,2004-01-01,8.4 
T,TOTAL,PC_ACT,BE,2005-01-01,8.5 
T,TOTAL,PC_ACT,BE,2006-01-01,8.3 
T,TOTAL,PC_ACT,BE,2007-01-01,7.5
T,TOTAL,PC_ACT,BE,2008-01-01,7.0 
T,TOTAL,PC_ACT,BE,2009-01-01,7.9 
T,TOTAL,PC_ACT,BE,2010-01-01,8.3 
T,TOTAL,PC_ACT,BE,2011-01-01,7.2 
T,TOTAL,PC_ACT,BE,2012-01-01,7.6
T,TOTAL,PC_ACT,BE,2013-01-01,8.4
T,TOTAL,PC_ACT,BE,2014-01-01,8.5
T,TOTAL,PC_ACT,BE,2015-01-01,8.5
T,TOTAL,PC_ACT,BE,2016-01-01,7.8
T,TOTAL,PC_ACT,BE,2017-01-01,7.1 b
T,TOTAL,PC_ACT,BG,1995-01-01,: 
T,TOTAL,PC_ACT,BG,1996-01-01,: 
T,TOTAL,PC_ACT,BG,1997-01-01,: 
T,TOTAL,PC_ACT,BG,1998-01-01,: 
T,TOTAL,PC_ACT,BG,1999-01-01,: 
T,TOTAL,PC_ACT,BG,2000-01-01,16.4 
T,TOTAL,PC_ACT,BG,2001-01-01,19.6 
T,TOTAL,PC_ACT,BG,2002-01-01,18.2 
T,TOTAL,PC_ACT,BG,2003-01-01,13.7 
T,TOTAL,PC_ACT,BG,2004-01-01,12.1 
T,TOTAL,PC_ACT,BG,2005-01-01,10.1 
T,TOTAL,PC_ACT,BG,2006-01-01,9.0 
T,TOTAL,PC_ACT,BG,2007-01-01,6.9
T,TOTAL,PC_ACT,BG,2008-01-01,5.6 
T,TOTAL,PC_ACT,BG,2009-01-01,6.8 
T,TOTAL,PC_ACT,BG,2010-01-01,10.3 d
T,TOTAL,PC_ACT,BG,2011-01-01,11.3 
T,TOTAL,PC_ACT,BG,2012-01-01,12.3
T,TOTAL,PC_ACT,BG,2013-01-01,13.0
T,TOTAL,PC_ACT,BG,2014-01-01,11.4
T,TOTAL,PC_ACT,BG,2015-01-01,9.2
T,TOTAL,PC_ACT,BG,2016-01-01,7.6
T,TOTAL,PC_ACT,BG,2017-01-01,6.2 
T,TOTAL,PC_ACT,CY,1995-01-01,: 
T,TOTAL,PC_ACT,CY,1996-01-01,: 
T,TOTAL,PC_ACT,CY,1997-01-01,: 
T,TOTAL,PC_ACT,CY,1998-01-01,: 
T,TOTAL,PC_ACT,CY,1999-01-01,: 
T,TOTAL,PC_ACT,CY,2000-01-01,4.8 
T,TOTAL,PC_ACT,CY,2001-01-01,3.9 
T,TOTAL,PC_ACT,CY,2002-01-01,3.5 
T,TOTAL,PC_ACT,CY,2003-01-01,4.1 
T,TOTAL,PC_ACT,CY,2004-01-01,4.6 d
T,TOTAL,PC_ACT,CY,2005-01-01,5.3 
T,TOTAL,PC_ACT,CY,2006-01-01,4.6 
T,TOTAL,PC_ACT,CY,2007-01-01,3.9
T,TOTAL,PC_ACT,CY,2008-01-01,3.7 
T,TOTAL,PC_ACT,CY,2009-01-01,5.4 
T,TOTAL,PC_ACT,CY,2010-01-01,6.3 
T,TOTAL,PC_ACT,CY,2011-01-01,7.9 
T,TOTAL,PC_ACT,CY,2012-01-01,11.9
T,TOTAL,PC_ACT,CY,2013-01-01,15.9
T,TOTAL,PC_ACT,CY,2014-01-01,16.1
T,TOTAL,PC_ACT,CY,2015-01-01,15.0
T,TOTAL,PC_ACT,CY,2016-01-01,13.0
T,TOTAL,PC_ACT,CY,2017-01-01,11.1 
T,TOTAL,PC_ACT,CZ,1995-01-01,4.0 
T,TOTAL,PC_ACT,CZ,1996-01-01,3.9 
T,TOTAL,PC_ACT,CZ,1997-01-01,4.8 
T,TOTAL,PC_ACT,CZ,1998-01-01,6.5 
T,TOTAL,PC_ACT,CZ,1999-01-01,8.7 
