unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
KG_HA,AT	18.3 	18.4 	17.9 	18.2 	18.5 	: 	: 	: 	: 	18.5 	18.1 	18.2 	17.9 	17.9 	17.8 	18.4 	18.7 	19.1 	19.5 	19.9 	19.7 	21.6 	21.7 	21.7 	23.1 	23.2 	23.7 
KG_HA,BE	85.1 	84.3 	85.8 	86.4 	86.5 	88.3 	89.1 	88.8 	88.7 	88.4 	61.6 	59.1 	57.2 	54.5 	50.9 	50.5 	50.1 	47.6 	47.7 	48.8 	48.4 	48.6 	49.0 	49.2 	48.2 	48.0 	46.8 
KG_HA,BG	18.5 	16.1 	14.2 	12.3 	10.9 	9.3 	9.2 	8.7 	8.4 	8.9 	8.4 	7.8 	8.0 	8.2 	8.4 	: 	8.2 	8.4 	7.9 	7.7 	7.6 	7.1 	7.2 	7.6 	8.3 	8.4 	8.4 
KG_HA,CY	36.6 	37.5 	40.4 	42.7 	45.0 	46.1 	47.2 	47.3 	46.8 	: 	41.9 	45.3 	50.0 	42.6 	42.5 	36.7 	39.1 	41.4 	47.6 	47.4 	52.5 	50.4 	47.7 	48.3 	47.5 	40.7 	47.4 
KG_HA,CZ	43.0 	36.1 	30.5 	25.9 	24.5 	23.8 	22.6 	21.6 	21.5 	20.3 	19.1 	19.3 	21.9 b	21.3 	20.4 	20.0 	20.1 	20.1 	20.0 	18.7 	18.5 	18.1 	17.9 	18.4 	18.6 	18.9 	18.8 
KG_HA,DE	39.8 	37.0 	36.5 	36.0 	34.2 	34.5 	34.1 	33.7 	33.8 	35.1 	34.9 	35.4 	34.8 	34.6 	34.1 	34.1 	34.3 	34.6 	35.0 	36.0 	35.2 	37.0 	36.5 	37.4 	37.5 	38.1 	37.8 
KG_HA,DK	44.3 	42.8 	42.3 	42.2 	40.9 	38.3 	33.4 	33.6 	33.5 	31.4 	34.7 	33.6 	33.1 	33.1 	32.5 	30.6 	29.3 	29.1 	28.8 	27.9 	27.8 	27.4 	27.0 	26.4 	26.4 	26.6 	27.0 
KG_HA,EE	16.9 	15.2 	12.6 	9.7 	10.8 	10.7 	9.3 	9.2 	12.6 	8.6 	8.3 	9.6 	12.5 	11.5 	11.9 	10.6 	10.5 	10.6 	11.1 	10.5 	10.6 	10.8 	11.1 	11.0 	11.2 	11.3 	10.5 
KG_HA,EL	14.6 	14.2 	14.0 	13.2 	12.6 	13.0 	13.0 	: 	19.4 	16.6 	16.8 	15.1 	15.6 	15.5 	15.7 	15.1 	15.8 	15.7 	12.4 	10.4 	11.0 	10.5 	11.3 	11.1 	10.6 	10.6 	9.8 
KG_HA,ES	14.0 	13.9 	13.9 	13.6 	14.2 	13.7 	14.9 	14.8 	15.6 	18.1 	19.0 	18.8 	18.6 	19.2 	18.4 	17.2 	17.9 	18.3 	16.9 	17.5 	17.5 	17.0 	17.0 	17.2 	18.0 	18.6 	18.8 
