unit,sex,age,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
YR,F,Y_LT1,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.1 	80.1 	79.7 e	80.1 
YR,F,Y_LT1,AT	81.2 	81.7 	81.7 	81.5 	82.1 	82.2 	82.8 	83.1 	83.3 	83.2 	83.5 	83.8 	83.6 	83.8 	84.0 	83.7 	84.1 
YR,F,Y_LT1,BE	81.0 	81.2 	81.2 	81.1 	81.9 	81.9 	82.3 	82.6 	82.6 	82.8 	83.0 	83.3 b	83.1 	83.2 	83.9 	83.4 	84.0 
YR,F,Y_LT1,BG	75.0 	75.4 	75.5 	75.9 	76.2 	76.2 	76.3 	76.6 	77.0 	77.4 	77.4 	77.8 	77.9 	78.6 	78.0 	78.2 	78.5 
YR,F,Y_LT1,CH	82.8 	83.2 	83.2 	83.2 	83.8 	84.0 	84.2 	84.4 	84.6 	84.6 	84.9 	85.0 b	84.9 	85.0 	85.4 	85.1 	85.6 
YR,F,Y_LT1,CY	80.1 	81.4 	81.0 	81.2 	81.8 	80.8 	82.0 	82.1 	82.9 	83.5 	83.9 	83.1 	83.4 	85.0 	84.3 	83.7 	84.9 
YR,F,Y_LT1,CZ	78.5 	78.5 	78.7 	78.6 	79.1 	79.2 	79.9 	80.2 	80.5 	80.5 	80.9 	81.1 	81.2 	81.3 	82.0 	81.6 	82.1 
YR,F,Y_LT1,DE	81.2 	81.4 	81.3 	81.3 	81.9 	82.0 	82.4 	82.7 	82.7 	82.8 	83.0 	83.1 b	83.1 	83.0 	83.6 	83.1 	83.5 
YR,F,Y_LT1,DK	79.2 	79.3 	79.4 	79.8 	80.2 	80.5 	80.7 	80.6 	81.0 	81.1 	81.4 	81.9 	82.1 	82.4 	82.8 	82.7 	82.8 
YR,F,Y_LT1,EA18	: 	: 	82.0 	81.9 	82.6 	82.7 	83.2 	83.4 	83.5 	83.7 	83.9 	84.2 b	84.1 b	84.3 	84.7 	84.2 bp	84.6 p
YR,F,Y_LT1,EA19	: 	: 	82.0 	81.9 	82.6 	82.6 	83.1 	83.3 	83.4 	83.6 	83.9 	84.1 b	84.0 b	84.3 	84.7 	84.2 bp	84.6 p
YR,F,Y_LT1,EE	76.4 	76.5 	77.2 	77.2 	78.0 	78.2 	78.6 	78.9 	79.5 	80.3 	80.8 	81.3 	81.5 	81.7 	81.9 	82.2 b	82.2 
YR,F,Y_LT1,EL	81.3 	81.9 	82.0 	82.0 	82.2 	82.5 	82.7 	82.5 	83.0 	83.3 	83.3 	83.6 	83.4 	84.0 	84.1 	83.7 	84.0 
YR,F,Y_LT1,ES	82.8 	83.2 	83.3 	83.0 	83.7 	83.6 	84.4 	84.4 	84.6 	85.0 	85.5 	85.6 	85.5 	86.1 	86.2 	85.7 	86.3 
YR,F,Y_LT1,EU27	: 	: 	80.9 	80.8 	81.5 	81.5 	82.0 	82.2 	82.4 	82.6 	82.9 b	83.1 b	83.1 b	83.3 e	83.7 e	83.3 bep	83.7 ep
YR,F,Y_LT1,EU28	: 	: 	80.9 	80.8 	81.5 	81.5 	82.0 	82.2 	82.3 	82.6 	82.8 b	83.1 b	83.0 b	83.3 e	83.6 e	83.3 bep	83.6 ep
YR,F,Y_LT1,FI	81.2 	81.7 	81.6 	81.9 	82.5 	82.5 	83.1 	83.1 	83.3 	83.5 	83.5 	83.8 	83.7 	84.1 	84.1 	84.4 	84.4 
YR,F,Y_LT1,FR	83.0 	83.0 	83.0 	82.7 	83.8 	83.8 	84.5 	84.8 	84.8 	85.0 	85.3 	85.7 	85.4 b	85.6 	86.0 	85.6 bp	85.7 p
YR,F,Y_LT1,HR	: 	78.1 	78.3 	78.1 	78.8 	78.8 	79.3 	79.2 	79.7 	79.7 	79.9 	80.4 	80.6 	81.0 	81.0 	80.5 	81.3 
YR,F,Y_LT1,HU	76.2 	76.7 	76.7 	76.7 	77.2 	77.2 	77.8 	77.8 	78.3 	78.4 	78.6 	78.7 	78.7 b	79.1 	79.4 	79.0 	79.7 
YR,F,Y_LT1,IE	79.2 	79.9 	80.4 	80.7 	81.1 	81.3 	81.7 	82.1 	82.4 	82.7 	83.1 	83.0 	83.1 	83.1 	83.5 	83.4 	83.6 
YR,F,Y_LT1,IS	81.6 	83.2 	82.5 	82.5 	83.2 	83.5 	82.9 	83.4 	83.3 	83.8 	84.1 	84.1 	84.3 	83.7 	84.5 	83.8 	84.1 
YR,F,Y_LT1,IT	82.8 	83.2 	83.2 	82.8 	83.7 	83.6 	84.1 	84.2 	84.2 	84.3 	84.7 	84.8 	84.8 	85.2 	85.6 	84.9 	85.6 
YR,F,Y_LT1,LI	79.9 	82.4 	82.3 	81.6 	85.1 	84.1 	83.1 	83.6 	85.5 	83.6 	84.3 	84.2 	85.2 	83.9 	83.2 	84.5 	84.0 
