sex,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
F,AT	108.8 	105.4 	101.5 	103.8 	101.6 	97.7 	93.1 	92.4 	90.0 	89.5 	89.0 	88.7 	87.1 	83.9 	85.1 	80.7 
F,BE	: 	: 	: 	101.6 	99.9 	98.9 	95.3 	99.5 	97.1 	95.2 	92.1 	93.6 	88.7 	88.1 	82.2 	85.4 
F,BG	157.2 	151.1 	154.8 	144.2 	146.8 	153.1 	146.8 	143.7 	142.3 	132.5 	129.0 	125.3 	129.4 	121.1 	132.8 	130.1 
F,CH	88.5 	82.1 	82.2 	80.5 	74.5 	76.2 	77.3 	76.5 	72.7 	71.0 	71.9 	66.4 	68.4 	63.8 	60.8 	61.8 
F,CY	: 	: 	: 	: 	69.9 	73.4 	67.5 	70.1 	75.7 	66.9 	59.2 	61.1 	62.0 	52.1 	58.9 	63.1 
F,CZ	143.2 	140.9 	133.8 	137.2 	127.1 	127.3 	123.5 	120.3 	117.5 	112.9 	110.5 	107.4 	105.5 	106.8 	98.5 	96.8 
F,DE	108.2 	105.7 	105.0 	102.6 	100.4 	99.5 	97.4 	95.8 	95.4 	93.2 	92.0 	92.9 	88.7 	89.5 	86.3 	86.4 
F,DK	151.5 	148.1 	138.5 	130.6 	128.2 	128.4 	127.1 	123.4 	116.3 	113.6 	: 	107.7 	104.7 	99.7 	97.9 	94.9 
F,EE	178.2 	172.7 	162.2 	162.8 	147.9 	141.2 	151.1 	134.1 	129.3 	116.9 	110.7 	108.5 	105.3 	101.1 	98.3 	101.5 
F,EL	82.0 	81.3 	82.3 	80.3 	79.8 	78.4 	78.9 	79.0 	78.3 	76.0 	78.4 	77.9 	79.9 	78.3 	76.0 	75.0 
F,ES	78.5 	78.3 	76.7 	75.8 	72.9 	72.4 	70.7 	70.7 	70.8 	68.7 	68.3 	68.2 	67.1 	67.7 	64.8 	65.5 
F,EU28	: 	: 	113.1 p	111.1 	108.4 p	106.9 p	104.2 	103.1 	101.4 	99.1 	96.4 p	95.5 	94.0 	92.2 	89.9 	89.4 
F,FI	98.4 	92.1 	92.6 	87.7 	90.3 	92.2 	86.5 	88.0 	85.5 	84.8 	83.1 	81.0 	78.5 	77.8 	71.1 	71.9 
F,FR	: 	88.0 	86.8 	86.1 	85.0 	82.8 	82.9 	80.8 	80.8 	79.9 	77.9 	76.3 	76.4 	74.6 	75.3 	74.4 
F,HR	: 	: 	134.1 	134.0 	129.3 	124.3 	120.5 	122.3 	125.8 	116.0 	122.3 	120.4 	115.2 	117.5 	114.4 	114.3 
F,HU	219.4 	217.1 	210.2 	213.3 	208.5 	198.1 	194.5 	198.3 	193.7 	191.4 	183.6 	181.1 	175.8 	170.2 	171.2 	173.4 
F,IE	127.4 	117.2 	107.0 	114.9 	107.4 	105.9 	104.6 	99.7 	104.3 	98.9 	89.0 	94.7 	93.0 	87.8 	85.6 	85.0 
F,IS	124.7 	94.9 	106.7 	101.5 	89.7 	77.7 	91.8 	91.2 	77.6 	67.2 	: 	89.1 	74.2 	67.9 	77.0 	76.3 
F,IT	90.9 	87.9 	88.0 	87.0 	: 	: 	79.8 	79.7 	78.2 	77.9 	75.0 	75.0 	74.4 	71.5 	69.4 	69.7 
F,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81.3 	: 	80.0 	: 
F,LT	155.3 	159.0 	159.8 	160.5 	161.0 	163.4 	173.0 	180.0 	178.3 	158.5 	153.3 	152.6 	142.6 	141.4 	131.1 	138.1 
F,LU	118.4 	106.8 	106.1 	88.0 	80.6 	83.6 	102.6 	105.5 	75.7 	81.3 	81.5 	92.5 	82.1 	86.3 	66.1 	66.7 
F,LV	176.1 	188.6 	180.2 	179.0 	177.3 	173.8 	192.1 	173.1 	168.7 	167.8 	164.3 	157.2 	145.1 	140.1 	139.1 	141.8 
F,MK	167.7 	156.3 	146.6 	158.1 	152.8 	141.7 	156.4 	149.4 	143.7 	140.9 	139.4 	: 	: 	: 	: 	: 
F,MT	114.1 	100.1 	108.2 	111.1 	89.2 	103.2 	95.3 	96.5 	85.4 	86.8 	84.4 	85.6 	92.2 	71.2 	73.5 	76.1 
F,NL	118.3 	117.1 	117.3 	113.6 	112.1 	112.7 	106.7 	105.8 	107.2 	103.7 	101.0 	103.3 	99.9 	94.9 	91.2 	92.7 
F,NO	111.7 	108.2 	105.7 	101.7 	96.8 	96.9 	93.4 	91.6 	89.4 	85.0 	85.2 	84.6 	79.2 	78.2 	74.5 	70.1 
F,PL	150.3 	145.5 	139.9 	138.4 	137.7 	135.8 	136.2 	135.7 	131.6 	129.1 	122.7 	121.1 	121.3 	118.2 	114.5 	112.5 
F,PT	101.8 	103.0 	101.4 	97.0 	90.4 	87.0 	79.6 	80.7 	79.3 	80.9 	75.9 	77.9 	74.1 	71.2 	71.5 	71.7 
