sex,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
F,PC,AT	84.8 	86.3 	87.1 	88.3 	87.7 	87.6 	88.7 	89.5 	90.6 	92.6 	92.5 	94.8 	93.9 	94.6 	94.4 	96.5 	95.5 
F,PC,BE	99.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	99.9 	99.5 	99.4 	99.2 	98.2 	98.1 	98.5 	98.6 	98.4 	98.4 
F,PC,BG	73.1 	72.9 	80.6 	83.3 	82.7 	82.1 	80.2 	83.6 	84.1 	84.1 	84.8 	86.3 	87.1 	87.7 	89.1 	89.1 	86.1 
F,PC,CH	: 	: 	73.8 	75.3 	76.1 	78.1 	79.4 	79.7 	78.5 	78.3 	79.2 	79.2 	78.8 	79.5 	81.0 	81.5 	82.8 
F,PC,CY	65.2 	70.6 	67.8 	68.8 	70.8 	73.5 	82.1 	82.7 	87.1 	85.1 	86.0 	85.0 	83.6 	84.4 	83.3 	89.7 	89.0 
F,PC,CZ	90.0 	92.4 	93.7 	93.7 	93.9 	94.3 	92.6 	92.6 	90.9 	90.6 	89.6 	88.0 	86.0 	85.6 	86.3 	87.8 	90.7 
F,PC,DE	81.0 	88.7 	88.4 	85.3 	85.9 	86.8 	92.9 	94.5 	95.6 	96.1 	96.4 	96.5 	96.7 	97.6 	97.6 	97.6 	96.9 
F,PC,DK	97.1 	93.9 	93.5 	94.9 	97.0 	93.6 	94.3 	94.3 	93.8 	93.9 	98.2 	98.0 d	98.0 	98.3 	98.9 	99.3 	98.2 
F,PC,EE	85.0 	85.6 	85.1 	93.6 	96.0 	99.2 	95.6 	94.9 	96.2 	97.0 	90.3 d	90.1 	90.0 	90.5 	91.7 	91.9 	92.7 
F,PC,EL	69.8 	70.0 	68.5 	67.4 	66.4 	67.7 	68.7 	66.2 	69.3 	: 	74.0 	75.9 	75.3 	: 	: 	: 	: 
F,PC,ES	100.0 	100.0 	100.0 	100.0 	99.5 	99.3 	98.3 	98.1 	98.9 	99.2 	98.7 	98.2 	97.7 	97.3 	97.3 d	97.8 	97.4 
F,PC,EU27	85.2 d	86.7 d	87.8 d	87.1 d	87.7 d	88.2 d	89.7 d	90.9 d	92.0 d	92.6 d	93.3 	93.5 	94.3 	: 	: 	: 	: 
F,PC,EU28	85.2 	86.7 	87.8 	86.0 	87.3 	87.9 	89.4 	90.6 	91.7 	92.3 	93.1 	93.3 	94.0 	93.9 d	94.2 d	94.9 e	95.3 e
F,PC,FI	55.0 	62.1 	64.9 	65.5 	66.9 	67.0 	68.1 	69.7 	70.7 	71.8 	73.0 	73.9 	75.1 	84.0 b	83.6 	83.6 	87.4 
F,PC,FR	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 e	100.0 e	100.0 
