ww_tp,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
WWT_GE2,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	8 	6 
WWT_GE2,PC,AT	: 	77 	: 	: 	88.9 	: 	91.8 	: 	92.6 	: 	93.9 	: 	94.5 	: 	95 	: 	: 
WWT_GE2,PC,BA	1.4 	1.3 	1.3 	1.5 	1.5 	1.5 	1.6 	1.6 	1.7 	1.7 	1.7 	1.8 	1.8 	1.8 	: 	: 	: 
WWT_GE2,PC,BE	41.1 	45.7 	47.7 	51.4 	53.2 	54.4 	57.4 	68.7 	71 	72.8 	75 	77.2 	81.3 	84.2 	: 	: 	: 
WWT_GE2,PC,BG	36.1 	37.4 	37.8 	37.9 	38 	38.3 	38.8 	39.6 	41.3 	42.7 	45.1 	53.7 	53.9 	54.6 	54.8 	60.7 	: 
WWT_GE2,PC,CH	96 	96 	96 	: 	: 	97 	: 	: 	: 	: 	98 	: 	: 	98 	: 	: 	: 
WWT_GE2,PC,CY	14.3 	15.9 	18.3 	22.9 	28.4 	29.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
WWT_GE2,PC,CZ	: 	: 	69.7 	70.6 	70.8 	72.8 	71.9 	73 	75.4 	75.7 	76.9 	78 	78 	79.8 	80.6 	80.8 	: 
WWT_GE2,PC,DE	: 	92.6 	: 	: 	93.8 	97.3 	: 	91.9 	: 	: 	95.6 	95.5 	95.5 	95.4 	: 	: 	: 
WWT_GE2,PC,DK	87.1 	87 	88 	: 	: 	: 	: 	: 	: 	89.4 	88 	88.4 	88.4 	90.1 	91 	: 	: 
WWT_GE2,PC,EE	69 	69 	71 	71 	72 	78 	78 	83.5 	84.5 	84.5 	78.3 	81.1 	81.2 	82.1 	83 	: 	: 
WWT_GE2,PC,EL	: 	: 	: 	: 	: 	: 	: 	85 	: 	87.4 	87.4 	88.2 	: 	92.9 	92.9 	: 	: 
WWT_GE2,PC,ES	80 	: 	88 	: 	: 	: 	88 	: 	88 	: 	93 	: 	94.8 	: 	92.9 	: 	: 
WWT_GE2,PC,FI	80 	81 	81 	: 	: 	: 	: 	: 	: 	: 	83 	83 	83 	83 	: 	: 	: 
WWT_GE2,PC,FR	: 	77.3 	: 	: 	79.5 	: 	: 	: 	: 	: 	77.7 	79.8 	80.1 	80.5 	80.4 	: 	: 
WWT_GE2,PC,HR	4.2 	: 	: 	: 	8 	8.6 	8.9 	22 	: 	: 	: 	36.9 	36.9 	36.9 	36.9 	36.9 	: 
WWT_GE2,PC,HU	29.8 	29.1 	32.4 	38.9 	40.2 	41.7 	45.3 	49.8 	50 	52.1 	69.5 	70.9 	72.8 	72.6 	73.7 	76.8 	: 
WWT_GE2,PC,IE	: 	29 	: 	: 	: 	: 	: 	59 	: 	71 	: 	63 	: 	65 	65 	: 	: 
WWT_GE2,PC,IS	0 	0 	1 	1 	1 	2 	: 	: 	2 	: 	1 	: 	: 	: 	: 	: 	: 
WWT_GE2,PC,IT	: 	: 	: 	: 	: 	54.2 	: 	: 	57.5 	: 	: 	: 	57.6 	: 	: 	59.6 	: 
WWT_GE2,PC,LT	: 	: 	24.5 	27.6 	: 	: 	: 	: 	: 	: 	: 	: 	63.1 	64.3 	69.4 	72.3 	: 
WWT_GE2,PC,LU	: 	: 	: 	88.1 	: 	: 	: 	: 	: 	: 	91.3 	90.9 	96.1 	96.3 	96.6 	96.6 	: 
WWT_GE2,PC,LV	: 	: 	64.6 	69.6 	65.5 	65.1 	64.1 	66.7 	56.9 	63.2 	60.3 	71.5 	69.8 	71 	: 	: 	: 
WWT_GE2,PC,MT	13.8 	14 	15.8 	16.1 	13.3 	13.2 	9.3 	8.4 	14.8 	15.2 	6.6 	92.3 	92.3 	92.2 	92.2 	0 	: 
WWT_GE2,PC,NL	98.1 	98.4 	98.5 	98.6 	98.9 	99 	99.1 	: 	99.3 	: 	99.3 	99.4 	99.5 	99.4 	99.4 	99.4 	: 
WWT_GE2,PC,NO	61.6 	62.9 	64.1 	64.2 	64.3 	65.7 	66.3 	66 	66 	66.2 	65.8 	67.8 	68.9 	68.8 	68.9 	71.8 	: 
