geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
AL	2.49 	2.40 	3.22 	2.94 	3.37 	2.38 	3.98 	6.50 	6.15 	5.54 	4.04 	3.36 	3.38 	3.38 	3.38 
AT	1.52 	1.25 	1.54 	1.63 	1.55 	1.50 	1.42 	1.19 	1.25 	1.33 	1.53 	1.56 	1.57 	1.45 	1.34 
BA	2.27 	1.99 	1.69 	3.11 	2.53 	1.92 	2.55 	2.42 	3.02 	2.65 	2.60 	2.62 	2.30 	2.30 	2.30 
BE	2.77 	2.40 	2.36 	2.63 	2.41 	2.31 	2.63 	2.96 	2.86 	2.91 	2.73 	2.52 	2.52 	2.32 	2.38 
BG	4.14 	4.58 	4.05 	3.42 	3.41 	3.63 	3.78 	3.93 	3.14 	3.33 	2.83 	2.77 	2.80 	2.80 	2.80 
CY	2.13 	2.33 	2.54 	2.75 	2.06 	1.78 	2.37 	3.29 	4.42 	2.75 	2.70 	3.94 	2.97 	1.77 	1.75 
DK	1.76 	1.79 	1.83 	1.95 	1.69 	1.58 	1.82 	1.59 	1.29 	1.43 	1.50 	1.69 	1.71 	1.71 	1.71 
EE	1.63 	1.66 	1.66 	1.55 	1.57 	1.57 	1.79 	1.66 	1.68 	1.70 	1.56 	1.66 	1.42 	1.54 	1.63 
EU_V	2.81 	2.75 	2.62 	2.59 	2.35 	2.29 	2.29 	2.33 	2.17 	2.14 	2.08 	2.05 	2.02 	1.97 	1.94 
FI	2.24 	2.26 	2.63 	2.56 	2.14 	2.63 	2.01 	1.79 	1.88 	1.62 	1.87 	2.42 	2.58 	1.76 	1.37 
FR	2.76 	2.43 	2.27 	2.14 	1.79 	1.69 	1.57 	1.65 	1.35 	1.44 	1.36 	1.39 	1.29 	1.21 	1.14 
HR	2.82 	2.82 	2.82 	2.82 	2.48 	1.98 	1.89 	1.83 	1.75 	1.71 	1.77 	1.78 	1.97 	1.97 	1.97 
IE	1.42 	1.27 	1.05 	1.05 	1.13 	1.14 	1.21 	1.19 	1.04 	1.07 	1.24 	1.31 	1.21 	1.21 	1.21 
IT	2.60 	2.48 	2.48 	2.83 	2.60 	2.36 	2.28 	2.24 	2.23 	2.07 	2.18 	1.99 	2.18 	2.18 	2.18 
LT	2.71 	2.84 	2.62 	2.75 	2.49 	2.74 	2.84 	2.39 	2.45 	2.54 	2.54 	2.19 	2.11 	2.16 	2.19 
LU	3.68 	3.91 	4.66 	3.43 	2.19 	1.47 	3.18 	2.84 	2.27 	1.98 	2.04 	1.66 	1.88 	1.88 	1.88 
LV	1.84 	1.77 	1.93 	2.41 	1.86 	1.61 	1.44 	1.51 	1.50 	1.47 	1.51 	1.48 	1.40 	1.22 	1.16 
MK	3.65 	7.42 	6.36 	5.43 	5.35 	5.53 	5.71 	5.89 	7.46 	5.14 	2.82 	3.49 	3.77 	3.54 	3.40 
PL	3.77 	3.69 	3.49 	3.58 	3.07 	3.08 	3.24 	3.05 	3.12 	3.01 	2.96 	2.90 	2.87 	2.84 	2.70 
RO	3.85 	3.85 	3.52 	3.43 	3.14 	3.22 	3.16 	3.26 	3.10 	2.91 	2.99 	2.95 	2.99 	2.96 	2.96 
SE	7.84 	5.00 	5.60 	6.29 	5.95 	8.02 	3.97 	4.14 	5.95 	6.81 	5.43 	5.34 	5.53 	5.53 	5.53 
SI	2.64 	2.76 	2.65 	2.94 	2.85 	1.86 	1.05 	1.20 	0.96 	0.95 	0.95 	1.02 	1.03 	0.90 	0.88 
SK	2.81 	2.81 	3.08 	2.95 	2.56 	2.44 	2.22 	2.38 	2.26 	2.08 	2.42 	2.45 	2.36 	2.15 	2.33 
UK	1.95 	1.96 	1.98 	1.93 	1.86 	1.94 	1.70 	1.87 	1.67 	1.71 	1.77 	1.62 	1.51 	1.55 	1.54 
