watpol,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
PO4_MG_L_RIV,AL	0.032 	0.031 	0.033 	0.034 	0.017 	0.042 	0.066 	0.064 	0.186 	0.094 	0.168 	0.079 	0.045 	0.045 	0.045 
PO4_MG_L_RIV,AT	0.046 	0.035 	0.041 	0.048 	0.04 	0.035 	0.033 	0.032 	0.029 	0.025 	0.03 	0.033 	0.038 	0.038 	0.038 
PO4_MG_L_RIV,BA	0.039 	0.039 	0.046 	0.054 	0.073 	0.047 	0.042 	0.059 	0.054 	0.046 	0.035 	0.037 	0.03 	0.03 	0.03 
PO4_MG_L_RIV,BE	0.245 	0.216 	0.222 	0.267 	0.257 	0.242 	0.208 	0.177 	0.155 	0.209 	0.2 	0.199 	0.151 	0.155 	0.167 
PO4_MG_L_RIV,BG	0.165 	0.206 	0.186 	0.171 	0.161 	0.1 	0.196 	0.223 	0.194 	0.179 	0.188 	0.096 	0.112 	0.112 	0.112 
PO4_MG_L_RIV,CH	0.024 	0.025 	0.022 	0.02 	0.02 	0.02 	0.023 	0.02 	0.019 	0.019 	0.019 	0.021 	0.019 	0.019 	0.019 
PO4_MG_L_RIV,CY	0.005 	0.005 	0.005 	0.004 	0.004 	0.003 	0.002 	0.28 	0.173 	0.051 	0.031 	0.005 	0.012 	0.012 	0.012 
PO4_MG_L_RIV,DE	0.079 	0.077 	0.074 	0.072 	0.077 	0.074 	0.071 	0.07 	0.069 	0.075 	0.065 	0.069 	0.069 	0.069 	0.069 
PO4_MG_L_RIV,DK	0.057 	0.055 	0.056 	0.053 	0.054 	0.048 	0.053 	0.049 	0.048 	0.046 	0.05 	0.051 	0.051 	0.046 	0.047 
PO4_MG_L_RIV,EE	0.032 	0.035 	0.034 	0.041 	0.03 	0.029 	0.028 	0.025 	0.027 	0.03 	0.025 	0.026 	0.024 	0.024 	0.023 
PO4_MG_L_RIV,EU_V	0.087 	0.086 	0.087 	0.086 	0.076 	0.074 	0.076 	0.075 	0.068 	0.067 	0.063 	0.059 	0.067 	0.067 	0.068 
PO4_MG_L_RIV,FI	0.015 	0.016 	0.012 	0.014 	0.014 	0.015 	0.014 	0.013 	0.014 	0.015 	0.013 	0.013 	0.014 	0.01 	0.01 
PO4_MG_L_RIV,FR	0.078 	0.067 	0.081 	0.067 	0.06 	0.061 	0.059 	0.059 	0.049 	0.049 	0.046 	0.046 	0.042 	0.036 	0.043 
PO4_MG_L_RIV,HR	0.066 	0.066 	0.066 	0.066 	0.055 	0.044 	0.052 	0.033 	0.037 	0.032 	0.036 	0.032 	0.04 	0.04 	0.04 
PO4_MG_L_RIV,IE	0.046 	0.042 	0.036 	0.036 	0.035 	0.035 	0.036 	0.035 	0.034 	0.035 	0.037 	0.034 	0.024 	0.024 	0.024 
PO4_MG_L_RIV,IS	0.006 	0.008 	0.009 	0.009 	0.013 	0.011 	0.008 	0.008 	0.007 	0.002 	0.006 	0.008 	0.006 	0.007 	0.01 
PO4_MG_L_RIV,IT	0.052 	0.045 	0.059 	0.053 	0.045 	0.055 	0.062 	0.06 	0.054 	0.048 	0.052 	0.043 	0.047 	0.047 	0.047 
PO4_MG_L_RIV,LI	0.015 	0.018 	0.017 	0.019 	0.014 	0.014 	0.013 	0.013 	0.015 	0.014 	0.015 	0.013 	0.013 	0.013 	0.013 
PO4_MG_L_RIV,LT	0.07 	0.089 	0.083 	0.09 	0.068 	0.091 	0.08 	0.049 	0.077 	0.062 	0.053 	0.05 	0.043 	0.055 	0.05 
PO4_MG_L_RIV,LU	0.043 	0.047 	0.043 	0.044 	0.045 	0.045 	0.03 	0.036 	0.027 	0.066 	0.033 	0.076 	0.136 	0.136 	0.136 
PO4_MG_L_RIV,LV	0.032 	0.039 	0.03 	0.039 	0.029 	0.028 	0.042 	0.03 	0.024 	0.018 	0.027 	0.021 	0.025 	0.048 	0.053 
PO4_MG_L_RIV,MK	0.266 	0.252 	0.313 	0.406 	0.338 	0.239 	0.198 	0.239 	0.235 	0.253 	0.159 	0.191 	0.222 	0.265 	0.297 
PO4_MG_L_RIV,RO	0.13 	0.13 	0.118 	0.114 	0.082 	0.087 	0.073 	0.1 	0.082 	0.075 	0.059 	0.061 	0.069 	0.066 	0.063 
PO4_MG_L_RIV,RS	0.084 	0.084 	0.084 	0.084 	0.068 	0.082 	0.085 	0.08 	0.084 	0.077 	0.078 	0.072 	0.077 	0.064 	0.068 
PO4_MG_L_RIV,SE	0.009 	0.011 	0.012 	0.012 	0.014 	0.013 	0.013 	0.012 	0.012 	0.011 	0.013 	0.013 	0.011 	0.011 	0.011 
PO4_MG_L_RIV,SI	0.039 	0.039 	0.035 	0.032 	0.025 	0.03 	0.039 	0.029 	0.018 	0.017 	0.014 	0.016 	0.021 	0.016 	0.019 
PO4_MG_L_RIV,SK	0.156 	0.165 	0.17 	0.193 	0.162 	0.138 	0.126 	0.132 	0.124 	0.12 	0.084 	0.087 	0.108 	0.089 	0.103 
PO4_MG_L_RIV,UK	0.221 	0.214 	0.214 	0.213 	0.176 	0.2 	0.187 	0.157 	0.139 	0.141 	0.134 	0.152 	0.117 	0.121 	0.12 
