indic_nrg,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
B_100910,I05,AL	83.6 	85.1 	96.0 	94.6 	100.7 	100.0 	95.3 	90.5 	95.8 	95.1 	97.1 	104.2 	98.6 	105.2 	107.6 	101.2 	103.4 
B_100910,I05,AT	84.4 	89.0 	90.1 	95.0 	97.0 	100.0 	99.8 	98.5 	99.2 	93.4 	99.8 	97.7 	97.1 	99.2 	94.7 	97.3 	98.5 
B_100910,I05,BE	101.9 	101.1 	97.1 	101.9 	101.8 	100.0 	98.9 	96.5 	99.1 	97.1 	104.3 	97.0 	92.1 	94.9 	88.0 	89.1 	95.4 
B_100910,I05,BG	92.8 	96.8 	95.7 	98.1 	96.2 	100.0 	103.6 	101.7 	100.1 	89.5 	91.8 	98.3 	94.0 	86.2 	91.2 	94.7 	93.3 
B_100910,I05,CY	94.4 	95.4 	96.5 	105.2 	98.6 	100.0 	104.0 	109.2 	114.7 	111.2 	107.6 	106.4 	100.5 	87.7 	89.4 	91.2 	97.5 
B_100910,I05,CZ	92.5 	94.8 	95.7 	100.1 	101.2 	100.0 	102.7 	103.1 	100.3 	95.0 	100.1 	96.8 	95.8 	96.1 	92.5 	94.1 	94.0 
B_100910,I05,DE	100.0 	103.2 	100.8 	100.3 	100.8 	100.0 	103.2 	97.8 	99.2 	93.1 	97.7 	92.5 	93.3 	95.4 	91.8 	92.3 	93.2 
B_100910,I05,DK	101.0 	103.9 	102.2 	106.4 	103.3 	100.0 	107.8 	105.1 	101.2 	97.0 	102.8 	95.1 	92.0 	91.3 	86.3 	86.3 	89.2 
B_100910,I05,EA19	93.6 	96.1 	96.1 	98.3 	99.7 	100.0 	100.4 	98.7 	98.9 	93.6 	96.6 	92.8 	92.1 	91.6 	87.9 	89.6 	90.0 
B_100910,I05,EE	89.0 	93.0 	90.4 	100.0 	101.2 	100.0 	97.7 	110.1 	106.5 	97.3 	112.5 	113.5 	111.9 	121.3 	118.1 	115.1 	113.8 
B_100910,I05,EL	90.0 	92.7 	94.1 	96.4 	97.8 	100.0 	100.1 	100.1 	100.8 	96.4 	90.1 	87.8 	87.5 	77.0 	77.2 	77.5 	76.8 
B_100910,I05,ES	84.1 	86.3 	89.1 	92.6 	97.5 	100.0 	100.4 	101.8 	98.7 	90.8 	90.7 	89.6 	89.9 	84.1 	82.9 	86.2 	86.3 
B_100910,I05,EU28	94.4 	96.8 	96.6 	98.7 	99.7 	100.0 	100.5 	98.9 	98.8 	93.3 	96.7 	93.1 	92.6 	91.7 	88.1 	89.4 	90.0 
B_100910,I05,FI	94.1 	96.8 	101.8 	107.8 	108.7 	100.0 	109.0 	108.0 	104.1 	98.2 	107.6 	104.0 	100.8 	98.9 	100.7 	95.3 	99.1 
B_100910,I05,FR	92.7 	96.4 	96.3 	97.8 	99.4 	100.0 	98.3 	96.9 	98.0 	94.2 	97.3 	93.8 	94.0 	94.4 	90.1 	91.9 	90.5 
B_100910,I05,HR	85.3 	89.9 	92.5 	98.5 	97.9 	100.0 	99.5 	103.4 	100.4 	98.0 	97.0 	95.6 	91.5 	88.4 	84.0 	87.8 	88.6 
B_100910,I05,HU	91.4 	94.3 	93.8 	96.5 	95.0 	100.0 	99.1 	96.8 	96.4 	92.3 	94.9 	94.0 	89.1 	86.5 	84.7 	89.7 	92.0 
B_100910,I05,IE	93.4 	98.6 	99.5 	98.7 	100.6 	100.0 	103.2 	107.0 	105.0 	99.3 	100.8 	92.1 	91.5 	91.2 	90.6 	94.9 	99.0 
B_100910,I05,IS	100.4 	96.6 	99.0 	99.3 	98.4 	100.0 	124.7 	147.8 	165.5 	171.0 	172.2 	184.5 	180.5 	188.4 	188.4 	180.9 	173.6 
B_100910,I05,IT	91.4 	91.2 	92.1 	97.3 	98.0 	100.0 	98.8 	98.7 	97.8 	91.1 	92.8 	90.0 	87.0 	84.4 	79.3 	82.4 	81.8 
B_100910,I05,LT	80.2 	92.5 	99.5 	103.7 	106.4 	100.0 	97.4 	100.9 	102.2 	97.8 	76.8 	73.4 	74.4 	71.9 	71.3 	72.7 	75.1 
