indic_nrg,unit,product,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
B_101550,PC,0000,AL	46.6 	53.3 	54.6 	51.1 	48.3 	50.5 	41.8 	50.9 	52.0 	47.7 	30.5 	37.4 	22.0 	28.1 	34.2 	12.7 	21.1 
B_101550,PC,0000,AT	65.4 	64.9 	67.9 	70.8 	71.0 	72.0 	72.7 	69.0 	69.6 	65.9 	63.2 	70.3 	64.4 	61.3 	65.8 	60.5 	62.4 
B_101550,PC,0000,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.9 	33.5 	31.1 
B_101550,PC,0000,BE	78.1 	80.6 	77.6 	79.6 	79.9 	80.1 	79.6 	76.9 	81.1 	75.6 	78.2 	75.4 	76.1 	77.4 	80.0 	84.3 	76.0 
B_101550,PC,0000,BG	46.0 	45.8 	45.7 	46.3 	48.1 	46.7 	45.6 	50.7 	51.7 	45.1 	39.6 	36.0 	36.1 	37.7 	34.5 	35.4 	37.2 
B_101550,PC,0000,CY	98.6 	95.9 	100.1 	96.1 	95.4 	100.7 	102.5 	95.9 	97.5 	96.3 	100.8 	92.4 	97.0 	96.3 	93.2 	97.7 	96.2 
B_101550,PC,0000,CZ	22.8 	25.0 	26.2 	24.9 	25.3 	27.8 	27.6 	25.0 	27.8 	26.9 	25.5 	28.8 	25.4 	27.7 	30.3 	32.1 	32.7 
B_101550,PC,0000,DE	59.4 	60.9 	60.1 	60.5 	61.0 	60.5 	60.9 	58.5 	61.0 	61.3 	60.3 	61.9 	61.5 	62.7 	61.8 	61.9 	63.5 
B_101550,PC,0000,DK	-35.0 	-28.0 	-41.8 	-31.3 	-47.0 	-50.0 	-35.5 	-24.0 	-20.1 	-19.7 	-15.7 	-5.6 	-2.2 	12.3 	12.4 	13.4 	13.9 
B_101550,PC,0000,EA19	64.1 	63.2 	63.8 	64.0 	64.1 	65.0 	65.4 	63.6 	64.6 	63.5 	62.0 	62.4 	61.0 	60.0 	60.2 	62.3 	61.9 
B_101550,PC,0000,EE	32.2 	32.3 	29.6 	26.7 	28.5 	26.1 	29.2 	24.7 	24.7 	22.0 	13.6 	12.0 	17.0 	11.9 	9.2 	7.3 	6.8 
B_101550,PC,0000,EL	69.5 	68.9 	71.5 	67.5 	72.7 	68.6 	71.9 	71.2 	73.3 	67.6 	69.1 	65.1 	66.4 	62.2 	66.2 	71.7 	73.6 
B_101550,PC,0000,ES	76.6 	74.7 	78.5 	76.7 	77.6 	81.4 	81.2 	79.6 	81.3 	79.1 	76.7 	76.3 	73.1 	70.4 	72.9 	73.3 	71.9 
B_101550,PC,0000,EU28	46.7 	47.3 	47.5 	48.8 	50.2 	52.1 	53.6 	52.8 	54.5 	53.6 	52.7 	54.0 	53.4 	53.1 	53.4 	53.9 	53.6 
B_101550,PC,0000,FI	55.1 	54.8 	52.0 	58.8 	54.3 	54.1 	53.6 	52.9 	54.1 	53.6 	47.8 	52.8 	46.3 	48.6 	48.9 	47.4 	45.3 
B_101550,PC,0000,FR	51.5 	50.7 	51.0 	50.5 	50.7 	51.6 	51.4 	50.3 	50.6 	50.8 	48.9 	48.6 	48.1 	47.9 	45.9 	45.7 	47.1 
B_101550,PC,0000,HR	48.4 	46.5 	54.3 	50.6 	51.8 	52.5 	49.0 	51.6 	54.6 	46.0 	46.6 	49.4 	49.0 	47.1 	43.8 	48.3 	47.8 
B_101550,PC,0000,HU	55.2 	53.5 	56.8 	62.0 	60.9 	62.0 	61.6 	60.0 	62.3 	57.0 	56.4 	49.8 	49.7 	49.6 	59.3 	53.3 	55.6 
B_101550,PC,0000,IE	84.9 	89.5 	88.9 	89.4 	90.4 	89.7 	90.9 	87.9 	90.4 	88.5 	86.6 	90.0 	85.0 	89.1 	85.3 	88.6 	69.1 
B_101550,PC,0000,IS	30.5 	29.0 	28.8 	27.8 	31.9 	31.1 	25.9 	22.8 	21.1 	20.0 	13.9 	13.4 	13.7 	13.5 	14.0 	16.4 	19.0 
B_101550,PC,0000,IT	86.5 	83.2 	85.6 	83.0 	84.4 	83.4 	85.9 	83.0 	82.9 	80.8 	82.6 	81.4 	79.2 	76.8 	75.9 	77.1 	77.5 
B_101550,PC,0000,LT	59.4 	46.2 	41.6 	43.8 	46.6 	56.8 	62.0 	61.2 	57.8 	49.9 	81.8 	81.7 	80.3 	78.3 	78.0 	78.4 	77.4 
B_101550,PC,0000,LU	99.6 	97.4 	98.6 	98.4 	97.9 	97.4 	98.2 	96.7 	97.5 	97.5 	97.1 	97.3 	97.5 	97.1 	96.5 	95.9 	96.1 
B_101550,PC,0000,LV	61.0 	59.3 	58.7 	63.2 	69.4 	63.9 	66.7 	62.5 	58.8 	60.4 	45.5 	59.9 	56.4 	55.9 	40.6 	51.2 	47.2 
B_101550,PC,0000,ME	: 	: 	: 	: 	: 	42.1 	44.8 	54.0 	45.9 	42.9 	26.3 	36.2 	34.2 	23.4 	29.9 	29.7 	34.7 
B_101550,PC,0000,MK	39.9 	38.2 	45.7 	38.1 	41.2 	41.8 	43.3 	46.4 	44.8 	43.9 	43.0 	44.5 	47.9 	46.7 	51.8 	52.4 	58.7 
B_101550,PC,0000,MT	100.3 	99.8 	99.8 	99.8 	99.8 	100.0 	100.0 	100.0 	100.0 	99.9 	99.0 	101.3 	101.0 	104.1 	97.7 	97.3 	100.9 
B_101550,PC,0000,NL	38.0 	34.0 	34.6 	38.9 	31.9 	37.8 	38.1 	37.7 	34.3 	36.2 	29.9 	29.4 	29.4 	25.7 	32.7 	51.4 	45.8 
B_101550,PC,0000,NO	-733.1 	-716.6 	-803.1 	-739.1 	-740.1 	-703.2 	-667.4 	-657.1 	-570.5 	-580.2 	-571.5 	-614.2 	-604.3 	-548.5 	-569.8 	-596.2 	-644.4 
B_101550,PC,0000,PL	9.9 	9.9 	10.6 	13.2 	14.5 	17.2 	19.6 	25.5 	30.2 	31.6 	31.3 	33.4 	30.6 	25.6 	28.6 	29.2 	30.3 
B_101550,PC,0000,PT	85.1 	85.1 	84.1 	85.5 	83.9 	88.6 	84.0 	81.4 	83.4 	81.4 	75.1 	77.7 	79.2 	72.4 	71.2 	77.3 	73.5 
B_101550,PC,0000,RO	21.8 	26.1 	24.1 	25.4 	30.2 	27.6 	29.4 	31.7 	27.9 	20.3 	21.9 	21.6 	22.7 	18.5 	17.1 	17.1 	22.3 
B_101550,PC,0000,RS	13.7 	22.3 	25.5 	27.6 	32.1 	35.3 	37.2 	35.9 	37.2 	32.2 	33.2 	30.4 	27.8 	23.7 	27.5 	27.2 	29.2 
B_101550,PC,0000,SE	40.7 	37.7 	37.2 	42.8 	36.3 	37.0 	37.0 	35.8 	37.5 	37.1 	36.9 	36.7 	29.4 	32.0 	32.2 	30.0 	32.0 
B_101550,PC,0000,SI	52.8 	50.4 	50.6 	53.6 	52.4 	52.5 	52.0 	52.5 	55.1 	48.2 	48.7 	47.7 	51.2 	46.9 	44.5 	48.8 	48.4 
B_101550,PC,0000,SK	65.5 	62.2 	63.9 	64.5 	67.7 	65.3 	63.8 	68.3 	64.4 	66.5 	63.1 	64.3 	60.2 	59.2 	60.9 	58.7 	59.0 
B_101550,PC,0000,TR	65.7 	64.8 	67.6 	70.4 	70.4 	71.8 	72.7 	74.2 	72.4 	70.5 	70.6 	71.4 	75.5 	75.1 	76.4 	77.6 	74.9 
B_101550,PC,0000,UK	-16.9 	-9.3 	-11.9 	-6.0 	4.5 	13.4 	21.2 	20.5 	26.3 	26.9 	29.0 	36.6 	42.9 	47.1 	46.1 	37.3 	35.3 
B_101550,PC,0000,XK	27.1 	27.1 	27.2 	26.7 	27.2 	28.2 	29.5 	29.0 	27.1 	25.9 	24.6 	27.5 	27.3 	21.9 	27.2 	27.6 	23.6 
B_101550,PC,2000,AL	58.7 	75.0 	75.3 	9.3 	9.3 	16.5 	16.5 	16.5 	12.7 	97.6 	97.8 	99.1 	99.3 	99.0 	100.0 	64.5 	96.1 
B_101550,PC,2000,AT	83.9 	89.4 	91.8 	86.5 	98.3 	100.7 	92.3 	102.5 	103.2 	95.8 	99.4 	89.6 	102.7 	94.1 	101.1 	85.2 	95.5 
B_101550,PC,2000,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.3 	17.8 	14.9 
B_101550,PC,2000,BE	91.2 	106.7 	86.3 	97.6 	101.5 	101.3 	96.0 	96.3 	106.4 	82.7 	98.3 	100.8 	95.0 	94.3 	101.6 	97.1 	94.9 
B_101550,PC,2000,BG	35.1 	35.9 	37.6 	35.8 	40.5 	37.0 	35.2 	38.9 	42.6 	27.3 	24.7 	24.4 	21.4 	16.4 	14.6 	11.2 	9.8 
B_101550,PC,2000,CY	: 	: 	: 	: 	68.5 	121.0 	116.8 	67.6 	102.5 	123.3 	65.5 	1.3 	100.0 	100.0 	127.3 	100.0 	: 
B_101550,PC,2000,CZ	-21.8 	-20.9 	-17.2 	-15.9 	-13.7 	-16.1 	-16.0 	-14.7 	-15.5 	-19.3 	-15.1 	-11.0 	-11.9 	-9.8 	-4.2 	-1.5 	-0.9 
B_101550,PC,2000,DE	25.5 	29.9 	29.1 	29.5 	32.5 	31.7 	38.0 	37.0 	38.2 	35.5 	40.1 	41.5 	40.0 	44.5 	44.8 	45.5 	49.6 
B_101550,PC,2000,DK	94.9 	96.6 	88.4 	98.3 	101.4 	94.4 	93.6 	100.3 	108.5 	98.0 	69.4 	111.0 	93.6 	90.8 	104.9 	85.0 	84.6 
B_101550,PC,2000,EA19	51.0 	52.5 	52.3 	53.3 	56.4 	56.1 	58.6 	57.1 	60.8 	56.8 	58.8 	58.4 	57.4 	59.5 	61.0 	62.1 	61.8 
