sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
BES,PC_GDP,AT	: 	: 	1.38 	: 	1.47 	1.66 e	1.66 	1.71 	1.78 e	1.77 	1.87 e	1.84 	2.05 e	2.09 	2.19 e	2.18 	2.2 p
BES,PC_GDP,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.16 	0.19 	0.05 	: 	: 
BES,PC_GDP,BE	1.39 	1.48 	1.33 	1.28 	1.25 	1.21 	1.26 	1.28 	1.31 	1.31 	1.38 	1.48 	1.59 	1.62 	1.67 	1.72 	1.73 p
BES,PC_GDP,BG	0.11 	0.09 	0.09 	0.1 	0.11 	0.1 	0.11 	0.13 	0.14 	0.15 	0.28 	0.28 	0.37 	0.39 	0.52 	0.7 	0.57 
BES,PC_GDP,CH	1.72 	: 	: 	: 	1.97 	: 	: 	: 	2 	: 	: 	: 	2.28 	: 	: 	2.4 	: 
BES,PC_GDP,CY	0.05 	0.05 	0.06 	0.07 	0.07 	0.08 	0.09 	0.09 	0.09 	0.09 	0.08 	0.07 	0.07 	0.09 	0.11 	0.11 	0.17 p
BES,PC_GDP,CZ	0.67 	0.66 	0.67 	0.7 	0.72 	0.68 	0.72 	0.75 	0.71 	0.72 	0.77 	0.86 	0.96 	1.03 	1.1 	1.05 	1.03 p
BES,PC_GDP,DE	1.68 	1.67 	1.67 	1.71 	1.69 	1.68 	1.72 	1.71 	1.8 	1.84 	1.82 	1.89 	1.95 	1.9 	1.94 	2 	2 
BES,PC_GDP,DK	1.46 	1.59 	1.69 	1.74 	1.65 	1.63 	1.61 	1.76 b	1.94 	2.13 	1.96 	1.96 	1.95 	1.88 	1.86 	1.89 p	1.89 e
BES,PC_GDP,EA19	1.14 e	1.14 e	1.14 e	1.14 e	1.12 	1.12 	1.14 	1.15 	1.19 	1.23 	1.24 	1.29 	1.34 	1.33 	1.36 	1.37 	1.37 p
BES,PC_GDP,EE	0.14 	0.24 	0.22 	0.26 	0.33 	0.42 	0.5 	0.5 	0.54 	0.62 	0.79 	1.46 	1.22 	0.82 	0.63 	0.69 	0.66 
BES,PC_GDP,EL	0.14 	0.18 	0.18 	0.18 	0.16 e	0.18 	0.17 e	0.16 	0.21 be	0.23 e	0.24 e	0.23 	0.24 	0.27 	0.28 	0.32 	0.43 
BES,PC_GDP,ES	0.47 	0.47 	0.52 b	0.55 	0.56 	0.59 	0.65 	0.69 	0.72 b	0.7 	0.69 	0.69 	0.68 	0.67 	0.65 	0.64 	0.64 
BES,PC_GDP,EU28	1.15 e	1.15 e	1.14 e	1.13 e	1.11 	1.1 	1.12 	1.12 	1.16 	1.19 	1.19 	1.24 	1.27 	1.28 	1.3 	1.31 	1.32 p
BES,PC_GDP,FI	2.3 	2.27 	2.28 	2.33 	2.32 	2.36 	2.38 	2.42 	2.63 	2.68 	2.59 	2.56 	2.35 	2.26 	2.15 	1.93 	1.81 
BES,PC_GDP,FR	1.3 	1.35 b	1.37 	1.32 	1.32 b	1.27 	1.29 b	1.27 	1.29 	1.36 	1.37 	1.4 	1.44 	1.45 	1.45 	1.45 p	1.43 p
BES,PC_GDP,HR	: 	: 	0.4 	0.37 	0.43 	0.35 	0.27 	0.32 	0.39 	0.34 	0.33 	0.34 	0.34 	0.41 	0.38 	0.43 	0.38 b
BES,PC_GDP,HU	0.35 d	0.37 d	0.35 d	0.34 d	0.35 d	0.4 d	0.47 d	0.48 d	0.52 d	0.65 d	0.68 d	0.74 d	0.83 d	0.96 d	0.97 d	1 d	0.89 d
