sex,prof_pos,sectperf,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
T,TOTAL,BES,PC_ACT_FTE,AT	: 	: 	0.6969 	: 	0.754 	0.8332 e	0.8544 	0.9102 	0.9828 e	0.927 	0.9876 e	1.0081 	1.0769 e	1.0892 	1.1525 e	1.17 	1.1814 p
T,TOTAL,BES,PC_ACT_FTE,BE	0.7654 	0.8215 	0.7237 	0.7116 	0.6842 	0.6889 	0.7095 	0.7235 	0.6932 	0.6913 	0.6732 	0.7268 	0.7862 	0.7855 	0.8616 	0.9045 	0.9162 p
T,TOTAL,BES,PC_ACT_FTE,BG	0.0641 	0.056 	0.0504 	0.0647 	0.0659 	0.0628 	0.073 	0.0702 	0.0813 	0.0969 	0.082 	0.0739 	0.091 	0.1159 	0.1641 	0.2894 	0.3517 
T,TOTAL,BES,PC_ACT_FTE,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.0808 	: 	: 	: 	: 
T,TOTAL,BES,PC_ACT_FTE,CY	0.0475 	0.0457 	0.0585 	0.0652 	0.0651 	0.0731 	0.085 	0.0772 	0.0846 	0.0832 	0.0732 	0.0643 	0.0563 	0.0592 	0.0629 	0.062 	0.0748 p
T,TOTAL,BES,PC_ACT_FTE,CZ	0.2271 	0.2387 	0.2508 	0.2718 	0.2929 	0.4126 b	0.4497 	0.4794 	0.4947 	0.4873 	0.5112 	0.5638 	0.6127 	0.6366 	0.6772 	0.6992 	0.713 p
T,TOTAL,BES,PC_ACT_FTE,DE	0.7994 e	0.7845 	0.7712 e	0.756 	0.7527 	0.7535 	0.7637 	0.7852 	0.8113 	0.8104 	0.8393 	0.8832 	0.9065 	0.883 	0.9068 	0.9844 	0.985 
T,TOTAL,BES,PC_ACT_FTE,DK	0.8401 	0.9131 	1.0118 	0.9656 	0.9832 	0.9965 	1.017 	1.0864 b	1.4113 	1.288 	1.2648 	1.2879 	1.2641 	1.2388 	1.2515 	1.2657 p	1.2669 e
T,TOTAL,BES,PC_ACT_FTE,EA19	0.5378 e	0.542 e	0.5445 e	0.5404 e	0.549 e	0.5503 e	0.5761 e	0.5964 e	0.6164 e	0.613 e	0.6346 e	0.6664 e	0.684 e	0.6877 e	0.7007 	0.7333 	0.7384 p
T,TOTAL,BES,PC_ACT_FTE,EE	0.0626 	0.095 	0.109 	0.1172 	0.1674 	0.2161 	0.2445 	0.2544 	0.2754 	0.2889 	0.2958 	0.3189 	0.3021 	0.3159 	0.2775 	0.259 	0.2819 
T,TOTAL,BES,PC_ACT_FTE,EL	0.2161 	0.2417 	0.2487 	0.2454 	: 	0.2404 	0.2333 e	0.2362 	: 	: 	: 	0.1301 b	0.1353 	0.1428 	0.1633 	0.1716 	0.1924 
T,TOTAL,BES,PC_ACT_FTE,ES	0.2628 	0.259 	0.2988 b	0.3313 	0.351 	0.3588 	0.3831 	0.3929 	0.4156 b	0.4055 	0.3973 	0.3859 	0.3839 	0.3847 	0.3842 	0.384 	0.3978 
T,TOTAL,BES,PC_ACT_FTE,EU28	: 	: 	0.4861 e	0.4834 e	0.4863 e	0.4917 e	0.5115 e	0.5287 e	0.5445 e	0.5395 e	0.5575 e	0.5833 e	0.6004 e	0.6133 e	0.6316 	0.6627 	0.6723 p
T,TOTAL,BES,PC_ACT_FTE,FI	1.1425 	1.1627 	1.1703 	1.2349 	1.267 	1.2364 	1.2593 	1.2089 	1.2406 	1.2193 	1.1602 	1.1824 	1.1754 	1.1587 	1.1324 	1.1367 	1.0568 
T,TOTAL,BES,PC_ACT_FTE,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.851 	0.8622 p	: 
T,TOTAL,BES,PC_ACT_FTE,HR	: 	: 	: 	0.1244 	0.1615 	0.1217 	0.1306 	0.1264 	0.1362 	0.1513 	0.1395 	0.1375 	0.1345 	0.1375 	0.1333 	0.1455 	0.1577 b
T,TOTAL,BES,PC_ACT_FTE,HU	0.1591 	0.1659 	0.1759 	0.1733 	0.1624 	0.1769 	0.2198 	0.2472 	0.2744 	0.319 	0.3596 	0.411 	0.4689 	0.5173 	0.5025 	0.4691 	0.4584 
T,TOTAL,BES,PC_ACT_FTE,IE	0.4783 	0.4885 	0.4829 	0.4766 	0.4806 	0.4923 	0.4846 	0.4776 	0.5084 	0.5292 	0.5528 e	0.6468 	0.7044 e	0.7799 	0.8047 e	0.8284 	0.8051 e
T,TOTAL,BES,PC_ACT_FTE,IS	: 	: 	: 	0.8779 	: 	0.9684 	0.9704 	0.819 	0.8413 	0.7861 	: 	0.8719 b	: 	0.7198 b	: 	0.8862 	0.8624 
T,TOTAL,BES,PC_ACT_FTE,IT	0.2754 	0.2786 	0.2972 	0.2856 	0.2818 	0.2955 	0.3331 	0.3907 	0.4378 	0.4531 	0.4636 	0.4634 	0.4839 	0.5026 	0.5163 	0.547 	0.5351 p
