sex,incgrp,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
T,A_MD60,TOTAL,PC,AT	7.4 	12.1 	12.7 	13.1 	12.7 	11.4 b	10.5 	8.9 	9.7 	10.5 	11.9 	12.1 	11.9 	11.5 	11.5 
T,A_MD60,TOTAL,PC,BE	7.2 	3.1 	2.2 	2.2 	2.6 	2.8 	2.4 	2.6 	1.1 	0.7 	0.8 	0.8 	0.7 	2.0 	2.9 
T,A_MD60,TOTAL,PC,BG	: 	: 	: 	45.9 	47.5 	46.8 	46.1 	45.8 	45.4 	42.5 	41.9 	40.1 	39.4 	39.9 b	39.8 
T,A_MD60,TOTAL,PC,CH	: 	: 	: 	: 	6.3 	6.4 	6.2 	4.4 	4.7 	4.6 	6.2 	5.8 b	4.9 	5.3 	: 
T,A_MD60,TOTAL,PC,CY	: 	: 	1.5 	1.3 	1.1 	2.3 b	2.1 	2.7 	2.0 	2.0 	1.9 	1.8 	1.0 	1.7 	2.3 
T,A_MD60,TOTAL,PC,CZ	: 	: 	30.6 	30.9 	29.4 	27.8 	24.4 	20.3 	18.9 	18.7 	19.0 	17.3 	16.3 	15.5 	14.1 
T,A_MD60,TOTAL,PC,DE	: 	: 	5.1 	6.3 	4.9 	4.9 	4.3 	4.8 	4.2 	4.5 	4.8 	4.6 	4.9 	4.9 	5.1 
T,A_MD60,TOTAL,PC,DK	5.5 	5.6 	5.5 	5.4 	5.4 	5.2 	5.6 	5.3 	5.5 	5.0 	5.4 	5.9 	5.4 	6.1 	6.2 
T,A_MD60,TOTAL,PC,EA18	: 	: 	11.0 	10.9 	10.6 	10.3 	9.7 	9.8 	9.1 	9.2 	9.5 	9.3 	9.5 	9.7 	9.7 e
T,A_MD60,TOTAL,PC,EA19	: 	: 	11.4 	11.3 	11.0 	10.6 	10.0 	10.1 	9.2 	9.3 	9.6 	9.4 	9.6 	9.8 	9.8 e
T,A_MD60,TOTAL,PC,EE	: 	44.5 	43.9 	44.4 	42.4 	41.0 	39.1 	37.1 	11.7 	12.2 	20.2 	13.3 b	12.9 	12.5 	12.9 
T,A_MD60,TOTAL,PC,EL	29.8 	29.0 	28.0 	27.3 	27.3 	24.6 	23.2 	23.2 	23.2 	22.7 	22.9 	22.9 	24.3 	25.0 	25.4 
T,A_MD60,TOTAL,PC,ES	: 	12.9 	7.2 b	5.2 	4.3 	4.2 	4.0 	3.9 	5.3 b	4.0 	3.7 	3.7 	3.8 	3.3 	3.4 
T,A_MD60,TOTAL,PC,EU	: 	: 	: 	: 	: 	16.1 e	15.3 e	15.3 e	14.5 e	14.4 e	14.4 e	13.9 e	14.0 e	13.9 e	15.0 e
T,A_MD60,TOTAL,PC,EU27	: 	: 	17.1 e	16.8 e	16.4 	16.1 	15.3 	15.1 	14.3 	14.2 	14.2 	13.7 	13.8 	13.7 	15.0 e
T,A_MD60,TOTAL,PC,EU28	: 	: 	: 	: 	: 	: 	: 	15.3 	14.5 	14.4 	14.4 	13.9 	14.0 	13.9 	15.0 e
T,A_MD60,TOTAL,PC,FI	: 	5.6 	5.3 	4.5 	4.2 	4.0 	4.1 	4.3 	4.7 	3.8 	4.8 	5.0 	4.7 	4.8 	4.6 
T,A_MD60,TOTAL,PC,FR	: 	8.1 	7.6 	6.5 	7.8 	7.3 	7.0 	6.7 	5.4 	5.6 	5.2 	4.9 	5.3 	5.3 	5.1 
