hhtyp,incgrp,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,A_MD60,PC,AT	20.0 	21.3 	20.0 	18.4 	19.1 	21.4 b	20.5 	19.9 	18.8 	19.2 	18.3 	17.2 	17.0 	16.7 	17.8 
TOTAL,A_MD60,PC,BE	24.3 	24.1 	22.6 	22.0 	22.3 	19.8 	18.4 	18.0 	18.4 	16.4 	16.6 	16.9 	16.6 	14.1 	13.6 
TOTAL,A_MD60,PC,BG	: 	: 	17.6 	17.6 	14.1 	16.6 	15.9 	11.9 	11.2 	11.2 	9.4 	10.7 	8.6 	9.6 b	8.9 
TOTAL,A_MD60,PC,CH	: 	: 	: 	: 	20.5 	17.8 	17.7 	16.6 	16.8 	18.4 	15.3 	17.1 b	17.0 	17.0 	: 
TOTAL,A_MD60,PC,CY	: 	: 	32.0 	36.1 	36.7 	30.7 b	30.5 	29.6 	27.7 	26.5 	25.7 	19.4 	17.5 	15.3 	16.7 
TOTAL,A_MD60,PC,CZ	: 	: 	20.6 	18.5 	18.2 	17.5 	18.4 	16.4 	15.2 	14.2 	14.7 	13.5 	13.4 	14.0 	13.2 
TOTAL,A_MD60,PC,DE	: 	: 	24.3 	28.3 	25.7 	24.7 	24.3 	24.3 	24.3 	24.7 	24.9 	24.4 	24.0 	23.6 	24.5 
TOTAL,A_MD60,PC,DK	13.6 	18.1 	17.5 	17.4 	18.9 	18.0 	18.2 	17.7 	18.1 	15.5 	13.9 	14.8 	14.8 	17.0 	16.7 
TOTAL,A_MD60,PC,EA18	: 	: 	24.0 	24.3 	23.6 	22.2 	22.4 	20.7 	20.0 	19.0 	19.4 	18.8 	18.6 	18.3 	17.7 e
TOTAL,A_MD60,PC,EA19	: 	: 	24.0 	24.3 	23.6 	22.1 	22.4 	20.6 	19.9 	19.0 	19.3 	18.7 	18.5 	18.2 	17.7 e
TOTAL,A_MD60,PC,EE	: 	49.6 	21.9 	22.3 	23.8 	18.6 	13.1 b	10.5 	12.0 	12.3 	10.9 	10.2 b	9.4 	10.1 	7.8 
TOTAL,A_MD60,PC,EL	21.6 	19.4 	21.5 	20.9 	22.6 	23.3 	24.5 	24.3 	25.7 	25.6 	24.4 	20.8 	19.8 	20.9 	21.0 
TOTAL,A_MD60,PC,ES	: 	25.4 	29.0 	27.1 	25.6 	21.9 	22.6 b	18.6 	15.6 	14.4 	18.4 	15.4 	15.5 	15.1 	14.4 
TOTAL,A_MD60,PC,EU	: 	: 	: 	: 	: 	: 	: 	: 	19.2 	18.1 	18.2 	17.7 	17.4 	: 	16.8 
TOTAL,A_MD60,PC,EU27	: 	: 	: 	: 	22.6 	21.3 	21.7 	20.1 	19.2 	18.2 	18.3 	17.8 	17.5 	17.4 	16.9 e
TOTAL,A_MD60,PC,EU28	: 	: 	: 	: 	: 	: 	: 	20.0 	19.2 	18.1 	18.2 	17.8 	17.4 	17.3 	16.8 e
TOTAL,A_MD60,PC,FI	: 	15.4 	15.8 	16.1 	15.6 	14.8 	14.2 	12.2 	12.4 	13.5 	12.7 	12.3 	10.9 	11.4 	11.5 
TOTAL,A_MD60,PC,FR	: 	22.7 	19.2 	18.2 	18.2 	16.8 	18.4 	17.4 	17.3 	15.9 	15.1 	15.6 	15.2 	16.6 	15.6 
TOTAL,A_MD60,PC,HR	: 	: 	: 	: 	: 	: 	: 	12.3 	11.1 	10.2 	10.3 	9.6 	8.8 	8.8 	: 
TOTAL,A_MD60,PC,HU	: 	: 	21.3 	16.9 	14.3 	11.6 	12.5 	10.9 	9.5 	9.6 	11.5 	12.5 	12.7 	11.6 	10.3 
