unit,wst_oper,geo\time	2010 	2012 	2014 
PC,RCV_R,AT	60 	65 	62 
PC,RCV_R,BE	71 	63 	78 
PC,RCV_R,BG	27 	14 	17 
PC,RCV_R,CY	40 d	47 d	38 d
PC,RCV_R,CZ	50 	58 	60 
PC,RCV_R,DE	55 s	54 s	53 s
PC,RCV_R,DK	56 d	64 d	59 d
PC,RCV_R,EE	22 	25 	19 
PC,RCV_R,EL	18 	13 	10 
PC,RCV_R,ES	44 	46 	46 
PC,RCV_R,EU28	53 	53 	55 
PC,RCV_R,FI	33 	41 	41 
PC,RCV_R,FR	50 	51 	53 
PC,RCV_R,HR	26 d	37 d	50 d
PC,RCV_R,HU	36 	35 	40 
PC,RCV_R,IE	36 	37 	44 d
PC,RCV_R,IT	60 d	64 d	67 d
PC,RCV_R,LT	50 	51 	57 
PC,RCV_R,LU	87 	77 	62 
PC,RCV_R,LV	39 d	58 d	61 d
PC,RCV_R,MT	23 d	29 d	28 d
PC,RCV_R,NL	71 d	71 d	72 
PC,RCV_R,PL	58 	55 	60 
PC,RCV_R,PT	45 d	47 d	53 d
PC,RCV_R,RO	33 d	35 d	32 d
PC,RCV_R,SE	51 	53 	51 
PC,RCV_R,SI	52 	74 	75 
PC,RCV_R,SK	38 d	40 d	40 d
PC,RCV_R,UK	60 	59 	59 
