indic_nrg,product,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
B_100900,0000,I00,AT	100.0 	102.6 	103.5 	107.4 	105.1 	103.5 	97.8 	94.1 	93.0 	92.9 	91.9 	90.4 	87.3 	85.8 	82.7 	83.8 	84.2 
B_100900,0000,I00,BE	100.0 	101.5 	105.2 	102.0 	101.7 	100.0 	100.2 	100.0 	96.2 	93.6 	90.5 	87.4 	90.2 	87.0 	86.1 	88.8 	83.6 
B_100900,0000,I00,BG	100.0 	104.7 	103.0 	108.6 	107.6 	105.0 	104.1 	114.2 	113.4 	114.4 	117.7 	121.7 	115.5 	110.0 	110.0 	111.7 	106.2 
B_100900,0000,I00,CY	100.0 	97.2 	98.6 	96.7 	105.5 	106.7 	105.4 	105.3 	102.3 	104.2 	103.9 	101.7 	101.3 	100.6 	101.5 	101.6 	100.8 
B_100900,0000,I00,CZ	100.0 	97.8 	94.0 	91.9 	89.5 	89.9 	87.9 	88.7 	86.8 	87.9 	84.1 	85.3 	82.8 	78.6 	78.6 	79.3 	81.3 
B_100900,0000,I00,DE	100.0 	99.5 	99.8 	100.2 	97.6 	95.7 	94.2 	96.1 	95.7 	94.8 	94.9 	97.0 	97.1 	97.2 	95.7 	96.2 	95.7 
B_100900,0000,I00,DK	100.0 	100.5 	101.4 	106.6 	99.5 	95.8 	102.8 	96.7 	94.5 	94.7 	90.5 	87.0 	80.7 	85.1 	80.7 	75.8 	76.7 
B_100900,0000,I00,EE	100.0 	98.1 	99.8 	101.2 	99.3 	99.3 	97.3 	105.6 	96.8 	90.3 	102.3 	101.5 	95.0 	95.0 	95.9 	83.7 	93.6 
B_100900,0000,I00,EL	100.0 	99.6 	97.9 	99.1 	98.0 	99.8 	98.1 	100.3 	96.7 	96.3 	94.9 	96.8 	93.6 	93.9 	89.3 	85.0 	81.0 
B_100900,0000,I00,ES	100.0 	97.8 	101.4 	99.1 	99.6 	101.5 	98.6 	99.7 	94.6 	91.5 	86.9 	89.0 	88.1 	85.4 	87.3 	89.3 	85.1 
B_100900,0000,I00,EU28	100.0 	99.8 	99.2 	99.0 	97.8 	96.8 	96.4 	96.6 	95.0 	93.6 	92.6 	92.4 	92.0 	90.7 	89.3 	89.1 	87.9 
B_100900,0000,I00,FI	100.0 	107.6 	106.5 	113.2 	105.9 	93.9 	104.2 	101.6 	91.3 	93.4 	97.8 	88.7 	82.5 	85.3 	77.1 	74.0 	76.8 
B_100900,0000,I00,FR	100.0 	97.9 	96.4 	96.5 	94.9 	95.1 	94.0 	92.5 	90.9 	90.8 	90.3 	86.8 	87.6 	87.4 	82.8 	82.9 	85.0 
B_100900,0000,I00,HR	100.0 	101.8 	104.9 	104.5 	101.9 	102.0 	103.1 	104.5 	101.9 	99.7 	96.9 	96.9 	94.2 	93.1 	92.2 	90.1 	91.3 
B_100900,0000,I00,HU	100.0 	101.3 	99.0 	102.3 	99.8 	92.1 	91.5 	90.9 	90.8 	86.7 	84.8 	83.5 	81.9 	79.8 	79.4 	79.6 	80.3 
B_100900,0000,I00,IE	100.0 	100.4 	97.1 	101.2 	98.2 	101.7 	98.2 	96.4 	97.4 	92.8 	90.3 	90.2 	91.2 	88.3 	87.6 	87.4 	86.6 
B_100900,0000,I00,IS	100.0 	98.1 	100.5 	100.0 	105.0 	98.2 	81.4 	74.1 	60.5 	56.5 	56.2 	49.0 	49.1 	46.1 	46.5 	48.9 	50.4 
B_100900,0000,I00,IT	100.0 	100.5 	99.8 	97.8 	97.9 	95.9 	95.6 	93.9 	92.8 	89.2 	89.0 	89.0 	88.6 	85.6 	86.7 	85.7 	85.1 
B_100900,0000,I00,LT	100.0 	92.1 	86.7 	83.3 	86.1 	97.8 	100.3 	93.9 	92.9 	91.9 	123.9 	112.2 	111.2 	111.6 	107.8 	104.5 	105.7 
B_100900,0000,I00,LU	100.0 	101.3 	105.9 	106.2 	108.3 	108.9 	108.6 	104.9 	104.1 	105.5 	104.6 	105.1 	105.6 	102.9 	100.4 	96.1 	92.6 
B_100900,0000,I00,LV	100.0 	98.7 	99.4 	95.4 	93.3 	92.5 	93.9 	95.1 	93.9 	89.4 	97.0 	91.8 	84.8 	85.2 	83.6 	86.6 	87.2 
B_100900,0000,I00,MT	100.0 	87.2 	92.3 	91.4 	85.4 	88.8 	89.0 	89.5 	90.2 	90.0 	85.9 	88.2 	89.2 	87.9 	86.5 	72.5 	61.0 
B_100900,0000,I00,NL	100.0 	100.8 	99.1 	97.8 	96.8 	95.9 	94.3 	94.5 	96.8 	96.0 	96.2 	95.2 	93.0 	93.6 	93.7 	97.2 	96.1 
B_100900,0000,I00,NO	100.0 	102.3 	108.7 	104.4 	106.1 	103.2 	103.5 	106.8 	88.8 	90.7 	100.7 	109.2 	103.5 	98.5 	98.3 	99.7 	102.3 
B_100900,0000,I00,PL	100.0 	99.3 	98.4 	98.6 	99.6 	98.8 	97.4 	96.7 	94.0 	94.1 	93.0 	91.9 	93.3 	91.9 	91.4 	91.4 	90.3 
B_100900,0000,I00,PT	100.0 	99.4 	100.9 	95.4 	95.8 	96.9 	94.7 	89.8 	89.2 	88.4 	83.6 	84.7 	87.2 	82.7 	82.9 	87.3 	84.2 
B_100900,0000,I00,RO	100.0 	106.4 	100.1 	98.8 	96.5 	94.9 	93.9 	97.2 	96.4 	94.9 	88.6 	92.2 	93.0 	91.5 	91.8 	91.3 	87.3 
B_100900,0000,I00,SE	100.0 	97.0 	98.3 	102.9 	96.9 	93.9 	96.3 	94.6 	91.2 	94.7 	92.7 	87.2 	82.3 	80.1 	78.8 	83.7 	75.1 
B_100900,0000,I00,SI	100.0 	100.6 	99.9 	97.2 	96.3 	95.5 	96.5 	97.1 	97.4 	96.2 	94.1 	94.2 	94.7 	92.7 	84.3 	86.3 	88.7 
B_100900,0000,I00,SK	100.0 	103.3 	94.9 	97.8 	98.3 	96.8 	94.9 	95.6 	95.2 	95.9 	91.8 	92.3 	89.5 	87.4 	84.1 	83.8 	83.0 
B_100900,0000,I00,TR	100.0 	99.7 	97.1 	98.2 	98.8 	102.1 	100.1 	103.8 	104.6 	106.5 	100.0 	100.6 	97.2 	96.8 	95.8 	93.5 	93.6 
B_100900,0000,I00,UK	100.0 	101.2 	99.4 	98.8 	99.3 	97.9 	99.0 	100.6 	99.5 	97.0 	97.2 	95.5 	96.7 	95.3 	92.6 	88.2 	84.4 
