areaprot,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TPA_KM2,AT	8874 	8884 	8884 	8885 	8888 	8978 	8978 	12324 	12548 	12546 	12559 	12616 	12691 	12691 	12701 
TPA_KM2,BE	3015 	3040 	3040 	3040 	3041 	3071 	3071 	3870 	3891 	3891 	3883 	3885 	3887 	3887 	3892 
TPA_KM2,BG	: 	: 	: 	: 	: 	32838 	32838 	37634 	38084 	38084 	38066 	38222 	38222 	38222 	38222 
TPA_KM2,CY	: 	: 	459 	661 	661 	661 	661 	1627 	1627 	1627 	1628 	1629 	1653 	1653 	1653 
TPA_KM2,CZ	: 	: 	7244 	7244 	7244 	7251 	7854 	11072 	11062 	11062 	11062 	11061 	11061 	11148 	11148 
TPA_KM2,DE	24956 	24956 	35090 	35208 	35208 	35209 	34574 	55061 	55082 	55244 	55142 	55158 	55170 	55200 	55200 
TPA_KM2,DK	3176 	3177 	3177 	3177 	3177 	3177 	3174 	3849 	3855 	3632 	3584 	3594 	3594 	3594 	3594 
TPA_KM2,EE	: 	: 	7172 	7172 	7474 	7575 	7569 	8037 	8059 	8061 	8076 	8078 	8083 	8083 	8106 
TPA_KM2,EL	21643 	21643 	21643 	21643 	21643 	21634 	21454 	35804 	36022 	36010 	35761 	35747 	35747 	35747 	35982 
TPA_KM2,ES	114120 	113931 	113909 	113921 	118165 	118168 	123508 	137317 	137510 	137664 	137365 	137444 	137757 	137872 	137952 
TPA_KM2,EU27	: 	: 	: 	: 	: 	568599 	585533 	751150 	767996 	768142 	767091 	767815 	766902 	768377 	: 
TPA_KM2,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	787766 	788488 	787606 	789081 	790213 
TPA_KM2,FI	42791 	42791 	42791 	43092 	43092 	43092 	43092 	48758 	48754 	48761 	48851 	48847 	48847 	48847 	48847 
TPA_KM2,FR	37179 	37295 	37915 	43340 	46564 	46486 	46709 	68790 	68955 	68958 	69127 	69418 	69974 	70515 	70625 
TPA_KM2,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20675 	20673 	20704 	20704 	20704 
TPA_KM2,HU	: 	: 	13929 	13929 	13929 	13929 	13973 	19939 	19949 	19950 	19950 	19949 	19949 	19949 	19949 
TPA_KM2,IE	7550 	7175 	7175 	7175 	7175 	7543 	7544 	9122 	9259 	9259 	9222 	9227 	9227 	9226 	9230 
TPA_KM2,IT	44173 	41751 	41750 	42735 	42816 	42968 	43055 	57736 	57756 	57357 	57137 	57172 	57172 	57173 	57265 
TPA_KM2,LT	: 	: 	6493 	6493 	6493 	6493 	8651 	7879 	7879 	7883 	7890 	7933 	7938 	8086 	8086 
TPA_KM2,LU	383 	383 	383 	383 	399 	399 	399 	471 	471 	469 	469 	471 	702 	702 	702 
TPA_KM2,LV	: 	: 	7095 	7095 	7101 	7101 	7294 	7305 	7447 	7442 	7449 	7446 	7446 	7446 	7447 
TPA_KM2,MT	: 	: 	39 	40 	40 	40 	42 	41 	42 	42 	41 	41 	41 	41 	41 
TPA_KM2,NL	3955 	3955 	3955 	3485 	3485 	3485 	3485 	5725 	5740 	5739 	5563 	5517 	5518 	5520 	5522 
TPA_KM2,PL	: 	: 	13124 	13124 	23256 	25310 	34403 	60782 	61043 	61210 	61059 	61165 	61165 	61165 	61165 
TPA_KM2,PT	16012 	16012 	16013 	16013 	16013 	16013 	16013 	19202 	19247 	19217 	19010 	18995 	19010 	19010 	19010 
TPA_KM2,RO	: 	: 	: 	: 	: 	31479 	31480 	42654 	54010 	53942 	53788 	53781 	53781 	54214 	54214 
TPA_KM2,SE	57844 	56523 	56523 	56708 	56934 	56943 	56956 	57124 	57124 	57509 	57410 	57407 	55250 	55280 	55647 
TPA_KM2,SI	: 	: 	6359 	6359 	6359 	6359 	6360 	7203 	7200 	7200 	7673 	7674 	7674 	7675 	7675 
TPA_KM2,SK	: 	: 	5739 	5739 	5739 	5739 	5739 	14141 	14446 	14448 	14442 	14442 	14442 	14442 	14633 
TPA_KM2,UK	15982 	15973 	15991 	15978 	15978 	16658 	16657 	17683 	20934 	20935 	20884 	20896 	20901 	20989 	21001 
