landcover,unit,geo\time	2009 	2012 	2015 
LCA,I09,AT	100.0 	105.8 	109.1 
LCA,I09,BE	100.0 	109.3 	114.8 
LCA,I09,CZ	100.0 	103.5 	108.5 
LCA,I09,DE	100.0 	103.2 	107.9 
LCA,I09,DK	100.0 	103.3 	106.8 
LCA,I09,EE	100.0 	104.7 	110.2 
LCA,I09,EL	100.0 	112.2 	117.3 
LCA,I09,ES	100.0 	104.0 	107.6 
LCA,I09,EU_V	100.0 	103.7 	107.8 
LCA,I09,FI	100.0 	103.7 	107.7 
LCA,I09,FR	100.0 	102.6 	105.6 
LCA,I09,HU	100.0 	105.5 	113.8 
LCA,I09,IE	100.0 	103.5 	104.0 
LCA,I09,IT	100.0 	102.7 	105.2 
LCA,I09,LT	100.0 	102.1 	106.0 
LCA,I09,LU	100.0 	109.6 	110.9 
LCA,I09,LV	100.0 	101.8 	104.9 
LCA,I09,NL	100.0 	106.0 	112.1 
LCA,I09,PL	100.0 	103.0 	107.1 
LCA,I09,PT	100.0 	102.5 	105.2 
LCA,I09,SE	100.0 	103.4 	110.8 
LCA,I09,SI	100.0 	105.9 	108.9 
LCA,I09,SK	100.0 	107.0 	114.9 
LCA,I09,UK	100.0 	103.7 	108.9 
LCA,I12,AT	: 	100.0 	103.0 
LCA,I12,BE	: 	100.0 	105.1 
LCA,I12,BG	: 	100.0 	107.2 
LCA,I12,CY	: 	100.0 	104.7 
LCA,I12,CZ	: 	100.0 	104.9 
LCA,I12,DE	: 	100.0 	104.5 
LCA,I12,DK	: 	100.0 	103.3 
LCA,I12,EE	: 	100.0 	105.3 
LCA,I12,EL	: 	100.0 	104.6 
LCA,I12,ES	: 	100.0 	103.5 
LCA,I12,EU27	: 	100.0 	104.0 
LCA,I12,EU_V	: 	100.0 	103.9 
LCA,I12,FI	: 	100.0 	103.8 
LCA,I12,FR	: 	100.0 	102.9 
LCA,I12,HU	: 	100.0 	107.9 
LCA,I12,IE	: 	100.0 	100.5 
LCA,I12,IT	: 	100.0 	102.4 
LCA,I12,LT	: 	100.0 	103.8 
LCA,I12,LU	: 	100.0 	101.2 
