unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EUR_HAB,AT	75.6 	80.3 	81.4 	85.3 	87.1 	84.5 	85.7 	87.2 	93.1 	99.0 	98.4 	100.4 	104.3 	105.4 	112.5 	116.5 	116.1 	: 
EUR_HAB,BE	: 	68.7 	77.2 	80.5 	80.3 	82.5 	90.3 	86.3 	94.5 	91.7 	95.2 	96.0 	105.7 	100.4 	97.1 	91.7 	100.3 	: 
EUR_HAB,BG	6.8 	7.0 	8.5 	11.2 	14.9 	17.9 	22.4 	31.3 	34.8 	33.9 	27.8 	34.6 	33.9 	36.6 	39.3 	42.3 	42.2 	: 
EUR_HAB,CH	103.0 	108.0 	115.0 	115.3 	119.4 	124.0 	124.1 	123.1 	122.1 	130.9 	146.5 	187.3 	189.0 	185.9 	189.5 	217.4 	210.3 p	: 
EUR_HAB,CY	20.6 	22.0 	24.0 	27.8 	27.9 	29.2 	31.2 	32.3 	31.7 	31.9 	30.7 	30.9 	30.1 	29.7 	25.6 	25.5 	27.0 	: 
EUR_HAB,CZ	19.5 	22.1 	27.4 	27.9 	28.3 	34.3 	35.9 	39.1 	46.2 	45.5 	44.6 	46.5 	44.0 	45.3 	44.0 	51.9 	51.9 	: 
EUR_HAB,DE	109.5 	114.0 	117.7 	117.3 	118.6 	122.3 	124.5 	124.7 	127.6 	131.4 	133.5 	135.5 	137.2 	142.6 	147.8 	148.5 	155.4 	: 
EUR_HAB,DK	59.1 	59.8 	60.9 	64.7 	68.0 	68.0 	74.3 	77.9 	81.8 	93.8 	85.3 	99.1 	89.8 	79.4 	79.8 	79.6 	80.6 	77.1 
EUR_HAB,EA19	: 	: 	: 	: 	80.3 	84.2 	85.2 	87.5 	91.4 	95.4 	95.5 	97.9 	95.1 	97.6 	98.8 	99.6 	102.1 	: 
EUR_HAB,EE	11.1 	10.8 	11.2 	12.6 	19.0 	20.8 	23.1 	30.8 	41.8 	31.6 	22.5 	21.3 	23.8 	39.5 	45.8 	47.1 	48.3 	: 
EUR_HAB,EL	: 	35.6 	38.5 	39.3 	42.9 	44.3 	47.0 	52.0 	69.1 	76.3 	60.7 	59.1 p	52.8 p	57.1 p	67.5 p	50.9 p	54.1 p	: 
EUR_HAB,ES	43.7 	48.9 	54.3 	61.8 	61.5 	65.4 	67.7 	75.6 	83.2 	89.0 	90.1 	87.5 	82.6 	80.7 	79.6 	83.5 	82.1 p	: 
EUR_HAB,EU28	: 	: 	: 	: 	: 	: 	: 	90.3 	92.1 	91.9 	93.9 	96.1 	95.5 	95.6 	96.8 	98.0 	97.8 	: 
EUR_HAB,FI	: z	65.7 	69.0 	71.7 	70.8 	72.4 	72.5 	75.6 	80.7 	87.3 	88.2 	81.1 	83.1 	85.3 	86.2 	85.6 	84.4 	: 
EUR_HAB,FR	50.3 	53.4 	57.9 	59.5 	62.0 	61.0 	61.6 	62.8 	67.2 	70.8 	73.2 	71.9 	73.2 	73.3 	75.1 	75.1 p	78.2 p	: 
EUR_HAB,HR	: 	30.9 p	36.9 p	36.9 p	39.7 p	42.5 p	45.4 p	51.1 p	55.9 	56.3 	55.7 	53.7 	53.0 	49.6 	47.4 	47.9 	50.7 	: 
EUR_HAB,HU	16.9 	19.5 	24.8 	27.3 	38.2 	41.5 	40.4 	41.0 	45.5 	39.7 	38.2 	40.0 	41.3 	43.7 	41.3 	43.6 	48.2 	: 
EUR_HAB,IE	53.0 	65.8 	73.6 	82.3 	86.7 	87.2 	94.0 	106.8 	113.6 	98.3 	97.6 	124.8 	116.7 	119.9 	119.3 	121.3 	124.2 	: 
EUR_HAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.5 	83.1 	103.7 	121.6 	: 
EUR_HAB,IT	: 	83.6 	91.0 	95.7 	82.2 	94.5 	90.2 	91.5 	89.9 	96.4 	92.0 	103.5 	90.2 	95.5 	92.3 	94.1 	93.9 	: 
EUR_HAB,LT	13.9 	16.0 	18.2 	20.4 	22.8 	25.5 	29.3 	34.4 	38.9 	27.3 	27.1 	28.0 	29.8 	29.2 	32.8 	35.9 	37.0 	: 
EUR_HAB,LU	98.4 	106.1 	114.0 	126.0 	129.3 	136.6 	143.6 	149.6 	159.0 	171.2 	184.2 	180.4 	181.6 	180.4 	180.0 p	188.3 p	200.8 p	216.3 p
EUR_HAB,LV	: 	: 	: 	: 	21.5 	24.8 	30.3 	41.9 	45.8 	36.0 	33.8 	42.7 	44.0 	45.7 	47.1 	51.4 	52.3 	: 
EUR_HAB,MT	: 	39.4 	47.0 	52.4 	47.4 	50.3 	43.7 	48.4 	50.1 	50.2 	50.4 	55.3 	55.7 	65.7 	66.9 	59.3 	63.0 	: 
EUR_HAB,NL	59.0 	69.3 	78.5 	89.4 	91.7 	94.0 	96.0 	104.2 	106.0 	113.6 	116.0 	119.2 	115.2 	115.1 	110.2 	113.8 	112.5 p	: 
EUR_HAB,NO	62.2 	65.5 	82.9 	81.8 	79.4 	89.6 	87.9 	93.6 	95.3 	93.9 	103.1 	110.1 	124.6 	121.0 	123.4 	103.6 	105.3 	: 
EUR_HAB,PL	: 	26.8 	25.6 	27.8 	26.7 	35.1 	42.2 	49.0 	59.6 	47.3 	54.0 	49.9 	54.1 	53.2 	55.4 	57.8 	56.8 	: 
EUR_HAB,PT	33.3 	35.5 	50.9 	60.5 	52.0 	57.7 	61.8 	58.1 	61.1 	62.1 	65.5 	65.2 	51.6 	61.1 	62.5 e	60.9 e	62.4 e	: 
EUR_HAB,RO	: 	: 	: 	: 	: 	: 	: 	23.2 	23.9 	19.1 	21.0 	22.3 	22.9 b	29.8 	29.2 	28.9 	33.3 	: 
EUR_HAB,SE	: 	81.0 	85.9 	88.0 	88.8 	87.0 	97.5 	105.3 	101.5 	93.6 	109.4 	119.6 	125.5 	133.0 	127.2 	124.5 	128.4 	: 
EUR_HAB,SI	63.5 	68.0 	70.7 	74.0 	78.2 	82.6 	80.1 	86.7 	97.9 b	99.5 	102.1 	99.6 	96.5 	96.2 	92.0 	92.0 	96.6 	: 
EUR_HAB,SK	: 	: 	: 	16.9 p	18.2 p	19.2 p	24.7 p	27.0 p	31.7 p	36.9 p	37.8 p	40.3 p	40.0 p	41.7 p	43.5 p	48.3 p	39.0 p	: 
EUR_HAB,UK	141.0 	142.4 	151.7 	150.7 	180.4 	186.1 	184.2 	179.3 	163.1 	149.5 	159.2 	160.9 	168.6 	152.7 	155.2 	156.8 	140.1 	: 
MIO_EUR,AT	606 	646 	658 	692 	711 	695 	708 	723 	775 	826 	823 	843 	879 	894 	961 	1006 	1015 	: 
MIO_EUR,BE	: 	707 	797 	836 	837 	865 	952 	917 	1012 	990 	1038 	1056 	1170 	1117 	1086 	1030 	1133 	: 
MIO_EUR,BG	55 	56 	67 	88 	116 	138 	172 	240 	265 	257 	210 	254 	248 	266 	284 	304 	301 	: 
MIO_EUR,CH	747 	786 	844 	852 	888 	928 	934 	934 	938 	1018 	1151 	1482 	1512 	1504 	1552 	1801 	1761 	: 
MIO_EUR,CY	14 	15 	17 	20 	20 	22 	23 	25 	25 	26 	26 	26 	26 	26 	22 	22 	23 	: 
MIO_EUR,CZ	201 	226 	279 	285 	288 	351 	369 	404 	482 	478 	470 	488 	462 	476 	464 	547 	549 	: 
MIO_EUR,DE	8920 	9291 	9603 	9564 	9659 	9948 	10106 	10099 	10306 	10575 	10720 	10875 	11037 	11500 	11973 	12131 	12799 	: 
MIO_EUR,DK	315 	320 	328 	349 	368 	369 	404 	425 	449 	518 	473 	552 	502 	446 	450 	452 	462 	445 
MIO_EUR,EA18	: 	: 	: 	: 	26141 	27544 	27980 	28895 	30307 	31793 	31906 	32801 	31921 	32839 	33310 	33679 	34621 	: 
MIO_EUR,EA19	: 	: 	: 	: 	26218 	27628 	28075 	29006 	30431 	31880 	31990 	32885 	32010 	32925 	33406 	33783 	34727 	: 
MIO_EUR,EE	16 	15 	16 	17 	26 	28 	31 	41 	56 	42 	30 	28 	32 	52 	60 	62 	64 	: 
MIO_EUR,EL	: 	387 	420 	430 	470 	487 	518 	575 	765 	848 	675 	656 	583 	626 	735 	551 	583 	: 
MIO_EUR,ES	1774 	1993 	2248 	2608 	2635 	2855 	3005 	3420 	3826 	4129 	4194 	4088 	3862 	3759 	3699 	3877 	3812 p	: 
MIO_EUR,EU27	: 	: 	: 	: 	: 	: 	: 	44794 	45865 	45920 	47047 	48263 	48111 	48254 	48988 	49743 	49819 	: 
MIO_EUR,EU28	: 	: 	: 	: 	: 	: 	: 	45015 	46106 	46162 	47286 	48494 	48338 	48465 	49188 	49945 	50031 	: 
MIO_EUR,FI	: z	341 	359 	374 	370 	380 	382 	400 	429 	466 	473 	437 	450 	464 	471 	469 	464 	: 
MIO_EUR,FR	3062 	3278 	3578 	3703 	3884 	3854 	3917 	4022 	4324 	4581 	4757 	4699 	4806 	4839 	4977 	5001 p	5228 p	: 
MIO_EUR,HR	: 	133 	159 	159 	171 	183 	196 	221 	241 	242 	239 	230 	226 	211 	201 	201 	211 	: 
MIO_EUR,HU	172 	199 	252 	276 	386 	419 	407 	412 	457 	398 	382 	399 	410 	433 	408 	429 	473 	: 
MIO_EUR,IE	202 	254 	290 	329 	353 	363 	401 	470 	511 	446 	445 	572 	537 	554 	555 	570 	590 	: 
MIO_EUR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 	27 	34 	41 	: 
MIO_EUR,IT	: 	4766 	5198 	5494 	4757 	5500 	5269 	5380 	5324 	5745 	5507 	6217 	5445 	5794 	5613 	5717 	5692 	: 
MIO_EUR,LT	49 	56 	63 	70 	77 	85 	96 	111 	124 	86 	84 	85 	89 	87 	96 	104 	106 	: 
MIO_EUR,LU	43 	47 	51 	57 	59 	64 	68 	72 	78 	85 	94 	94 	97 	98 	101 p	107 p	117 p	129 p
MIO_EUR,LV	: 	: 	: 	: 	49 	56 	67 	92 	100 	77 	71 	88 	90 	92 	94 	102 	102 	: 
MIO_EUR,MT	: 	16 	19 	21 	19 	20 	18 	20 	21 	21 	21 	23 	23 	28 	29 	26 	29 	: 
MIO_EUR,NL	940 	1112 	1267 	1450 	1492 	1534 	1569 	1706 	1742 	1877 	1927 	1989 	1929 	1933 	1859 	1926 	1916 p	: 
MIO_EUR,NO	279 	296 	376 	373 	365 	414 	410 	441 	454 	453 	504 	545 	625 	615 	634 	538 	552 	: 
MIO_EUR,PL	: 	1026 	979 	1061 	1018 	1341 	1610 	1868 	2270 	1821 	2080 	1922 	2084 	2049 	2133 	2224 	2181 	: 
MIO_EUR,PT	343 	368 	530 	632 	545 	606 	650 	613 	645 	656 	693 	689 	542 	639 	650 e	630 e	644 e	: 
MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	484 	490 	389 	426 	449 	459 	595 	582 	573 	657 	: 
MIO_EUR,SE	: 	721 	767 	789 	798 	785 	885 	963 	936 	871 	1026 	1130 	1195 	1277 	1234 	1220 	1274 	: 
MIO_EUR,SI	126 	136 	141 	148 	156 	165 	161 	175 	198 	203 	209 	205 	199 	198 	190 	190 	199 	: 
MIO_EUR,SK	: 	: 	: 	91 p	98 p	104 p	133 p	146 p	171 p	200 p	205 p	218 p	216 p	226 p	236 p	262 p	212 p	: 
MIO_EUR,UK	8304 	8420 	9004 	8989 	10815 	11240 	11205 	10992 	10084 	9310 	9991 	10185 	10742 	9787 	10028 	10212 	9196 	: 
