unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,AL	33 	31 	33 	36 	39 	38 
NR,AT	69 	69 	72 	76 	75 	75 
NR,BE	75 	75 	76 	77 	77 	75 
NR,BG	41 	41 	43 	41 	41 	43 
NR,CH	86 	85 	86 	86 	86 	85 
NR,CY	66 	63 	63 	61 	55 	57 
NR,CZ	49 	48 	51 	56 	55 	57 
NR,DE	79 	78 	79 	81 	81 	81 
NR,DK	90 	91 	92 	91 	90 	88 
NR,EE	64 	68 	69 	70 	70 	71 
NR,EL	36 	40 	43 	46 	44 	48 
NR,ES	65 	59 	60 	58 	58 	57 
NR,FI	90 	89 	89 	90 	89 	85 
NR,FR	71 	71 	69 	70 	69 	70 
NR,HR	46 	48 	48 	51 	49 	49 
NR,HU	55 	54 	54 	51 	48 	45 
NR,IE	69 	72 	74 	75 	73 	74 
NR,IS	82 	78 	79 	79 	78 	77 
NR,IT	42 	43 	43 	44 	47 	50 
NR,JP	74 	74 	76 	75 	72 	73 
NR,KR	56 	55 	55 	54 	53 	54 
NR,LT	54 	57 	58 	59 	59 	59 
NR,LU	80 	80 	82 	85 	81 	82 
NR,LV	49 	53 	55 	56 	57 	58 
NR,ME	41 	44 	42 	44 	45 	46 
NR,MK	43 	44 	45 	42 	37 	35 
NR,MT	57 	56 	55 	60 	55 	56 
NR,NL	84 	83 	83 	84 	83 	82 
NR,NO	85 	86 	86 	88 	85 	85 
NR,PL	58 	60 	61 	63 	62 	60 
NR,PT	63 	62 	63 	64 	62 	63 
NR,RO	44 	43 	43 	46 	48 	48 
NR,RS	39 	42 	41 	40 	42 	41 
NR,RU	28 	28 	27 	29 	29 	29 
NR,SE	88 	89 	87 	89 	88 	84 
NR,SI	61 	57 	58 	60 	61 	61 
NR,SK	46 	47 	50 	51 	51 	50 
NR,TR	49 	50 	45 	42 	41 	40 
NR,UK	74 	76 	78 	81 	81 	82 
NR,US	73 	73 	74 	76 	74 	75 
