fin_source,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
EXPCRED_OSUP,AT	228.9 	-145.4 	274.2 	91.5 	-271.9 	-61.4 	-70.1 	2048.0 	1266.0 	-438.8 	-536.5 	-337.3 	-327.4 	-6.5 	18.9 	-24.9 	-67.2 
EXPCRED_OSUP,BE	483.8 	158.4 	-496.2 	-1549.2 	-454.9 	-710.3 	-15.2 	144.5 	135.6 	103.1 	-195.7 	5.7 	259.3 	587.4 	141.1 	224.2 	-94.8 
EXPCRED_OSUP,CH	541.7 	-160.7 	-140.4 	47.5 	191.1 	-586.4 	-414.9 	2.0 	-456.3 	-425.1 	17.3 	-198.6 	-151.2 	-25.7 	484.8 	-127.0 	182.5 
EXPCRED_OSUP,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.2 	46.0 	-33.5 
EXPCRED_OSUP,DE	1219.2 	422.2 	-559.4 	-1218.6 	158.4 	-2997.1 	-2310.2 	467.8 	1197.4 	690.1 	2796.4 	7384.0 	4881.7 	4081.7 	-120.8 	1682.0 	3116.4 
EXPCRED_OSUP,DK	: 	: 	: 	: 	-13.0 	-17.8 	-88.3 	-87.2 	-56.1 	: 	-33.4 	-0.3 	-1.3 	-1.3 	481.8 	334.7 	236.3 
EXPCRED_OSUP,EL	2.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EXPCRED_OSUP,ES	-14.9 	-580.7 	-143.6 	-98.5 	-163.4 	-355.4 	-219.2 	-81.3 	-77.4 	-50.1 	-236.3 	-10.1 	-49.3 	-181.5 	: 	65.6 	-242.7 
EXPCRED_OSUP,EU15	4067.8 	1922.9 	-1174.3 	-4154.3 	1650.7 	3110.9 	-3036.2 	2751.3 	5239.6 	4615.5 	8774.7 	8339.7 	5087.1 	5041.4 	-136.7 	3587.8 	2754.5 
EXPCRED_OSUP,EU28	4067.8 	1922.9 	-1174.3 	-4154.3 	1650.7 	3110.9 	-3036.2 	2751.3 	5239.6 	4615.5 	8774.7 	8339.7 	5087.1 	5041.4 	-86.5 	3633.8 	2721.0 
EXPCRED_OSUP,FI	728.4 	399.3 	51.1 	-262.1 	77.2 	-129.6 	11.2 	54.7 	: 	57.1 	: 	793.0 	: 	: 	: 	: 	: 
EXPCRED_OSUP,FR	: 	313.0 	-1530.9 	-2902.9 	-18.5 	-732.6 	-2282.4 	-2118.0 	-881.6 	-346.7 	5515.7 	-695.6 	-949.8 	-89.3 	-1.8 	-24.2 	: 
EXPCRED_OSUP,IT	677.0 	543.2 	1507.4 	837.5 	134.4 	188.5 	1183.1 	1783.6 	-421.2 	249.1 	544.1 	603.3 	564.5 	1529.1 	439.5 	1274.6 	725.0 
EXPCRED_OSUP,NL	-416.8 	115.7 	908.0 	2166.5 	2980.9 	8531.1 	4549.8 	-104.6 	-12.1 	287.6 	-728.4 	-296.5 	-203.5 	-524.0 	-488.7 	382.3 	-1940.1 
EXPCRED_OSUP,NO	33.1 	67.1 	115.0 	57.5 	-39.5 	-6.2 	-4.7 	-0.3 	-0.4 	2.5 	: 	-0.1 	-0.5 	-1.3 	-1.5 	2.5 	1.9 
