sitc06,partner,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,CN_X_HK,MIO_EUR,AT	842 	1046 	1163 	1571 	1518 	2120 	2500 	2928 	3203 	2542 	3366 	3909 	4318 	4485 	4893 	5266 	4776 	5140 
TOTAL,CN_X_HK,MIO_EUR,BE	4011 	4316 	4747 	5481 	6758 	8552 	10308 	12623 	13402 	10610 	12635 	14730 	13573 	12999 	13639 	14684 	14549 	14750 
TOTAL,CN_X_HK,MIO_EUR,BG	74 	98 	146 	249 	377 	568 	770 	609 	756 	456 	493 	679 	758 	767 	865 	969 	1040 	1109 
TOTAL,CN_X_HK,MIO_EUR,CY	129 	147 	164 	199 	180 	194 	232 	333 	386 	307 	340 	297 	259 	202 	591 	342 	545 	587 
TOTAL,CN_X_HK,MIO_EUR,CZ	755 	1198 	1992 	2417 	1881 	1677 	2606 	4336 	4721 	4303 	6929 	8313 	6965 	6281 	7156 	10528 	9624 	10537 
TOTAL,CN_X_HK,MIO_EUR,DE	17126 	18110 	19053 	22476 	28533 	35121 	43149 	48727 	51461 	45163 	63033 	64331 	61184 	57639 	60922 	69064 	70030 	72364 
TOTAL,CN_X_HK,MIO_EUR,DK	1429 	1470 	1475 	1816 	2160 	2885 	3417 	3897 	4294 	3706 	4675 	4664 	4868 	4838 	5179 	5609 	5606 	5847 
TOTAL,CN_X_HK,MIO_EUR,EE	164 	418 	265 	257 	233 	302 	332 	299 	294 	182 	337 	555 	596 	575 	606 	625 	642 	688 
TOTAL,CN_X_HK,MIO_EUR,EL	757 	925 	1028 	1223 	1423 	1703 	1819 	2867 	3306 	3046 	2862 	2492 	2291 	2197 	2494 	2552 	2887 	2719 
TOTAL,CN_X_HK,MIO_EUR,ES	4136 	4414 	4758 	5659 	7158 	9782 	12116 	15786 	17108 	11951 	15952 	15597 	14797 	14419 	16529 	19808 	19914 	21454 
TOTAL,CN_X_HK,MIO_EUR,EU28	74728 	82161 	90419 	106579 	129203 	161008 	195816 	233863 	249102 	215274 	283931 	295055 	292122 	280119 	302518 	350847 	344915 	374571 
TOTAL,CN_X_HK,MIO_EUR,FI	935 	867 	957 	1136 	1373 	1953 	2958 	3296 	3168 	2305 	2298 	2622 	2647 	1759 	1856 	1960 	1940 	2042 
TOTAL,CN_X_HK,MIO_EUR,FR	8158 	8343 	8572 	9591 	11652 	14480 	15839 	18194 	19163 	17814 	23270 	25077 	25522 	24605 	25450 	27621 	26495 	28054 
TOTAL,CN_X_HK,MIO_EUR,HR	96 	161 	271 	358 	511 	705 	911 	1166 	1287 	1036 	1085 	1153 	1157 	956 	443 	525 	596 	707 
TOTAL,CN_X_HK,MIO_EUR,HU	1031 	1489 	2209 	2914 	3661 	3816 	4307 	5394 	5586 	4837 	6560 	6189 	5495 	5169 	4813 	5150 	5308 	5612 
TOTAL,CN_X_HK,MIO_EUR,IE	741 	718 	763 	1101 	1293 	1550 	1767 	2013 	1879 	1714 	1890 	1802 	1888 	2008 	2192 	2688 	2785 	2977 
TOTAL,CN_X_HK,MIO_EUR,IT	7028 	7484 	8307 	9553 	11828 	14135 	17911 	21689 	23606 	19334 	28789 	29574 	25006 	23071 	25075 	28232 	27346 	28430 
TOTAL,CN_X_HK,MIO_EUR,LT	89 	135 	193 	269 	237 	291 	369 	498 	542 	325 	430 	452 	531 	565 	666 	725 	709 	823 
TOTAL,CN_X_HK,MIO_EUR,LU	89 	81 	74 	1549 	2022 	2249 	3539 	3417 	4086 	3321 	1656 	1439 	1535 	1282 	1193 	2438 	1135 	319 
TOTAL,CN_X_HK,MIO_EUR,LV	26 	30 	45 	60 	72 	105 	153 	257 	250 	145 	220 	301 	362 	342 	355 	417 	403 	441 
TOTAL,CN_X_HK,MIO_EUR,MT	61 	60 	66 	86 	66 	58 	102 	93 	106 	118 	117 	152 	161 	136 	147 	213 	185 	170 
TOTAL,CN_X_HK,MIO_EUR,NL	8705 	10440 	12000 	14739 	18998 	25827 	30972 	37746 	40382 	36897 	49475 	51217 	55293 	53375 	57017 	66925 	64249 	83057 
TOTAL,CN_X_HK,MIO_EUR,PL	1500 	1805 	2197 	2560 	2331 	2606 	3571 	5050 	6276 	5557 	6934 	7433 	7968 	8469 	10558 	13087 	14070 	16322 
TOTAL,CN_X_HK,MIO_EUR,PT	382 	351 	345 	371 	459 	569 	773 	1063 	1342 	1115 	1578 	1526 	1391 	1370 	1599 	1778 	1819 	2049 
TOTAL,CN_X_HK,MIO_EUR,RO	189 	282 	392 	583 	852 	1316 	1738 	1667 	2397 	1903 	2549 	2528 	2086 	1972 	2354 	2889 	3440 	3788 
TOTAL,CN_X_HK,MIO_EUR,SE	1859 	1809 	1823 	2295 	2558 	3196 	3906 	4716 	4776 	4145 	5599 	5969 	6279 	6172 	6543 	7414 	7128 	7453 
TOTAL,CN_X_HK,MIO_EUR,SI	149 	177 	238 	291 	141 	213 	305 	447 	616 	553 	934 	1046 	912 	1018 	1131 	1459 	1321 	1436 
TOTAL,CN_X_HK,MIO_EUR,SK	191 	260 	366 	493 	387 	408 	739 	1587 	2078 	1414 	2014 	2223 	2418 	2468 	2476 	2720 	3138 	3078 
TOTAL,CN_X_HK,MIO_EUR,UK	14077 	15530 	16811 	17280 	20540 	24627 	28706 	33163 	32630 	30477 	37908 	38787 	41863 	40981 	45774 	55158 	53235 	52618 
TOTAL,DAC,MIO_EUR,AT	4270 	4735 	5161 	5378 	6153 	7571 	9599 	10893 	12576 	9343 	11702 	13037 	13900 	15049 	15541 	15434 	14825 	17397 
TOTAL,DAC,MIO_EUR,BE	21457 	21879 	22987 	22588 	26011 	30205 	35305 	40057 	41685 	32089 	39512 	46509 	45434 	43353 	47599 	50055 	51393 	53377 
TOTAL,DAC,MIO_EUR,BG	746 	944 	1116 	1575 	2028 	2518 	4197 	5406 	6133 	3733 	4020 	4291 	4235 	4547 	4928 	4965 	5203 	6342 
TOTAL,DAC,MIO_EUR,CY	496 	553 	551 	661 	551 	589 	829 	976 	1025 	709 	852 	742 	664 	467 	1101 	1010 	1071 	1265 
TOTAL,DAC,MIO_EUR,CZ	2212 	3167 	4622 	5266 	4096 	3687 	5847 	7810 	9167 	7398 	11937 	14489 	12890 	12005 	13657 	16673 	15288 	17632 
TOTAL,DAC,MIO_EUR,DE	61096 	61250 	59813 	64047 	73028 	84148 	108145 	119762 	128650 	104741 	137776 	153358 	150375 	144909 	148304 	158969 	159110 	171924 
TOTAL,DAC,MIO_EUR,DK	3656 	3858 	3936 	4329 	5234 	6148 	6967 	7827 	9041 	7308 	9010 	9518 	9959 	9938 	10276 	10793 	10449 	11085 
TOTAL,DAC,MIO_EUR,EE	307 	598 	497 	495 	423 	451 	797 	800 	975 	524 	738 	1105 	1339 	983 	971 	974 	1033 	1155 
TOTAL,DAC,MIO_EUR,EL	5958 	6417 	5558 	6214 	7609 	8806 	11550 	13965 	15125 	11051 	12224 	12914 	13515 	13686 	14849 	12268 	12305 	14191 
TOTAL,DAC,MIO_EUR,ES	30026 	30249 	30219 	31859 	37684 	48929 	63660 	69455 	76616 	51928 	66735 	75388 	80650 	77020 	79482 	77589 	74762 	88322 
TOTAL,DAC,MIO_EUR,EU28	346630 	356894 	358870 	371979 	425487 	504786 	639187 	704822 	762471 	591986 	756791 	841518 	863783 	817475 	838536 	881393 	861162 	956517 
TOTAL,DAC,MIO_EUR,FI	2502 	2459 	2462 	2765 	3375 	4156 	5865 	6414 	6558 	4443 	5255 	6449 	6082 	5248 	5279 	4651 	4514 	4850 
TOTAL,DAC,MIO_EUR,FR	46018 	45959 	44090 	43142 	48309 	59324 	65513 	70240 	76673 	61589 	75615 	87466 	87639 	83736 	82540 	83148 	78097 	85615 
TOTAL,DAC,MIO_EUR,HR	825 	1086 	1371 	1468 	1755 	2073 	2478 	3281 	3704 	2900 	3423 	3789 	3600 	3469 	2427 	2805 	3102 	3644 
TOTAL,DAC,MIO_EUR,HU	3016 	3882 	5106 	5499 	6290 	6201 	7712 	9689 	10275 	7917 	9998 	10338 	10063 	10129 	9460 	10406 	10845 	13021 
TOTAL,DAC,MIO_EUR,IE	2856 	2894 	2972 	3297 	3435 	4029 	4278 	4557 	4110 	3920 	4554 	5183 	6562 	5253 	5872 	6372 	6122 	6621 
TOTAL,DAC,MIO_EUR,IT	45467 	45527 	44203 	45211 	53345 	63220 	94856 	101620 	110056 	77984 	108628 	115458 	110288 	96664 	93047 	94197 	89467 	98917 
TOTAL,DAC,MIO_EUR,LT	303 	391 	509 	601 	491 	607 	1323 	1613 	1829 	1054 	1429 	1902 	2108 	2284 	2740 	2910 	2448 	3284 
TOTAL,DAC,MIO_EUR,LU	275 	279 	187 	1717 	2306 	2776 	4057 	3689 	4249 	3468 	1970 	2015 	2376 	2022 	2069 	3504 	2179 	1311 
TOTAL,DAC,MIO_EUR,LV	79 	91 	119 	143 	166 	245 	889 	993 	1027 	620 	830 	1189 	1313 	1213 	1141 	1153 	1047 	1267 
TOTAL,DAC,MIO_EUR,MT	205 	203 	230 	280 	286 	235 	314 	296 	303 	271 	378 	430 	506 	520 	618 	664 	660 	700 
TOTAL,DAC,MIO_EUR,NL	42263 	42978 	43716 	47154 	54666 	69980 	80933 	90943 	101070 	83288 	105820 	116005 	127245 	118976 	121334 	129765 	124691 	153086 
TOTAL,DAC,MIO_EUR,PL	4126 	5119 	5671 	6195 	5811 	6084 	10253 	12691 	15190 	11877 	14378 	16598 	16992 	17463 	21662 	25958 	26526 	30784 
TOTAL,DAC,MIO_EUR,PT	5358 	5171 	4862 	4507 	5772 	7500 	9138 	10004 	11381 	7277 	9852 	11109 	12141 	11785 	10632 	10002 	9148 	10405 
TOTAL,DAC,MIO_EUR,RO	1556 	1902 	2370 	2577 	3873 	5753 	7896 	8768 	11060 	7003 	8563 	10344 	9414 	8669 	9703 	9916 	10934 	12833 
