unit,sector,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
MIO_EUR,S13,GD,AT	141245.5 	147154.2 	151295.9 	152688.1 	157985.4 	174403.5 	180270.0 	184674.5 	201809.9 	230014.6 	244696.8 	255683.8 	261040.8 	263229.5 	280001.0 	291910.7 	295845.2 	289665.8 
MIO_EUR,S13,GD,BE	280870.5 	285970.1 	288027.6 	285787.9 	288330.4 	294904.5 	297427.6 	299999.5 	327623.1 	347167.8 	364080.6 	388937.2 	404292.1 	413732.8 	430373.3 	437540.9 	450390.4 	453993.6 
MIO_EUR,S13,GD,BG	10168.5 	10269.8 	8890.2 	8126.5 	7526.2 	6388.6 	5721.0 	5296.9 	4847.5 	5108.7 	5856.1 	6284.2 	7004.9 	7147.0 	11618.5 	11870.9 	14245.8 	13246.7 
MIO_EUR,S13,GD,CY	6024.4 	6660.8 	7339.8 	8184.8 	9055.8 	9595.8 	9597.7 	9461.8 	8658.6 	10139.0 	10953.7 	13057.9 	15618.4 	18706.4 	19013.8 	19164.0 	19509.2 	18814.1 
MIO_EUR,S13,GD,CZ	11567.8 	18322.2 	22013.9 	24540.2 	28681.7 	31390.0 	35406.7 	39608.1 	42300.2 	49826.8 	59062.5 	62298.5 	71783.6 	67102.2 	65588.5 	67951.6 	64945.2 	68515.1 
MIO_EUR,S13,GD,DE	1245785.0 	1258749.0 	1312446.6 	1400260.9 	1470586.1 	1541399.9 	1591334.4 	1600016.2 	1669035.0 	1785684.4 	2088715.8 	2125337.1 	2202864.1 	2188128.0 	2189568.6 	2159746.0 	2143904.1 	2092781.2 
MIO_EUR,S13,GD,DK	93084.0 	89464.7 	93174.5 	89061.4 	89394.7 	79532.5 	71183.3 	63755.0 	80547.5 	92986.6 	103472.9 	114452.4 	114025.7 	113943.4 	117801.4 	108496.2 	105325.1 	104106.2 
MIO_EUR,S13,GD,EA18	4788853.0 	4932792.5 	5093737.0 	5336051.8 	5590377.6 	5857058.9 	5999244.4 	6108609.3 	6621761.1 	7356098.5 	8068646.4 	8483658.1 	8815140.3 	9090316.8 	9325155.3 	9451538.4 	9627753.8 	9714906.9 
MIO_EUR,S13,GD,EA19	4791765.1 	4935977.7 	5097102.7 	5339446.9 	5593782.1 	5860760.8 	6003396.3 	6113219.0 	6626523.2 	7363627.0 	8078796.8 	8495287.3 	8828404.4 	9103867.4 	9339982.4 	9467477.9 	9643269.2 	9731521.0 
MIO_EUR,S13,GD,EE	315.6 	333.4 	442.9 	489.7 	491.4 	512.3 	595.5 	595.2 	741.1 	995.6 	964.4 	1011.1 	1745.5 	1923.7 	2108.4 	2034.9 	1986.8 	2063.7 
