indic_eu,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	TARGET 
T2020_30,AT	100 	104.92 	96.61 	96.76 	97.5 	101.87 	106.06 	105.55 	104.73 	102.55 	103.22 	108.28 	110.27 	117.21 	117.25 	118.91 	115.48 	112.21 	112.02 	103.07 	109.32 	106.35 	103.05 	103.25 	98.56 	101.78 	103.06 	: 
T2020_30,BE	100 	101.41 	101.15 	100.48 	103.58 	105.25 	108 	102.49 	106.25 	102.41 	103.15 	101.77 	100.99 	101.44 	102.29 	99.47 	97.87 	95.57 	95.79 	86.92 	91.41 	84.47 	82.38 	82.5 	78.83 	81.46 	81.53 	: 
T2020_30,BG	100 	79.08 	75.02 	74.31 	70.67 	72.09 	71.96 	68.57 	64.61 	57.98 	57.12 	60.16 	57.39 	61.76 	60.94 	61.58 	62.1 	65.81 	64.55 	55.8 	58.31 	63.38 	58.52 	53.5 	56.44 	59.48 	57.02 	: 
T2020_30,CH	100 	103.15 	103.03 	98.55 	96.96 	98.83 	100.29 	98.39 	101.56 	101.66 	100.68 	103 	99.57 	100.88 	101.61 	102.77 	102.52 	99.57 	102.82 	100.1 	103.26 	96.65 	99.21 	100.8 	93.92 	93.25 	94.35 	: 
T2020_30,CY	100 	110.08 	116.4 	118.95 	123.17 	123.24 	128.12 	129.3 	135.09 	139.62 	144.17 	145.61 	148.62 	155.84 	158.12 	159.34 	163.2 	168.23 	171.54 	167.12 	162.37 	158.04 	149.23 	137.16 	143.35 	143.85 	152.92 	: 
T2020_30,CZ	100 	90.55 	87.28 	83.28 	79.44 	79.67 	80.78 	78.71 	75.45 	70.6 	75.33 	75.19 	73.31 	75.01 	75.52 	74.47 	75.2 	76.07 	73.74 	69.49 	70.71 	69.67 	67.59 	65.03 	64.09 	64.62 	65.62 	: 
T2020_30,DE	100 	96.27 	92.37 	91.72 	90.25 	90.07 	91.54 	88.82 	86.83 	84.29 	84.22 	85.36 	83.68 	83.44 	82.19 	80.4 	81.07 	79.01 	79.18 	73.81 	76.52 	74.65 	75.15 	76.56 	73.37 	73.69 	74.05 	: 
T2020_30,DK	100 	114.65 	106.43 	109.62 	115.23 	111.13 	129.37 	116.22 	110.78 	107.43 	101.33 	103.58 	102.55 	109.55 	101.45 	95.46 	106.19 	99.87 	94.82 	90.41 	91.15 	84.01 	77.48 	79.92 	74.44 	70.89 	73.91 	: 
T2020_30,EE	100 	92.2 	67.36 	52.73 	54.45 	50.01 	51.74 	50.86 	46.88 	43.58 	42.88 	43.83 	42.51 	47.17 	47.91 	47.63 	45.76 	55.1 	49.55 	41.38 	52.45 	52.49 	49.85 	54.15 	52.31 	44.74 	48.62 	: 
T2020_30,EL	100 	99.74 	101.01 	100.76 	103.83 	105.89 	108.76 	113.33 	118.75 	119.21 	122.06 	122.89 	122.89 	127.1 	127.83 	131.54 	128.03 	130.66 	127.53 	120.46 	114.56 	111.85 	108.42 	99.42 	96.54 	93 	89.69 	: 
