indic_eu,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	TARGET 
T2020_35I05,AT	99.4 	96.2 	92.5 	92.3 	89.2 	91.8 	88.3 	87.5 	88.1 	84.8 	86.7 	88.2 p	84.0 
T2020_35I05,BE	97.8 	96.6 	95.3 	98.4 	93.9 	96.7 	89.9 	90.4 	92.5 	87.3 	90.6 	92.8 p	85.0 
T2020_35I05,BG	116.4 	118.7 	121.7 	119.9 	109 	114 	108.9 	108.9 	100.5 	103.5 	114.6 	112.8 p	120.0 
T2020_35I05,CY	100.7 	102.8 	107.6 	107.7 	107.6 	107.8 	111.7 	104.7 	94.1 	93.8 	97 	100.2 p	95.0 
T2020_35I05,CZ	99.7 	100.8 	96.6 	101.4 	98.8 	99.1 	98.6 	101 	99.7 	93.5 	99.4 	94.3 p	109.0 
T2020_35I05,DE	98.5 	99.5 	91.5 	97.6 	92.8 	96.3 	93.4 	94 	96.3 	91.4 	92.9 	94.3 p	86.0 
T2020_35I05,DK	99.1 	99.1 	99.4 	97.5 	93 	94.3 	90.7 	86.8 	84.1 	81.4 	81.1 	80.7 p	80.0 
T2020_35I05,EE	115.8 	112.3 	121.6 	119 	116.1 	122.1 	117.4 	121.1 	106 	112.1 	113.2 	107.6 p	111.0 
T2020_35I05,EL	99.2 	95.2 	95 	94.4 	92.8 	89.1 	86 	76.9 	70.6 	71 	72.7 	74.3 p	96.0 
T2020_35I05,ES	99.7 	100.4 	101.4 	97.7 	93.5 	94.6 	90.3 	87 	84.9 	84.6 	83.1 	83.8 p	90.0 
T2020_35I05,EU28	98.7 	98.1 	95.6 	96.6 	92.7 	94.7 	90.8 	90.1 	88.9 	85.8 	87.3 	88 p	90.7 
T2020_35I05,FI	99.1 	98.7 	100.2 	96.3 	93 	98.5 	93.5 	94.3 	93.1 	88.8 	88 	92.3 p	84.0 
T2020_35I05,FR	99 	97.1 	95.1 	95.5 	93.8 	95.2 	91 	91.4 	91.9 	88.8 	88.6 	89.6 p	86.0 
T2020_35I05,HR	96.8 	98.2 	100.2 	98.7 	96.4 	96.4 	94.7 	89.3 	86.9 	84.3 	89.4 	82 p	111.0 
T2020_35I05,HU	96.2 	95.8 	91 	91.2 	88.6 	88.3 	86.1 	80.9 	80 	80 	86.3 	87.7 p	110.0 
T2020_35I05,IE	100.1 	100.2 	99.6 	100 	94.8 	93.3 	88 	86.8 	89.7 	88.5 	91.4 	94.6 p	80.0 
T2020_35I05,IT	98.5 	96.6 	94.7 	94.5 	89.7 	90.5 	87.1 	84.2 	81.7 	79.3 	81.7 	83 p	87.0 
T2020_35I05,LT	87 	90 	105 	98.8 	84.3 	86.7 	94.9 	95.6 	93.9 	97.5 	100 	98.1 p	115.0 
T2020_35I05,LU	99 	96.3 	92.2 	95.7 	89.6 	94.7 	95.6 	93.4 	92.3 	87.3 	84.8 	83.9 p	80.0 
T2020_35I05,LV	98.7 	103.8 	110.3 	106 	100.6 	104.9 	99.5 	100.5 	102.8 	105.6 	105.4 	103.8 p	117.0 
T2020_35I05,MT	93.7 	96.8 	101.4 	96.8 	97 	102.2 	105.7 	105.5 	112.1 	115.7 	116.5 	120.3 p	105.0 
T2020_35I05,NL	96.1 	95.1 	92.9 	96 	93.6 	100 	92.8 	91.9 	84.7 	76.6 	79.1 	80.3 p	84.0 
T2020_35I05,PL	98.6 	103.1 	103.4 	105.5 	104.6 	110.1 	108.1 	107.5 	103.4 	100.9 	103.8 	107.1 p	114.0 
T2020_35I05,PT	97.8 	95.1 	94.2 	93.2 	90.5 	90.6 	87 	82.6 	79.5 	79.9 	83.6 	83.1 p	101.0 
T2020_35I05,RO	98.1 	100.1 	95.4 	98.5 	93.4 	87.5 	90.7 	92.3 	96.4 	96.1 	98.8 	96.3 p	119.0 
T2020_35I05,SE	98.4 	96.9 	95.9 	92.3 	89.4 	90.9 	88.6 	85 	81.2 	79.4 	78 	77.5 p	83.0 
T2020_35I05,SI	99.2 	99.9 	99.3 	107.7 	98.3 	98 	98.6 	96.8 	92.3 	88.5 	90.6 	93.3 p	104.0 
T2020_35I05,SK	97.3 	94.1 	91.5 	99.3 	96.9 	101.3 	96.3 	92.8 	91.8 	86.1 	87.5 	86 p	113.0 
T2020_35I05,UK	98.6 	95.5 	93.4 	91.7 	86.4 	88.9 	81.6 	83.3 	81.3 	77.7 	78 	77.6 p	84.0 
T2020_35T,AT	56.5 	54.66 	52.58 	52.44 	50.73 	52.18 	50.17 	49.76 	50.1 	48.19 	49.3 	50.16 p	47.75 
T2020_35T,BE	78.49 	77.53 	76.5 	79.01 	75.41 	77.68 	72.19 	72.58 	74.26 	70.05 	72.72 	74.53 p	68.25 
