geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
AT	10.3 	10.7 	10.9 	11.5 	11.4 	11.5 	11.1 	10.8 	10.7 	9.8 	10.4 	10.1 	9.7 	9.7 	9.2 	9.4 	9.4 
BE	15.1 	14.8 	14.6 	14.6 	14.7 	14.2 	13.9 	13.5 	13.4 	12.1 	12.6 	11.5 b	11.1 b	11.1 	10.5 	10.8 	10.8 
BG	7.3 	7.9 	7.7 	8.3 	8.3 	8.4 	8.6 	9.1 	9.0 	7.8 	8.3 	9.0 	8.4 	7.7 	8.2 	8.7 	8.4 
CH	7.9 	8.1 	7.7 	7.8 	7.8 	7.8 	7.8 	7.5 	7.6 	7.3 	7.5 	6.9 b	7.0 	7.1 	6.5 	6.4 	6.4 
CY	13.1 	13.1 	13.2 	13.7 	13.7 	13.6 	13.7 	13.8 	13.8 	13.1 	12.4 	11.7 	10.9 	10.0 	10.6 	10.7 	11.3 
CZ	14.7 	14.7 	14.4 	14.7 	14.8 	14.6 	14.7 	14.8 	14.2 	13.3 	13.5 	13.3 	12.9 	12.4 	12.2 	12.3 	12.4 
DE	12.9 	13.1 	12.8 	12.8 	12.6 	12.3 	12.4 	12.1 	12.2 	11.4 	11.8 	11.8 b	11.8 	12.0 	11.4 	11.4 	11.4 
DK	13.7 	13.9 	13.8 	14.7 	13.5 	12.7 	14.1 	13.2 	12.5 	11.8 	11.9 	10.9 	10.0 	10.3 	9.5 	9.0 	9.3 
EE	12.4 	12.8 	12.5 	13.9 	14.2 	14.2 	13.8 	16.6 	15.0 	12.6 	16.0 	16.0 	15.3 	16.6 	16.1 	13.8 b	15.0 
EL	11.9 	11.9 	11.9 	12.3 	12.3 	12.6 	12.3 	12.5 	12.2 	11.5 	10.9 	10.6 	10.4 	9.6 	9.4 	9.1 	8.8 
ES	9.7 	9.6 	9.9 	9.9 	10.1 	10.3 	10.0 	10.1 	9.2 	8.2 	7.9 	7.9 	7.7 	7.2 	7.3 	7.5 	7.3 
EU28	10.8 b	10.9 b	10.8 	10.9 	10.9 	10.8 	10.7 	10.6 	10.3 b	9.6 	9.7 b	9.4 b	9.3 b	9.1 e	8.7 e	8.8 bep	8.7 ep
FI	13.8 	14.8 	15.2 	16.6 	15.9 	13.5 	15.7 	15.3 	13.8 	13.0 	14.4 	12.9 	11.9 	12.0 	11.1 	10.5 	11.1 
FR	9.3 	9.3 	9.1 	9.2 	9.1 	9.0 	8.8 	8.6 	8.5 	8.0 	8.1 	7.7 	7.7 	7.6 	7.1 	7.1 bp	7.1 p
HR	5.8 e	6.3 b	6.6 	6.9 	6.9 	7.0 	7.1 	7.4 	7.1 	6.7 	6.6 	6.5 	6.1 	5.9 	5.7 	5.8 	5.9 
HU	7.3 	7.5 	7.3 	7.7 	7.6 	7.6 	7.5 	7.3 	7.2 	6.6 	6.6 	6.5 	6.1 b	5.8 	5.9 	6.3 	6.3 
IE	18.5 	18.8 	18.0 	17.8 	17.2 	17.3 	16.8 	16.2 	15.6 	14.1 	13.9 	12.9 	12.9 	12.9 	12.8 	13.2 	13.5 
IS	15.9 	15.1 	15.1 	15.0 	15.4 	14.8 	16.7 	17.3 	18.0 	16.7 	16.5 	15.8 	15.9 	15.9 	16.0 	16.4 	16.7 
IT	9.9 	10.0 	10.0 	10.2 	10.2 	10.2 	10.0 	9.8 	9.5 	8.5 	8.7 	8.4 	8.1 	7.5 	7.1 	7.3 	7.2 
LI	7.6 	7.5 	7.6 	7.8 	7.7 	7.7 	7.7 	6.8 	7.3 	6.9 	6.4 	6.0 	6.2 	6.3 	5.4 	5.3 	5.0 
LT	5.6 	5.9 	6.0 	6.1 	6.4 	6.9 	7.1 	7.9 	7.7 	6.3 	6.7 	7.1 	7.2 	6.8 	6.9 	7.0 	7.1 
LU	24.3 	25.3 	27.0 	27.7 	30.6 	30.7 	29.7 	28.2 	27.5 	25.8 	26.5 	25.5 	24.2 b	22.7 	21.5 	20.4 	19.8 
LV	4.5 	4.8 	4.8 	5.0 	5.0 	5.2 	5.5 	5.8 	5.6 	5.4 	6.1 	5.8 	5.8 	5.8 	5.8 	5.9 	6.0 
MT	8.0 	7.6 	7.5 	8.0 	7.7 	8.0 	8.2 	8.4 	8.4 	7.8 	7.9 	8.1 	8.4 	7.5 	7.5 	5.8 	5.0 
NL	14.4 	14.3 	14.1 	14.1 	14.2 	13.8 	13.5 	13.4 	13.3 	12.8 	13.5 	12.6 	12.2 	12.2 	11.7 	12.2 	12.2 
NO	12.4 	12.6 	12.2 	12.3 	12.4 	12.1 	12.0 	12.3 	11.8 	11.1 	11.5 	11.2 	11.0 	10.8 	10.7 	10.7 	10.5 
PL	10.2 b	10.2 	9.9 	10.3 	10.4 	10.4 	10.8 	10.9 	10.7 	10.2 	10.7 b	10.7 	10.5 	10.4 	10.1 	10.2 	10.5 
