statinfo,unit,comspec,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSME,I90,CO_ALL,EU_V	100 	97.09 	96.79 	97.97 	98.77 	93.29 	94.5 	93.38 	89.34 	90.72 	89.62 	93.28 	91.43 	90.63 	93.71 	89.84 	89.94 	90.69 	91.34 	85.29 	86.6 	88.13 	87.95 	85.65 	87.39 	89.45 
NSME,I90,CO_FARM,BE	100.0 	99.4 	83.4 	92.2 	84.7 	82.6 	85.9 	80.1 	77.4 	80.1 	68.5 	83.1 	63.2 	60.4 	69.4 	62.0 	66.6 	64.5 	62.9 	59.2 	65.8 	59.9 	60.6 	49.4 	56.6 	: 
NSME,I90,CO_FARM,CH	100.0 	92.7 	98.3 	99.9 	97.9 	100.3 	100.0 	91.8 	81.5 	94.3 	97.6 	95.8 	88.4 	90.1 	91.4 	92.4 	92.0 	93.9 	92.9 	89.1 	94.4 	94.3 	104.0 	96.0 	97.4 	: 
NSME,I90,CO_FARM,CZ	100.0 	108.5 	116.2 	117.0 	118.4 	133.9 	122.3 	99.0 	85.8 	80.7 	85.1 	91.5 	92.2 	85.7 	107.6 	84.4 	72.8 	70.5 	85.3 	78.2 	68.9 	63.7 	63.4 	66.4 	69.1 	: 
NSME,I90,CO_FARM,DE	100.0 	96.0 	94.5 	95.5 	102.1 	99.5 	101.4 	95.8 	93.2 	101.3 	96.6 	92.4 	92.8 	91.4 	95.2 	92.9 	91.6 	92.3 	89.4 	88.1 	84.3 	78.5 	82.6 	79.8 	: 	: 
NSME,I90,CO_FARM,DK	100.0 	93.8 	88.1 	86.9 	87.8 	87.8 	86.5 	82.5 	81.2 	83.3 	79.6 	82.6 	73.8 	72.3 	75.5 	67.8 	67.8 	67.1 	65.9 	74.8 	70.4 	60.3 	61.2 	61.6 	70.3 	: 
NSME,I90,CO_FARM,EE	100.0 	93.0 	98.0 	96.6 	82.0 	69.0 	69.5 	76.7 	74.8 	74.3 	86.2 	85.2 	81.6 	75.6 	74.3 	78.6 	78.9 	77.2 	70.4 	59.4 	60.2 	58.8 	60.9 	63.7 	67.4 	65.1 
NSME,I90,CO_FARM,FI	100.0 	104.5 	97.5 	85.8 	92.2 	89.7 	79.9 	79.1 	84.8 	79.6 	74.9 	86.9 	83.7 	78.7 	80.4 	79.1 	74.2 	76.9 	75.0 	71.9 	61.4 	65.7 	61.5 	59.4 	61.1 	: 
NSME,I90,CO_FARM,FR	100.0 	80.9 	89.9 	80.6 	83.6 	80.9 	79.9 	88.1 	85.0 	74.8 	75.9 	77.9 	70.4 	68.1 	71.1 	74.4 	70.2 	71.2 	71.8 	65.4 	64.3 	63.9 	62.2 	61.0 	59.3 	: 
NSME,I90,CO_FARM,NL	100.0 	88.0 	92.0 	93.0 	90.0 	86.0 	84.0 	91.0 	90.0 	85.0 	85.0 	80.0 	77.0 	75.0 	76.0 	76.0 	68.0 	66.0 	66.0 	63.0 	61.0 	71.0 	64.0 	57.0 	62.0 	: 
NSME,I90,CO_FARM,SE	100.0 	81.0 	85.4 	84.7 	88.8 	92.2 	83.4 	85.2 	81.8 	77.0 	76.5 	76.5 	71.6 	74.7 	68.1 	65.4 	65.6 	66.6 	67.7 	58.2 	55.3 	59.3 	53.1 	52.1 	54.8 	: 
NSME,I90,CO_FARM,UK	100.0 	94.3 	89.2 	83.5 	85.3 	88.3 	86.7 	84.8 	79.8 	79.5 	82.9 	82.5 	81.9 	82.5 	81.9 	80.9 	79.8 	75.0 	76.6 	74.4 	72.0 	71.7 	72.5 	65.1 	66.2 	: 
NSME,I90,CO_FOR,EU_V	100 	99.36 	96.87 	88.79 	93.55 	87.88 	90.69 	93.82 	85.49 	84.59 	83.25 	85.02 	85.87 	86.88 	91.26 	86.74 	87.03 	84.23 	89.06 	81.96 	83.72 	82.93 	88.48 	86.36 	88.08 	93.35 
