unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PC,AT	37.14 	97.25 	22.39 	93.91 	21.81 	59.28 	65.3 	28.77 	9.31 	6.57 	49.57 	48.85 	0.7 	5.56 	0.22 	0 
PC,BE	46.6 	82.06 	82.2 	82.8 	48.09 	24.37 	51.3 	31.18 	1.67 	46.14 	17.68 	38.57 	15.48 	10.79 	1.48 	0 
PC,BG	100 	0 	: 	100 	100 	90.1 	95.82 	95.69 	100 	99.81 	100 	100 	97.2 	90.87 	96.68 	77.76 
PC,CH	8.1 	6.8 	4.72 	15.96 	0.29 	4.43 	36.48 	0.29 	0 	0 	0 	13.59 	0 	0 	: 	0 
PC,CY	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	6.09 	6.09 
PC,CZ	43.84 	63.92 	96.41 	96.22 	82.15 	80.41 	89.69 	21.35 	18.62 	23.42 	52.81 	64.19 	25.46 	19.61 	27.08 	18.67 
PC,DE	4.85 	7.64 	38.75 	48.07 	6.4 	5.43 	16.06 	1.34 	0.73 	1.53 	8.7 	8.17 	0.49 	0.59 	0.75 	0.07 
PC,DK	: 	0 	15.65 	6.83 	3.12 	3.44 	5.44 	3.68 	0 	0 	0 	35.32 	0 	0 	0 	0 
PC,EE	: 	0 	2.8 	2.8 	0 	0 	2.8 	2.8 	0 	0 	0 	0 	0 	0 	0 	0 
PC,EL	: 	100 	100 	100 	100 	68.08 	52.06 	36.23 	52.48 	52.17 	52.27 	4.42 	48.23 	52.03 	2.34 	4.21 
PC,ES	99.26 	91.52 	59.71 	77.13 	79.59 	63.3 	68.6 	49.36 	36.38 	29.01 	2.8 	9.04 	4.25 	1.08 	1.55 	4.69 
PC,EU28	31.61 	30.09 	31.76 	43.13 	30.35 	33.18 	38.02 	31.75 	24.72 	24.86 	25.18 	30 	21.61 	20 	16.06 	18.72 
PC,FI	0 	0 	0 	0.55 	0 	1.22 	1.1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PC,FR	: 	0.05 	1.32 	3.37 	3.23 	1.36 	1.41 	21.05 	5.87 	11.86 	3.85 	19.29 	7.65 	1.76 	0.63 	1.35 
PC,HR	: 	: 	: 	: 	: 	: 	87.56 	: 	87.56 	87.56 	38.52 	87.56 	0 	86.66 	86.66 	81.47 
PC,HU	100 	100 	: 	99.69 	20.59 	97.76 	97.76 	59.26 	67.13 	31.3 	89.42 	100 	54.77 	2.74 	28.72 	27.31 
PC,IE	: 	0 	1.5 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PC,IS	: 	: 	: 	0 	99.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
PC,IT	100 	94.15 	61.14 	55.17 	58.79 	76.09 	64.66 	78.44 	72.06 	59.4 	57.36 	71.35 	56.69 	65.43 	38.8 	60.34 
PC,LT	: 	: 	: 	100 	4.42 	4.66 	2.9 	3.03 	0 	1.13 	57.11 	0 	0.38 	3.7 	3.32 	1.9 
PC,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
PC,LV	: 	: 	: 	: 	100 	100 	: 	100 	4.22 	4.22 	3.78 	4.22 	3.78 	3.78 	3.78 	3.78 
PC,MT	: 	: 	: 	: 	: 	100 	: 	: 	: 	100 	100 	: 	100 	100 	100 	100 
PC,NL	0.55 	1.75 	58.32 	95.68 	39.7 	39.54 	76.14 	50.55 	0 	0 	0.39 	2.72 	0 	0 	0 	0 
PC,NO	: 	0 	0 	7.1 	1.9 	0.88 	0.45 	0.31 	0 	0.13 	0.49 	0.11 	0.09 	0.38 	0 	0 
PC,PL	92.33 	88.73 	81.21 	84.15 	69.99 	79.07 	90.87 	59.23 	57.21 	79.15 	83.59 	88.3 	81.4 	76.15 	83.72 	80.61 
PC,PT	100 	100 	84.23 	79.22 	86.24 	77.97 	67.07 	36.5 	18.95 	27.92 	17.36 	26.47 	10.2 	0.92 	0.09 	0.83 
PC,RO	: 	: 	: 	76.58 	100 	100 	97.34 	97.74 	81.36 	64.09 	95.74 	96.15 	59.44 	53.06 	2.97 	54.37 
PC,SE	1.38 	1.46 	1.64 	1.64 	1.64 	2.02 	2.01 	1.14 	1.37 	0.66 	0.6 	1.45 	0.23 	0.98 	0.27 	0 
PC,SI	: 	: 	2.02 	100 	100 	100 	100 	100 	51.01 	0 	51.01 	100 	0 	2.02 	0 	100 
PC,SK	23.24 	15.47 	47.16 	60.4 	69.11 	100 	86.52 	46.35 	43.51 	16.72 	56.48 	100 	47.89 	5.64 	45.87 	5.63 
PC,UK	0.43 	3.08 	0.53 	14.25 	1.07 	3.55 	4.25 	2.72 	1.28 	1.52 	0 	1.85 	0 	0 	0 	0 
