airpol,geo\time	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PM10,AT	: 	: 	: 	: 	: 	: 	: 	: 	25.9 	33.2 	25.4 	31.8 	25.3 	28.9 	30.4 	23.3 	22.6 	23.9 	26.9 	27.1 	22.5 	24.2 	21.1 	20.2 	: 
PM10,BE	: 	: 	: 	: 	51.4 	40.4 	34.7 	34.2 	32.6 	33.9 	33 	36.1 	31.4 	29.8 	30.8 	26.2 	26.1 	29 	27 	26.7 	24.8 	25 	22.3 	21 	: 
PM10,BG	: 	: 	: 	: 	: 	: 	0 	: 	20.4 	28.6 	: 	58.7 	51.9 	49.8 	53.6 	53.7 	60.4 	54 	48.4 	57.3 	45.9 	43.7 	41.2 	36.2 	: 
PM10,CH	: 	: 	: 	: 	: 	27.1 	25 	23.6 	22.4 	22.5 	23.2 	26.7 	21.8 	22.5 	24.9 	20.5 	20.1 	20.5 	20.3 	21.3 	18.4 	18.9 	: 	17.4 	: 
PM10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48 	35.7 	36.4 	37.4 	32.4 	35.2 	: 
PM10,CZ	: 	: 	: 	: 	46.4 	36.3 	26.9 	26.1 	30.2 	32.7 	39.2 	41.9 	34.4 	34.9 	35.8 	27.3 	25.9 	26.8 	29.9 	29.2 	27.2 	27.3 	27.7 	24.3 	: 
PM10,DE	: 	: 	: 	: 	: 	24.4 	20.7 	26.7 	26.1 	25 	26.3 	29.1 	23.6 	24.3 	26 	22.4 	21.1 	22.5 	23.1 	22.9 	19.8 	20.3 	20.1 	18.8 	: 
PM10,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.1 	24.5 	19.5 	23.4 	27.2 	21.9 	21.4 	17 	12.1 	: 	17.4 	15.9 	18.7 	18.3 	: 
PM10,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.2 	21.3 	19.4 	17.6 	20.7 	22.7 	18.6 	11.1 	13.3 	13.9 	12.5 	12.7 	13.8 	15.3 	13 	: 
PM10,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.3 	44.8 	43.2 	45.1 	41.1 	42.5 	37.8 	41.6 	34.2 	33.4 	26.4 	30 	34.4 	25.8 	26.5 	: 
PM10,ES	: 	: 	: 	: 	: 	32.8 	47 	39.2 	38.7 	31.9 	35.2 	35.6 	33.7 	33.5 	34.8 	33 	28.4 	26.9 	23.8 	24.3 	23.7 	20.2 	21.3 	23.6 	: 
PM10,EU28	38.3 	36.2 	33.8 	33.2 	36.2 	33.5 	30.3 	29.7 	28.7 	27.5 	28 	30.5 	27.3 	28.4 	30.2 	28.8 	26.5 	26.5 	26.2 	27.3 	24.8 	24 	22.5 	22.8 	: 
PM10,FI	: 	: 	: 	: 	: 	: 	: 	15.7 	14.7 	15.3 	15.9 	15.3 	13.5 	14.8 	15.7 	15.6 	13.4 	13.1 	13.4 	12.5 	11.1 	11.4 	13.7 	11.3 	: 
PM10,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.5 	21.5 	23.6 	20.6 	20.2 	20.9 	26.9 	24 	26.5 	25 	25.4 	23.8 	23.2 	18.2 	20.4 	: 
PM10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34 	29.7 	32.5 	: 
PM10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.9 	23.7 	39 	37.4 	31.6 	29.3 	29.7 	31.3 	33.3 	28.8 	27.3 	28.2 	26.9 	: 
PM10,IE	: 	: 	: 	: 	: 	: 	: 	17 	: 	20.4 	17.4 	18.8 	14.7 	15.3 	16.5 	14.7 	13.8 	13.3 	15.6 	15.7 	12.7 	15 	14.5 	13.1 	: 
PM10,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.3 	29.7 	19.6 	20.2 	11.5 	: 	8.6 	10.8 	9.1 	8.7 	11.5 	: 	: 	: 
PM10,IT	: 	: 	: 	: 	: 	: 	55.4 	51.7 	48.7 	39.4 	40.2 	39.3 	37.8 	40.5 	39.2 	37.9 	34.7 	33.2 	30.4 	35.4 	30.7 	30.3 	26.8 	30.7 	: 
PM10,LT	: 	: 	: 	: 	: 	: 	: 	28.7 	: 	: 	: 	: 	23.3 	22.8 	20.3 	20.6 	18.5 	23 	26.9 	22.7 	20.3 	23.9 	23.4 	21.7 	: 
PM10,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	17.2 	14.4 	14.2 	17 	18.2 	17.8 	20.8 	20.7 	21.4 	: 
PM10,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.8 	20.3 	24.4 	23 	22.8 	21.4 	23.7 	19.9 	: 
PM10,NL	42.7 	38 	35.8 	37.9 	43.9 	37.2 	36.7 	35.5 	31 	30.2 	32.4 	34.7 	30.6 	30 	32.5 	31.2 	25.3 	25.3 	24.7 	25.3 	21.2 	21.2 	21.2 	19.7 	: 
PM10,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.6 	16.8 	22.3 	22.6 	20.3 	18.9 	19.1 	19.7 	19.6 	16 	16.7 	15.1 	13.9 	15.2 
PM10,PL	: 	: 	: 	: 	: 	57.7 	53.8 	40.3 	40.8 	37.9 	41.7 	42.8 	34 	37.3 	42.9 	32.4 	31.7 	35 	39.7 	39.7 	37.3 	33.8 	35.1 	33.1 	: 
PM10,PT	: 	: 	: 	: 	: 	: 	: 	40.2 	32.7 	36.5 	34.3 	33.7 	32.7 	33 	31.5 	30.7 	25 	26.5 	25 	26.2 	21.8 	22 	16.5 	20.2 	20.1 
PM10,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.9 	54 	49.4 	52.8 	45.6 	40.1 	29.9 	34.9 	39.1 	33.3 	28 	25 	27.7 	: 
PM10,SE	: 	: 	: 	: 	: 	12.4 	13.7 	14.1 	16.9 	17.8 	19.3 	19.2 	18.1 	19.5 	20.1 	17.2 	17.4 	14.5 	14 	16 	14.1 	14.9 	14.3 	12.2 	: 
PM10,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31 	44 	40.9 	36.8 	33.3 	32.3 	29.1 	27.5 	28.2 	31 	25.4 	24.9 	22.5 	27.4 	: 
PM10,SK	: 	: 	: 	: 	: 	: 	: 	36.5 	29.1 	27.1 	28.8 	30.3 	31.5 	33.8 	31.2 	28.7 	27.1 	24.8 	29.6 	34.4 	28.9 	24.5 	27.9 	23.9 	: 
PM10,UK	38.1 	36 	33.4 	32.4 	33.5 	29.9 	25.7 	24.3 	23.2 	24 	23.2 	25.9 	22.4 	23.3 	24.7 	24 	20.8 	19.3 	17.8 	21.7 	18.3 	17.9 	17.7 	16.4 	: 
PM2_5,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.8 	25 	23.1 	19.9 	17.9 	19.9 	19 	16.2 	17.5 	15.2 	14.4 	: 
PM2_5,BE	: 	: 	: 	: 	: 	: 	: 	: 	14.5 	14.3 	14.5 	15.2 	13.3 	15 	18.5 	21.1 	18.6 	18.9 	17.7 	17.7 	16.1 	17 	14.4 	13.5 	: 
PM2_5,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.7 	41.2 	41.5 	24.7 	31.1 	41.3 	29.3 	26.3 	26.1 	: 	: 
PM2_5,CH	: 	: 	: 	: 	: 	: 	18.5 	18.8 	17.2 	18.1 	19.5 	22.6 	18.6 	18.5 	18.1 	15.6 	14.3 	14.6 	: 	: 	: 	: 	: 	11.6 	: 
PM2_5,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.5 	22.2 	23.2 	24.3 	17 	17.2 	17.3 	: 
