waste,hazard,nace_r2,unit,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AL	: 	: 	: 	: 	: 	425 	: 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,AT	2853 	2752 	2754 	1903 	1735 	1838 	1886 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BA	: 	: 	: 	: 	1061 	: 	: 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BE	3285 	3222 	2413 	3619 	3185 	3125 	3383 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,BG	2174 	1891 	2298 	2002 	2456 	2474 	2527 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CY	2607 	1185 	1052 	1042 	964 	792 	839 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,CZ	1736 	1276 	1193 	1182 	1197 	1118 	1214 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DE	1473 	1466 	1577 	1713 	1810 	1908 	1897 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,DK	1520 	1644 	1711 	1915 	1747 	1778 	1657 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EE	10791 	8586 	8238 	8612 	8589 	9514 	8965 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EL	2551 	2678 	2098 	2016 	2051 	1928 	: 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,ES	1906 	1718 	1538 	1332 	1379 	1428 	1480 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,EU28	1907 	1895 	1803 	1720 	1708 	1717 	1783 s
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,FI	4479 	4916 	4350 	4517 	3912 	2508 	2595 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,FR	1491 	1456 	1473 	1505 	1512 	1444 	1452 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,HR	1134 	1095 	750 	674 	620 	723 	828 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,HU	1864 	1591 	1194 	1156 	1136 	1214 	1116 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IE	1316 	1238 	607 	2704 	1761 	1666 	: 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IS	1682 	: 	2161 	1517 	1599 	1254 b	1467 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,IT	1441 	1533 	1595 	1674 	1709 	1772 	1799 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LI	: 	: 	1955 	1836 	1990 	1149 	1217 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LT	1899 	1720 	1741 	983 	993 	1119 	1223 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LU	2706 	2944 	2266 	3008 	2423 	1617 	2697 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,LV	530 	777 	630 	627 	895 	1001 	1065 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,ME	: 	: 	: 	: 	616 	1245 	1170 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,MK	: 	: 	618 	714 	3714 	1000 	336 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,MT	826 	896 	971 	814 	940 	946 	1289 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,NL	2513 	2527 	2592 	2624 	2555 	2581 	2539 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,NO	1392 	1873 	1873 	1688 	1947 	1879 	1673 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,PL	1530 	1606 	1571 	1754 	1857 	1979 	2090 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,PT	1825 	2437 	1362 	1371 	1180 	1184 	1148 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,RO	1883 	2311 	2292 	1168 	1162 	1046 	1084 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,RS	: 	: 	: 	963 	931 	1034 	1378 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SE	2694 	2687 	2536 	1969 	1920 	1901 	2136 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SI	2143 	1982 	1673 	1865 	1701 	1604 	1468 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,SK	1285 	1807 	1650 	1230 	1250 	1166 	1459 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,TR	785 	665 	829 	763 	766 	844 	953 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,UK	2676 	2504 	2313 	1676 	1547 	1544 	1814 
TOT_X_MIN,HAZ_NHAZ,TOTAL_HH,KG_HAB,XK	: 	: 	: 	: 	528 	454 	1397 
