tax,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
ENV,PC_GDP,AT	2.16 	2.17 	2.35 	2.3 	2.31 	2.42 	2.58 	2.63 	2.7 	2.67 	2.58 	2.43 	2.37 	2.35 	2.35 	2.34 	2.42 	2.4 	2.38 	2.39 	2.38 	2.37 
ENV,PC_GDP,BE	2.4 	2.64 	2.64 	2.57 	2.57 	2.39 	2.38 	2.32 	2.38 	2.47 	2.45 	2.27 	2.22 	2.14 	2.18 	2.21 	2.25 	2.15 	2.07 	2.08 	2.11 	2.22 
ENV,PC_GDP,BG	1.67 	1.04 	1.23 	1.97 	2.36 	2.6 	2.5 	2.3 	2.91 	3.09 	2.92 	2.83 	3.19 	3.28 	2.85 	2.75 	2.68 	2.67 	2.8 	2.73 	2.91 	2.77 
ENV,PC_GDP,CH	1.6 	1.64 	1.55 	1.67 	1.71 	1.72 	1.76 	1.78 	1.78 	1.75 	1.81 	1.72 	1.66 	1.68 	1.74 	1.76 	1.71 	1.72 	1.68 	1.67 	1.69 	1.71 
ENV,PC_GDP,CY	2.62 	2.54 	2.24 	2.29 	2.26 	2.47 	2.75 	2.71 	3.46 	3.63 	3.32 	3.09 	3.14 	3.02 	2.78 	2.77 	2.76 	2.58 	2.72 	3.05 	2.96 	2.96 
ENV,PC_GDP,CZ	2.64 	2.46 	2.3 	2.18 	2.35 	2.26 	2.34 	2.27 	2.34 	2.43 	2.47 	2.38 	2.31 	2.26 	2.31 	2.28 	2.34 	2.23 	2.13 	2.09 	2.07 	2.11 
ENV,PC_GDP,DE	2.12 	2.15 	2.12 	2.09 	2.25 	2.34 	2.47 	2.47 	2.6 	2.49 	2.42 	2.35 	2.17 	2.14 	2.26 	2.13 	2.17 	2.11 	2.05 	1.99 	1.91 	1.86 
ENV,PC_GDP,DK	4.31 	4.54 	4.57 	5.26 	5.3 	4.84 	4.82 	5 	4.8 	4.99 	4.92 	4.68 	4.74 	4.17 	3.99 	4.02 	4.02 	3.97 	4.14 	4 	3.99 	3.99 
ENV,PC_GDP,EA19	2.56 	2.6 	2.57 	2.56 	2.62 	2.51 	2.48 	2.48 	2.52 	2.49 	2.46 	2.39 	2.27 	2.21 	2.29 	2.28 	2.34 	2.39 	2.42 	2.42 	2.39 	2.4 
ENV,PC_GDP,EE	0.88 	1.41 	1.52 	1.9 	1.69 	1.69 	2.11 	1.99 	1.89 	2.1 	2.27 	2.19 	2.19 	2.32 	2.94 	2.93 	2.73 	2.73 	2.56 	2.7 	2.77 	3.06 
