unit,s_adj,partner,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PC_GDP,NSA,WRL_REST,BAL,CA,AL	-10.4 	-10.8 	-8.2 	-10.3 	-5.5 	-6.2 	-6.1 	-8.3 	-4.9 	-10.2 	-5.9 	-5.1 
PC_GDP,NSA,WRL_REST,BAL,CA,AT	0.7 	1.5 	6.1 	1.2 	1.8 	1.0 	4.9 	0.1 	0.4 	2.4 	5.7 	1.0 
PC_GDP,NSA,WRL_REST,BAL,CA,BE	-1.6 	-0.2 	2.5 	0.5 	-3.4 	-1.9 	0.9 	1.0 	1.0 	0.1 	1.1 	-2.1 
PC_GDP,NSA,WRL_REST,BAL,CA,BG	8.6 	-7.0 	-1.4 	4.0 	10.4 	-3.3 	2.5 	5.8 	19.1 	-1.6 	-1.2 	0.9 
PC_GDP,NSA,WRL_REST,BAL,CA,CH	13.8 	10.1 	4.1 	11.7 	9.9 	13.7 	7.9 	12.3 	8.6 	9.2 	10.4 	: 
PC_GDP,NSA,WRL_REST,BAL,CA,CY	6.9 	-9.5 	2.4 	-9.8 	8.0 	-20.0 	-17.0 	1.4 	5.2 	-23.5 	-2.6 	-5.1 
PC_GDP,NSA,WRL_REST,BAL,CA,CZ	-4.1 	1.2 	10.8 	-0.8 	-1.6 	-1.3 	8.4 	-0.6 	-2.7 	-0.1 	4.5 	0.6 
PC_GDP,NSA,WRL_REST,BAL,CA,DE	9.2 	10.0 	8.6 	8.8 	7.6 	8.9 	8.4 	6.6 	7.6 	8.8 	8.6 	7.6 
PC_GDP,NSA,WRL_REST,BAL,CA,DK	9.8 	7.8 	5.5 	8.9 	7.9 	9.8 	7.6 	9.2 	8.1 	7.3 	3.2 	5.2 
PC_GDP,NSA,WRL_REST,BAL,CA,EA19	3.6 	4.1 	2.3 	3.0 	3.7 	3.8 	2.1 	2.1 	4.3 	4.1 	2.9 	2.7 
PC_GDP,NSA,WRL_REST,BAL,CA,EE	3.1 	1.4 	-1.8 	2.9 	5.1 	1.4 	1.9 	2.2 	4.3 	4.1 	-1.4 	1.8 
