currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AL	-111.1 	-194.8 	-139.1 	-267.1 	-91.2 	-119.4 	-295.2 	-205.8 	-222.6 	-205.3 	-288.4 	-200.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,AT	3444.0 	147.0 	4436.0 	-1380.0 	5523.0 	2092.0 	3107.0 	-8.0 	3229.0 	2667.0 	7599.0 	-2310.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BE	251.0 	-771.0 	2762.0 	677.0 	-3459.0 	-1406.0 	-850.0 	368.0 	-1113.0 	-2319.0 	-365.0 	-435.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,BG	987.1 	603.2 	873.4 	809.7 	1491.4 	960.4 	-190.6 	365.5 	1979.7 	6.7 	409.2 	449.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,CH	17737.7 	2006.4 	7260.3 	-4757.3 	32167.8 	27723.9 	11099.0 	25382.0 	-619.7 	454.3 	21367.8 	8493.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,CY	962.0 	-749.0 	511.0 	-1045.0 	513.0 	-845.0 	-812.0 	170.0 	548.0 	-1005.0 	196.0 	-268.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,CZ	-559.1 	1506.6 	4614.4 	-534.7 	-121.5 	363.6 	3572.5 	1164.5 	-98.6 	-301.4 	1792.1 	-523.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,DE	68864.0 	68701.0 	40617.0 	62621.0 	59558.0 	94897.0 	67316.0 	72061.0 	54979.0 	85610.0 	69348.0 	70452.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,DK	273.0 	2767.8 	3757.1 	3174.2 	3142.7 	4258.4 	7771.8 	1239.1 	6403.2 	5607.9 	668.2 	3542.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,EA19	76382.0 	118901.0 	59448.0 	77714.0 	112909.0 	94697.0 	49591.0 	110153.0 	116381.0 	119278.0 	125386.0 	83844.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,EE	251.9 	202.0 	-118.0 	95.7 	192.2 	111.6 	250.2 	168.2 	171.8 	418.0 	-13.9 	36.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,EL	4548.0 	1049.0 	-1462.0 	-409.0 	2875.0 	-1742.0 	-2694.0 	-744.0 	4449.0 	-1799.0 	-2286.0 	-1037.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,ES	5315.0 	15831.0 	-4712.0 	6111.0 	7960.0 	15464.0 	-5428.0 	2171.0 	7598.0 	17195.0 	551.0 	5973.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,EU28	100762.7 	95536.4 	99760.3 	33166.3 	183884.9 	-62456.5 	67475.0 	149836.6 	166813.9 	6666.9 	90663.6 	-61585.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,FI	124.0 	-8251.0 	-8386.0 	-643.0 	-5561.0 	2092.0 	3635.0 	3884.0 	-6591.0 	-5652.0 	111.0 	-3711.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,FR	-6664.0 	9393.0 	-28037.0 	15369.0 	-14556.0 	14241.0 	-28381.0 	-3616.0 	9964.0 	-9844.0 	-15192.0 	-23757.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,HR	2652.8 	-53.3 	-1099.4 	387.9 	2344.8 	-281.4 	-1032.2 	589.8 	2725.2 	-435.3 	-1217.5 	849.2 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,HU	1185.6 	2671.0 	670.4 	2358.2 	841.8 	50.3 	23.0 	2481.1 	-708.3 	537.4 	1198.6 	347.1 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,IE	6773.0 	-4890.0 	7181.0 	-11634.0 	-7433.0 	3438.0 	-19412.0 	-3789.0 	11714.0 	16208.0 	13693.0 	14545.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,IS	370.2 	160.7 	-172.3 	581.9 	502.1 	827.7 	-63.6 	57.7 	609.9 	50.8 	463.2 	120.9 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,IT	12827.0 	23122.0 	-3991.0 	27666.0 	19249.0 	22535.0 	968.0 	18581.0 	24792.0 	17763.0 	5420.0 	5279.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,LT	377.8 	726.6 	-811.5 	-185.0 	311.2 	747.7 	-302.9 	9.6 	412.3 	1125.1 	-369.9 	233.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,LU	3043.0 	816.0 	417.0 	-332.0 	2546.0 	-555.0 	2400.0 	-402.0 	349.0 	166.0 	2473.0 	-942.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,LV	36.0 	128.0 	380.0 	40.0 	93.0 	158.0 	278.0 	91.0 	-211.0 	184.0 	478.0 	465.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,ME	115.0 	-169.0 	-114.0 	-193.0 	78.0 	-301.0 	-247.0 	-187.0 	133.0 	-376.0 	-151.0 	-304.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,MK	123.2 	-149.6 	-53.9 	-208.7 	102.1 	-111.8 	-121.5 	-97.9 	190.0 	-65.1 	-162.4 	33.3 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,MT	-248.4 	162.8 	153.7 	397.5 	538.7 	255.8 	390.5 	648.6 	135.1 	205.2 	-177.4 	564.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,NL	15321.0 	15255.0 	17210.0 	12561.0 	11256.0 	15846.0 	24909.0 	10877.0 	16978.0 	22396.0 	24085.0 	17027.0 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,NO	3472.9 	-4192.7 	3250.2 	19610.5 	511.6 	11501.9 	3986.0 	5054.7 	-1738.9 	3561.5 	8966.1 	14598.4 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,PL	918.6 	-2762.0 	-595.8 	698.0 	-2022.7 	3271.8 	508.7 	-928.9 	-567.4 	-203.2 	279.5 	1642.5 
MIO_EUR,WRL_REST,S1,S1,NSA,NET,FA,PT	2479.0 	278.0 	-281.0 	-533.0 	2710.0 	1090.0 	-410.0 	-847.0 	2797.0 	1592.0 	30.0 	-1363.0 
