coicop,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
CP07,I15,AT	101.35 	101.43 	102.93 	102.34 	102.58 	102.00 	103.79 	104.84 	105.25 	105.68 	106.18 r	105.91 
CP07,I15,BE	104.13 	105.16 	105.08 	105.60 	105.79 	105.64 	106.72 	107.84 	108.61 	109.42 	109.90 	109.65 
CP07,I15,BG	93.29 	93.88 	95.93 	95.52 	95.24 	94.97 	95.03 	97.04 	98.83 	99.56 	100.35 	100.53 
CP07,I15,CH	98.59 	97.66 	98.47 	97.48 	97.79 	98.48 	99.73 	101.50 	101.58 	103.19 	102.32 	102.06 
CP07,I15,CY	95.36 	94.91 	95.45 	91.43 	95.72 	95.24 	97.53 	96.71 	99.52 	100.77 	104.97 	97.25 
CP07,I15,CZ	101.7 	102.2 	102.6 	102.8 	103.3 	103.2 	103.8 	104.9 	106.4 	106.7 	106.2 	105.0 
CP07,I15,DE	102.1 	102.7 	102.9 	103.0 	103.1 	102.8 	103.7 	105.0 	105.5 	105.9 	106.2 	106.9 
CP07,I15,DK	100.7 	100.3 	100.6 	100.3 	100.5 	100.4 	101.2 	102.7 	102.8 	103.8 	103.6 	102.9 
CP07,I15,EA	101.79 	102.16 	102.85 	102.90 	103.16 	103.15 	104.13 	105.23 	105.97 	106.59 	107.22 	106.38 
CP07,I15,EA18	101.80 	102.16 	102.85 	102.90 	103.16 	103.15 	104.14 	105.23 	105.97 	106.58 	107.21 	106.37 
CP07,I15,EA19	101.79 	102.16 	102.85 	102.90 	103.16 	103.15 	104.13 	105.23 	105.97 	106.59 	107.22 	106.38 
CP07,I15,EE	100.05 	102.55 	102.90 	102.89 	103.66 	102.65 	103.99 	104.35 	106.00 	106.76 	107.61 	106.30 
CP07,I15,EL	104.42 	103.55 	103.58 	102.78 	104.35 	104.85 	104.80 	106.83 	108.76 	107.84 	106.81 	106.18 
CP07,I15,ES	101.16 	102.07 	102.21 	103.02 	102.45 	102.40 	103.52 	105.42 	105.79 	105.58 	105.75 	106.10 
CP07,I15,EU	101.94 	102.33 	103.25 	103.11 	103.36 	103.29 	104.35 	105.59 	106.38 	107.12 	107.77 r	106.86 
CP07,I15,EU28	101.94 	102.33 	103.25 	103.11 	103.36 	103.29 	104.35 	105.59 	106.38 	107.12 	107.77 r	106.86 
CP07,I15,FI	99.70 	99.93 	99.61 	98.69 	98.89 	98.37 	99.40 	100.07 	101.75 	102.30 	101.67 	101.60 
