indic_bt,nace_r2,s_adj,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
IMPR,C,NSA,I2015_NSA,CH	101.6 	102.4 	102.7 	103.1 	103.4 	102.6 	103.5 	104.4 	104.8 	104.7 	104.8 	104.6 
IMPR,C,NSA,I2015_NSA,DE	99.8 	100.1 	100.1 	100.3 	100.2 	100.2 	100.5 	101.4 	101.8 	101.7 	101.8 	: 
IMPR,C,NSA,I2015_NSA,DK	99.6 	99.8 	99.6 	100.1 	99.7 	99.7 	100.3 	100.6 	101.2 	101.5 	101.6 	101.5 
IMPR,C,NSA,I2015_NSA,EA19	100.0 	100.4 	100.4 	100.5 	100.2 	100.2 	100.6 	101.5 	101.8 	101.8 	: 	: 
IMPR,C,NSA,I2015_NSA,EE	102.7 	103.3 	103.2 	103.4 	103.4 	103.6 	104.2 	105.0 	105.7 	105.5 	105.7 	106.1 
IMPR,C,NSA,I2015_NSA,EL	100.6 	100.9 	101.1 	101.3 	100.6 	100.8 	101.3 	102.3 	102.3 	102.4 	102.4 	: 
IMPR,C,NSA,I2015_NSA,ES	100.5 	101.1 	101.0 	100.9 	100.8 	101.0 	101.2 	102.2 	102.5 p	102.7 p	102.9 p	: 
IMPR,C,NSA,I2015_NSA,FI	100.6 	101.0 	101.1 	101.3 	101.0 	101.2 	101.7 	103.1 	103.2 	103.2 	103.5 	: 
IMPR,C,NSA,I2015_NSA,FR	99.6 	99.9 	99.9 	99.9 	99.5 	99.7 	100.2 	101.0 	101.3 p	101.4 p	101.4 p	: 
IMPR,C,NSA,I2015_NSA,IT	100.1 	100.4 	100.4 	100.4 	100.2 	100.3 	100.4 	100.4 	100.9 	101.3 	101.4 p	: 
IMPR,C,NSA,I2015_NSA,LT	99.5 	99.6 	99.8 	99.8 	99.6 	99.4 	99.7 	99.8 	100.0 	100.2 	: 	: 
IMPR,C,NSA,I2015_NSA,LV	97.2 	97.9 	98.1 	97.9 	98.1 	97.7 	98.2 	98.4 	99.0 	98.8 	99.0 	: 
IMPR,C,NSA,I2015_NSA,NL	99.6 	100.2 	100.3 	100.1 	99.4 	99.4 	99.6 p	101.3 p	101.9 p	101.6 p	102.1 p	: 
IMPR,C,NSA,I2015_NSA,NO	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
IMPR,C,NSA,I2015_NSA,SE	101.4 	102.5 	104.6 	105.1 	103.9 	105.4 	106.9 	109.6 	110.1 	110.8 	110.6 	: 
IMPR,C,NSA,I2015_NSA,SI	102.0 	102.7 	102.9 	102.7 	102.6 	102.7 	103.3 	103.9 	104.5 	104.3 	105.0 	: 
IMPR,C,NSA,I2015_NSA,SK	97.3 	97.6 	97.7 	100.1 	100.0 	99.7 	99.4 	100.1 	100.4 	100.6 	: 	: 
IMPR,C,NSA,PCH_M12_NSA,CH	3.5 	4.3 	4.3 	4.1 	4.3 	3.5 	4.9 	5.8 	6.0 	6.0 	5.0 	4.0 
IMPR,C,NSA,PCH_M12_NSA,DE	1.7 	1.5 	0.7 	0.3 	-0.3 	-0.4 	-0.2 	1.3 	2.2 	2.4 	2.7 	: 
IMPR,C,NSA,PCH_M12_NSA,DK	1.3 	1.3 	0.3 	0.1 	-0.5 	-0.2 	0.3 	0.9 	2.3 	2.5 	2.7 	2.2 
IMPR,C,NSA,PCH_M12_NSA,EA19	1.5 	1.5 	0.6 	0.3 	-0.5 	-0.4 	-0.2 	1.3 	2.0 	2.3 	: 	: 
IMPR,C,NSA,PCH_M12_NSA,EE	3.4 	4.1 	2.8 	1.7 	1.1 	1.4 	1.6 	3.0 	3.7 	4.1 	4.3 	4.0 
