indic_bt,nace_r2,unit,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
TOVV,G473,I2015_SCA,AT	109.4 p	111.2 p	108.6 p	108.2 p	108.4 p	110.2 p	111.0 p	109.8 p	108.7 p	110.2 p	109.0 p	: 
TOVV,G473,I2015_SCA,BE	93.3 p	93.2 p	84.6 p	93.9 p	94.2 p	93.8 p	92.6 p	92.6 p	93.0 p	93.5 p	94.0 p	: 
TOVV,G473,I2015_SCA,BG	89.2 	87.1 	87.9 	92.0 	85.6 	85.7 	90.2 	89.8 	87.4 	87.4 	88.1 p	: 
TOVV,G473,I2015_SCA,CH	96.5 p	96.8 p	95.8 p	94.5 p	94.6 p	95.2 p	95.9 p	92.1 p	92.4 p	90.6 p	: 	: 
TOVV,G473,I2015_SCA,CY	105.8 	107.4 	104.4 	102.9 	102.7 	105.7 	106.5 	107.7 	105.7 	104.3 	: c	: 
TOVV,G473,I2015_SCA,CZ	112.6 p	114.9 p	116.2 p	116.4 p	113.7 p	112.7 p	114.5 p	116.0 p	113.9 p	114.5 p	113.7 p	: 
TOVV,G473,I2015_SCA,DE	104.9 p	105.7 p	103.5 p	106.6 p	107.7 p	109.5 p	110.0 p	107.8 p	112.8 p	106.5 p	105.9 p	: 
TOVV,G473,I2015_SCA,DK	98.1 	98.5 	99.2 	99.1 	100.0 	97.0 	98.8 	100.7 	99.6 	98.6 	97.1 	: 
TOVV,G473,I2015_SCA,EA19	101.9 s	102.5 s	101.9 s	101.9 s	102.7 s	102.7 s	102.5 s	102.8 s	103.9 s	102.3 s	101.7 s	: 
TOVV,G473,I2015_SCA,EE	98.5 s	96.7 s	99.5 s	87.4 s	102.2 s	100.9 s	93.5 s	98.2 s	95.4 s	93.0 s	93.4 s	: 
TOVV,G473,I2015_SCA,EL	95.3 p	92.3 p	94.4 p	94.6 p	94.7 p	91.6 p	95.2 p	93.7 p	93.4 p	95.8 p	: 	: 
TOVV,G473,I2015_SCA,ES	102.4 p	101.1 p	101.1 p	101.4 p	102.6 p	101.5 p	103.0 p	101.6 p	101.2 p	102.3 p	102.2 p	: 
TOVV,G473,I2015_SCA,EU28	104.0 s	104.8 s	104.7 s	105.3 s	106.0 s	105.1 s	106.3 s	106.8 s	107.3 s	105.6 s	104.6 s	: 
TOVV,G473,I2015_SCA,FI	102.6 	102.8 	102.4 	104.8 	104.8 	104.3 	102.5 	105.3 	101.6 	103.7 	103.5 	: 
TOVV,G473,I2015_SCA,FR	97.9 	99.8 	100.6 	97.6 	99.0 	98.6 	97.8 	97.3 	98.2 	94.0 	93.9 	: 
TOVV,G473,I2015_SCA,HR	116.5 	114.4 	112.7 	118.8 	113.5 	120.1 	119.4 	126.6 	125.3 	128.7 	: c	: 
TOVV,G473,I2015_SCA,HU	111.2 p	110.3 p	111.1 p	113.4 p	113.2 p	112.5 p	114.8 p	116.2 p	115.1 p	115.8 p	116.7 p	: 
TOVV,G473,I2015_SCA,IE	104.2 	104.3 	104.0 	105.0 	104.9 	100.0 	105.7 	104.8 	103.4 	105.4 	102.8 	: 
TOVV,G473,I2015_SCA,IT	98.8 	98.7 	98.1 	97.4 	98.0 	98.3 	97.8 	99.1 	100.8 	99.7 	98.9 	: 
TOVV,G473,I2015_SCA,LT	132.9 	132.9 	134.4 	134.7 	134.2 	138.2 	145.5 	148.3 	147.8 	148.1 	149.1 	: 
TOVV,G473,I2015_SCA,LV	102.6 	108.6 	111.1 	109.1 	112.7 	111.3 	109.9 	112.0 	108.6 	110.4 	105.3 	: 
TOVV,G473,I2015_SCA,MT	117.7 p	125.2 p	122.5 p	115.7 p	117.8 p	112.8 p	111.1 p	108.1 p	109.7 p	106.1 p	103.2 p	: 
TOVV,G473,I2015_SCA,NL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
TOVV,G473,I2015_SCA,NO	101.9 	101.2 	101.4 	101.2 	101.7 	100.7 	99.6 	97.8 	100.2 	99.9 	98.9 	: 
TOVV,G473,I2015_SCA,PL	113.5 	113.6 	113.7 	121.8 	125.9 	124.4 	126.6 	123.9 	122.9 	120.6 p	112.5 p	: 
TOVV,G473,I2015_SCA,PT	108.0 	108.9 	108.6 	109.9 	112.0 	108.9 	105.4 	109.2 	106.1 	105.5 	: c	: 
TOVV,G473,I2015_SCA,RO	119.6 	123.7 	131.6 	129.0 	120.1 	119.1 	133.1 	133.8 	130.0 	124.2 	119.0 p	: 
TOVV,G473,I2015_SCA,SE	96.3 	94.1 	97.9 	95.3 	97.1 	96.9 	98.3 	98.4 	95.5 	95.6 p	95.9 p	: 
TOVV,G473,I2015_SCA,SI	121.9 	132.1 	125.7 	128.7 	124.8 	129.7 	122.8 	136.7 	142.3 	136.8 	136.0 	: 
TOVV,G473,I2015_SCA,SK	116.1 s	115.2 s	115.7 s	116.7 s	117.9 s	118.4 s	120.3 s	120.4 s	123.0 s	124.9 ps	124.1 ps	: 
TOVV,G473,I2015_SCA,TR	114.4 	111.1 	114.7 	116.8 	115.9 	116.9 	118.0 	113.5 	113.1 	116.3 	114.3 	: 
TOVV,G473,I2015_SCA,UK	108.5 p	110.2 p	109.3 p	111.1 p	115.3 p	108.1 p	112.8 p	114.6 p	115.4 p	114.0 p	114.0 p	112.9 p
TOVV,G473,PCH_M12_CA,AT	3.1 p	4.8 p	2.8 p	3.7 p	3.4 p	6.0 p	4.9 p	1.4 p	-1.4 p	1.5 p	0.9 p	: 
TOVV,G473,PCH_M12_CA,BE	-2.9 p	-3.3 p	-11.8 p	-0.4 p	1.4 p	-0.2 p	-2.8 p	-1.7 p	-0.4 p	-0.2 p	1.3 p	: 
TOVV,G473,PCH_M12_CA,BG	-9.5 	-13.7 	-11.9 	3.7 	-7.7 	-9.5 	0.9 	0.9 	-1.7 	-0.7 	-1.1 p	: 
TOVV,G473,PCH_M12_CA,CH	-2.9 p	0.9 p	-2.3 p	-1.8 p	-3.4 p	-0.4 p	2.3 p	-5.4 p	-7.5 p	-10.2 p	: 	: 
TOVV,G473,PCH_M12_CA,CY	0.6 	4.4 	-2.6 	-4.2 	-5.6 	-1.0 	3.4 	1.2 	-3.1 	-3.5 	: c	: 
TOVV,G473,PCH_M12_CA,CZ	5.7 p	7.6 p	5.7 p	7.5 p	7.3 p	2.8 p	6.1 p	5.5 p	2.4 p	4.0 p	2.5 p	: 
TOVV,G473,PCH_M12_CA,DE	3.2 p	2.8 p	0.7 p	4.4 p	4.9 p	3.4 p	7.4 p	2.9 p	6.8 p	2.3 p	1.6 p	: 
TOVV,G473,PCH_M12_CA,DK	-4.5 	-4.8 	-2.5 	-3.8 	-0.9 	-3.6 	0.1 	3.2 	0.3 	2.3 	-2.6 	: 
TOVV,G473,PCH_M12_CA,EA19	-0.1 s	0.5 s	-0.1 s	-1.0 s	0.8 s	0.8 s	0.9 s	0.3 s	1.2 s	-0.6 s	-0.3 s	: 
TOVV,G473,PCH_M12_CA,EE	0.6 	-9.0 	2.7 	-16.6 	8.1 	5.8 	-5.9 	-2.5 	-5.3 	-3.8 	-3.8 	: 
TOVV,G473,PCH_M12_CA,EL	0.3 	-2.7 	-2.2 	2.0 	-1.2 	-3.3 	1.3 	2.6 	-2.2 	-0.9 p	: 	: 
TOVV,G473,PCH_M12_CA,ES	0.8 p	-0.7 p	-0.6 p	0.2 p	1.7 p	-0.9 p	0.8 p	-1.9 p	-3.8 p	-0.8 p	-0.3 p	: 
TOVV,G473,PCH_M12_CA,EU28	0.8 s	1.4 s	1.3 s	1.3 s	2.7 s	1.8 s	2.9 s	2.5 s	2.6 s	0.6 s	0.0 s	: 
TOVV,G473,PCH_M12_CA,FI	1.6 	-0.9 	-0.8 	3.2 	3.0 	2.4 	2.4 	4.5 	-2.1 	1.8 	1.2 	: 
TOVV,G473,PCH_M12_CA,FR	-3.7 	0.0 	1.6 	-4.9 	-0.6 	0.5 	-2.4 	-3.9 	-0.8 	-8.6 	-5.1 	: 
TOVV,G473,PCH_M12_CA,HR	9.0 	8.9 	-0.6 	9.9 	-5.6 	9.3 	-0.3 	15.2 	5.5 	7.1 	: c	: 
TOVV,G473,PCH_M12_CA,HU	6.9 p	3.3 p	4.9 p	8.2 p	9.8 p	5.1 p	8.7 p	8.0 p	5.8 p	5.6 p	6.3 p	: 
TOVV,G473,PCH_M12_CA,IE	2.0 	-0.4 	-0.1 	1.4 	2.6 	-6.0 	4.2 	2.3 	-1.3 	2.3 	-1.8 	: 
TOVV,G473,PCH_M12_CA,IT	-1.5 	-1.4 	-1.4 	-4.4 	-3.1 	-1.9 	-1.0 	-0.3 	1.4 	1.1 	: 	: 
TOVV,G473,PCH_M12_CA,LT	4.1 	5.2 	6.2 	9.5 	9.8 	9.0 	16.7 	12.9 	13.8 	13.6 	10.8 	: 
TOVV,G473,PCH_M12_CA,LV	-1.4 	5.3 	8.1 	3.3 	9.3 	7.0 	3.8 	7.1 	4.8 	6.0 	0.8 	: 
TOVV,G473,PCH_M12_CA,MT	7.3 p	20.9 p	5.7 p	7.7 p	6.0 p	-1.1 p	1.2 p	-1.6 p	0.5 p	-6.7 p	-14.0 p	: 
TOVV,G473,PCH_M12_CA,NL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
TOVV,G473,PCH_M12_CA,NO	-0.4 	0.7 	2.1 	-0.2 	3.1 	-0.9 	-2.6 	-8.0 	-0.1 	-2.5 	-1.1 	: 
TOVV,G473,PCH_M12_CA,PL	4.0 	1.7 	2.3 	11.1 	16.1 	12.6 	17.9 	14.3 	9.1 	4.2 p	-2.9 p	: 
TOVV,G473,PCH_M12_CA,PT	5.0 	2.8 	3.0 	3.4 	6.7 	3.0 	-1.1 	0.5 	-3.9 	-3.0 	: c	: 
TOVV,G473,PCH_M12_CA,RO	12.1 	13.8 	18.0 	8.1 	-0.5 	-5.7 	12.5 	10.8 	6.1 	0.4 	-8.3 p	: 
TOVV,G473,PCH_M12_CA,SE	-0.5 	-4.1 	1.3 	-2.5 	2.1 	2.6 	6.0 	6.6 	1.3 	-1.9 p	1.2 p	: 
TOVV,G473,PCH_M12_CA,SI	-0.9 	7.9 	-6.4 	-3.1 	-5.4 	2.9 	2.2 	13.4 	18.3 	6.0 	9.9 	: 
TOVV,G473,PCH_M12_CA,SK	10.9 	7.2 	9.3 	9.8 	13.8 	9.2 	11.3 	7.9 	8.6 	11.8 p	9.3 p	: 
TOVV,G473,PCH_M12_CA,TR	7.4 	2.1 	9.2 	7.7 	10.3 	8.4 	8.6 	2.1 	-1.3 	1.2 	1.3 	: 
TOVV,G473,PCH_M12_CA,UK	0.6 p	3.3 p	3.6 p	8.4 p	10.7 p	7.6 p	3.3 p	4.5 p	7.4 p	7.0 p	6.6 p	5.9 p
TOVV,G473,PCH_M1_SCA,AT	1.3 p	1.6 p	-2.3 p	-0.4 p	0.2 p	1.7 p	0.7 p	-1.1 p	-1.0 p	1.4 p	-1.1 p	: 
TOVV,G473,PCH_M1_SCA,BE	0.0 p	-0.1 p	-9.2 p	11.0 p	0.3 p	-0.4 p	-1.3 p	0.0 p	0.4 p	0.5 p	0.5 p	: 
TOVV,G473,PCH_M1_SCA,BG	1.0 	-2.4 	0.9 	4.7 	-7.0 	0.1 	5.3 	-0.4 	-2.7 	0.0 	0.8 p	: 
TOVV,G473,PCH_M1_SCA,CH	0.1 p	0.3 p	-1.0 p	-1.4 p	0.1 p	0.6 p	0.7 p	-4.0 p	0.3 p	-1.9 p	: 	: 
TOVV,G473,PCH_M1_SCA,CY	-1.2 	1.5 	-2.8 	-1.4 	-0.2 	2.9 	0.8 	1.1 	-1.9 	-1.3 	: c	: 
TOVV,G473,PCH_M1_SCA,CZ	-0.7 p	2.0 p	1.1 p	0.2 p	-2.3 p	-0.9 p	1.6 p	1.3 p	-1.8 p	0.5 p	-0.7 p	: 
TOVV,G473,PCH_M1_SCA,DE	1.0 p	0.8 p	-2.1 p	3.0 p	1.0 p	1.7 p	0.5 p	-2.0 p	4.6 p	-5.6 p	-0.6 p	: 
TOVV,G473,PCH_M1_SCA,DK	-0.4 	0.4 	0.7 	-0.1 	0.9 	-3.0 	1.9 	1.9 	-1.1 	-1.0 	-1.5 	: 
TOVV,G473,PCH_M1_SCA,EA19	0.0 s	0.6 s	-0.6 s	0.0 s	0.8 s	0.0 s	-0.2 s	0.3 s	1.1 s	-1.5 s	-0.6 s	: 
TOVV,G473,PCH_M1_SCA,EE	2.4 s	-1.8 s	2.9 s	-12.2 s	16.9 s	-1.3 s	-7.3 s	5.0 s	-2.9 s	-2.5 s	0.4 s	: 
TOVV,G473,PCH_M1_SCA,EL	1.9 p	-3.1 p	2.3 p	0.2 p	0.1 p	-3.3 p	3.9 p	-1.6 p	-0.3 p	2.6 p	: 	: 
TOVV,G473,PCH_M1_SCA,ES	-0.4 p	-1.3 p	0.0 p	0.3 p	1.2 p	-1.1 p	1.5 p	-1.4 p	-0.4 p	1.1 p	-0.1 p	: 
TOVV,G473,PCH_M1_SCA,EU28	0.0 s	0.8 s	-0.1 s	0.6 s	0.7 s	-0.8 s	1.1 s	0.5 s	0.5 s	-1.6 s	-0.9 s	: 
TOVV,G473,PCH_M1_SCA,FI	0.8 	0.2 	-0.4 	2.3 	0.0 	-0.5 	-1.7 	2.7 	-3.5 	2.1 	-0.2 	: 
TOVV,G473,PCH_M1_SCA,FR	-3.1 	1.9 	0.8 	-3.0 	1.4 	-0.4 	-0.8 	-0.5 	0.9 	-4.3 	-0.1 	: 
