indic_bt,s_adj,unit,nace_r2,geo\time	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 
PRON,NSA,I15,H494,AT	99.6 	98.8 	98.7 	98.7 	98.7 	99.0 	99.2 	99.2 	98.9 	99.2 	100.0 p	: 
PRON,NSA,I15,H494,BE	99.9 	99.8 	101.8 	101.9 	102.5 	103.4 	103.3 	103.8 	104.4 	105.3 	105.9 	: 
PRON,NSA,I15,H494,BG	99.7 	98.8 	98.5 	98.8 	98.9 	99.5 	99.5 	99.8 	100.3 	100.6 	100.8 	: 
PRON,NSA,I15,H494,CY	99.4 	98.4 	98.3 	99.1 	99.2 	99.7 	99.7 	99.2 	99.6 	100.0 	99.7 	: 
PRON,NSA,I15,H494,CZ	99.9 	100.1 	100.2 	100.2 	100.3 	100.7 	100.7 	100.7 	100.8 	101.2 	102.2 	: 
PRON,NSA,I15,H494,DE	99.9 	99.3 	99.2 	99.3 	99.3 	99.7 	99.8 	99.9 	100.3 	101.3 	101.9 	: 
PRON,NSA,I15,H494,DK	100.5 	100.5 	100.4 	100.9 	100.8 	101.5 	102.4 	102.6 	103.1 	103.4 	103.6 	: 
PRON,NSA,I15,H494,EA19	99.7 	98.4 	99.1 	99.6 	99.4 	98.6 	99.2 	99.6 	100.1 	100.5 	101.3 	: 
PRON,NSA,I15,H494,EE	99.1 	98.4 	98.4 	98.1 	98.1 	99.3 	99.2 	98.2 	97.9 	99.8 	100.3 	: 
PRON,NSA,I15,H494,EL	100.2 	99.4 	99.3 	99.9 	100.0 	100.0 	100.3 	100.3 	100.4 	100.2 	100.3 	: 
PRON,NSA,I15,H494,ES	100.2 	97.0 	98.2 	99.9 	100.1 	97.0 	97.9 	99.3 p	101.5 p	98.5 p	99.7 p	: 
PRON,NSA,I15,H494,EU28	100.0 	99.2 	99.9 	100.3 	100.2 	99.9 	100.5 	100.8 	101.3 	101.8 	102.7 	: 
PRON,NSA,I15,H494,FI	97.4 	96.8 	97.2 	97.4 	97.8 	99.5 	100.2 	100.6 	101.0 	102.6 	103.6 	: 
PRON,NSA,I15,H494,FR	99.7 	99.0 	99.7 	100.0 	100.3 	100.5 	100.7 p	100.6 p	100.9 p	101.6 p	102.6 p	: 
PRON,NSA,I15,H494,HR	99.8 	98.9 	98.3 	97.9 	97.8 	97.7 	97.5 	97.5 	97.7 	97.7 	98.1 	: 
PRON,NSA,I15,H494,HU	100.2 	99.0 	99.3 	98.8 	98.9 	99.6 	99.6 	99.4 	100.0 	100.8 	102.8 	: 
PRON,NSA,I15,H494,IE	100.1 p	99.3 p	99.6 p	101.0 p	100.9 p	101.2 p	100.7 p	100.9 p	100.9 p	101.2 p	101.5 p	: 
PRON,NSA,I15,H494,IT	99.3 	96.7 	98.7 	99.4 	97.9 	94.6 	96.1 	97.0 	96.7 	97.7 	98.6 	: 
PRON,NSA,I15,H494,LT	100.3 	100.0 	99.8 	98.9 	98.6 	97.6 	98.0 	97.5 	99.2 	98.2 	97.9 p	: 
PRON,NSA,I15,H494,LU	99.9 	101.2 	101.6 	102.3 	102.8 	103.5 	105.1 	102.7 	103.2 	105.5 	106.4 	: 
