s_adj,unit,nace_r2,lcstruct,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
SCA,I12,B-E,D1_D4_MD5,AT	108.5 	109.8 	109.8 	110.0 	110.7 	111.1 	111.2 	111.6 	111.9 	112.8 	114.5 	115.4 p
SCA,I12,B-E,D1_D4_MD5,BE	103.0 	103.2 	103.1 	103.1 	103.2 	103.3 	103.7 	104.1 	104.6 	105.2 	105.3 	105.9 p
SCA,I12,B-E,D1_D4_MD5,BG	118.7 	121.7 	123.0 	127.2 	127.8 	131.3 	136.8 	140.5 	143.3 	148.1 	149.7 	154.2 
SCA,I12,B-E,D1_D4_MD5,CY	93.4 	94.1 	93.9 	94.3 	94.6 	94.5 	94.7 p	95.4 p	95.7 p	96.6 p	96.7 p	96.6 p
SCA,I12,B-E,D1_D4_MD5,CZ	108.3 	109.7 	110.6 	111.7 	113.8 	115.3 	117.4 p	119.8 p	122.0 p	124.2 p	127.2 p	130.3 p
SCA,I12,B-E,D1_D4_MD5,DE	107.5 	107.9 	109.2 	108.8 	110.1 	110.9 	111.1 	111.4 	112.2 	113.0 	113.4 	113.7 
SCA,I12,B-E,D1_D4_MD5,DK	105.6 	106.0 	107.6 	108.6 	109.3 	109.5 	109.6 	110.2 	111.0 	111.7 	111.2 	113.2 
SCA,I12,B-E,D1_D4_MD5,EA	105.2 	105.6 	106.0 	106.1 	106.8 	107.3 	107.5 	108.0 	108.5 	108.9 	109.6 	110.1 
SCA,I12,B-E,D1_D4_MD5,EA19	105.2 	105.6 	106.0 	106.1 	106.8 	107.3 	107.5 	108.0 	108.5 	108.9 	109.6 	110.1 
SCA,I12,B-E,D1_D4_MD5,EE	122.7 	123.1 	125.7 	126.3 	127.0 	130.9 	132.0 	134.9 	137.1 	137.8 	140.6 	142.1 
SCA,I12,B-E,D1_D4_MD5,EL	95.1 	94.7 	93.4 	90.6 	93.8 	93.2 	90.8 	91.4 	94.9 	93.9 	93.5 	95.4 
SCA,I12,B-E,D1_D4_MD5,ES	101.6 p	101.6 p	101.6 p	101.6 p	101.9 p	102.1 p	102.2 p	102.5 p	102.3 p	102.7 p	102.8 p	103.0 p
SCA,I12,B-E,D1_D4_MD5,EU	105.7 	106.3 	106.9 	106.9 	107.8 	108.2 	108.6 	109.5 	110.1 	110.9 	111.8 	112.5 
SCA,I12,B-E,D1_D4_MD5,EU28	105.7 	106.3 	106.9 	106.9 	107.8 	108.2 	108.6 	109.5 	110.1 	110.9 	111.8 	112.5 
SCA,I12,B-E,D1_D4_MD5,FI	104.6 p	105.3 p	105.6 p	104.1 p	107.8 p	105.3 p	103.9 p	103.9 p	102.7 p	103.8 p	104.4 p	106.0 p
