intrt,geo\time	2017M10 	2017M11 	2017M12 	2018M01 	2018M02 	2018M03 	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 
MAT_M03,BG	0.06 	0.05 	0.05 	0.01 	0.01 	0.00 	0.00 	-0.02 	-0.05 	: 	: 	: 
MAT_M03,CZ	0.51 	0.71 	0.75 	0.77 	0.90 	0.90 	0.90 	0.90 	0.93 	1.18 	1.45 	1.54 
MAT_M03,DK	-0.31 	-0.31 	-0.30 	-0.31 	-0.30 	-0.30 	-0.29 	-0.28 	-0.30 	-0.30 	-0.30 	-0.30 
MAT_M03,EA	-0.33 	-0.33 	-0.33 	-0.33 	-0.33 	-0.33 	-0.33 	-0.33 	-0.32 	-0.32 	-0.32 	-0.32 
MAT_M03,HR	0.59 	0.58 	0.55 	0.53 	0.50 	0.49 	0.49 	0.49 	0.49 	0.49 	0.50 	0.50 
MAT_M03,HU	: 	0.05 	0.06 	0.04 	0.03 	0.04 	0.07 	0.08 	0.20 	0.25 	0.13 	0.16 
MAT_M03,JP	-0.04 	-0.04 	-0.02 	-0.03 	-0.06 	-0.05 	-0.04 	-0.03 	-0.04 	-0.04 	-0.04 	-0.04 
MAT_M03,PL	1.73 	1.73 	1.72 	1.72 	1.72 	1.71 	1.70 	1.70 	1.70 	: 	: 	1.72 
MAT_M03,RO	1.61 	1.80 	1.92 	1.80 	1.86 	1.88 	2.01 	2.53 	2.81 	3.21 	3.15 	2.97 
MAT_M03,SE	-0.51 	-0.61 	-0.58 	-0.43 	-0.46 	-0.42 	-0.37 	-0.38 	-0.37 	-0.35 	-0.36 	-0.39 
MAT_M03,UK	0.38 	0.52 	0.52 	0.52 	0.55 	0.62 	0.76 	0.64 	0.64 	0.75 	0.81 	0.80 
MAT_M03,US	1.36 	1.43 	1.60 	1.73 	1.87 	2.17 	2.35 	2.34 	2.33 	2.34 	2.32 	2.35 
