unit,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
PCH_Q1_SCA,P31_S14_S15,AT	0.0 	0.6 	0.1 	0.8 	0.4 	0.7 	-0.2 	0.6 	0.8 	0.0 	0.9 	0.5 
PCH_Q1_SCA,P31_S14_S15,BE	0.2 	0.4 	0.6 	0.7 	0.3 	0.0 	0.6 	0.4 	0.3 	0.0 	0.3 	0.1 
PCH_Q1_SCA,P31_S14_S15,BG	2.8 	0.2 	1.0 	-0.5 	1.0 	2.2 	0.3 	1.3 	1.2 	2.1 	2.2 p	2.3 p
PCH_Q1_SCA,P31_S14_S15,CH	0.5 	0.1 	0.5 	0.4 	0.3 	0.7 	0.0 	0.1 	0.4 	0.1 	0.4 	0.3 
PCH_Q1_SCA,P31_S14_S15,CY	1.3 	1.1 	0.7 	1.5 	1.1 	2.2 	-0.2 	0.7 	1.6 	1.2 	0.4 	1.7 
PCH_Q1_SCA,P31_S14_S15,CZ	1.0 	1.3 	0.6 	0.6 	1.1 	1.0 	1.0 	1.6 	0.9 	0.9 	1.0 	0.7 
PCH_Q1_SCA,P31_S14_S15,DE	0.7 	0.6 	0.6 	0.1 	0.3 	0.7 	0.7 	0.8 	0.1 	0.2 	0.5 	0.3 
PCH_Q1_SCA,P31_S14_S15,DK	1.1 	0.3 	0.4 	0.6 	-0.1 	1.5 	0.2 	0.4 	-1.0 	1.5 	1.0 	0.3 
PCH_Q1_SCA,P31_S14_S15,EA	0.4 	0.5 	0.6 	0.3 	0.3 	0.6 	0.4 	0.5 	0.4 	0.2 	0.5 	0.2 
PCH_Q1_SCA,P31_S14_S15,EA19	0.4 	0.5 	0.6 	0.3 	0.3 	0.6 	0.4 	0.5 	0.4 	0.2 	0.5 	0.2 
PCH_Q1_SCA,P31_S14_S15,EE	0.8 	0.3 	2.2 	0.6 	0.4 	1.0 	-0.1 	1.1 	1.2 	0.8 	1.0 	1.2 
PCH_Q1_SCA,P31_S14_S15,EL	-5.1 	3.8 	-0.5 	-0.2 	0.6 	0.5 	-0.1 	-0.4 	-0.1 p	0.0 p	0.5 p	0.6 p
PCH_Q1_SCA,P31_S14_S15,ES	1.2 	0.4 	0.8 p	0.6 p	0.8 p	0.3 p	0.5 p	0.8 p	0.9 p	0.4 p	0.9 p	0.1 p
PCH_Q1_SCA,P31_S14_S15,EU28	0.6 	0.4 	0.8 	0.4 	0.5 	0.5 	0.6 	0.5 	0.5 	0.3 	0.6 	0.3 
PCH_Q1_SCA,P31_S14_S15,FI	0.3 	0.2 	1.3 	-0.1 	0.6 	0.1 	0.2 	0.4 	0.5 	0.8 	0.1 	0.7 
PCH_Q1_SCA,P31_S14_S15,FR	0.3 	0.2 	1.1 	0.4 	-0.1 	0.7 	0.0 	0.3 	0.4 	0.2 	0.2 	-0.1 
PCH_Q1_SCA,P31_S14_S15,HR	0.5 	1.0 	1.0 	0.7 	1.1 	1.0 	0.7 	1.0 	1.0 	0.8 	1.0 	0.7 
PCH_Q1_SCA,P31_S14_S15,HU	1.0 	1.1 	1.0 	0.9 	0.9 	1.1 	1.1 	1.4 	1.4 	1.5 	1.3 	1.3 
