unit,s_adj,na_item,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_SM,SCA,P311_S14,AT	0.9 	2.5 	3.9 	3.2 	2.5 	3.4 	-0.7 	0.7 	1.9 	0.2 	2.7 	-0.8 
CLV_PCH_SM,SCA,P311_S14,BE	0.5 	2.6 	3.5 	7.5 	6.9 	3.5 	3.6 	-0.6 	-0.2 	-0.5 	1.1 	2.5 
CLV_PCH_SM,SCA,P311_S14,BG	1.2 	20.9 	12.3 	4.1 	2.5 	8.3 	-27.6 	-24.7 	-20.6 	-18.4 	40.8 p	50.0 p
CLV_PCH_SM,SCA,P311_S14,CZ	11.7 	7.5 	10.8 	6.3 	8.3 	5.9 	6.6 	11.0 	10.7 	10.2 	8.8 	5.9 
CLV_PCH_SM,SCA,P311_S14,DE	4.8 	3.2 	4.3 	4.0 	4.4 	4.0 	3.3 	4.8 	4.2 	4.5 	3.5 	1.1 
CLV_PCH_SM,SCA,P311_S14,DK	3.1 	2.8 	4.5 	8.0 	2.2 	2.3 	3.9 	5.6 	0.7 	11.2 	12.3 	7.2 
CLV_PCH_SM,SCA,P311_S14,EE	15.3 	11.7 	10.8 	9.1 	6.8 	8.7 	6.7 	8.2 	7.7 	6.5 	9.2 	6.8 
CLV_PCH_SM,SCA,P311_S14,EL	-17.4 p	-6.2 p	-11.1 p	0.0 p	11.2 p	6.1 p	13.7 p	1.4 p	14.3 p	6.3 p	15.8 p	18.7 p
CLV_PCH_SM,SCA,P311_S14,ES	13.9 p	10.8 p	7.6 p	10.1 p	6.2 p	5.8 p	4.6 p	2.1 p	5.2 p	7.2 p	: 	: 
CLV_PCH_SM,SCA,P311_S14,FI	3.5 	7.2 	3.5 	7.6 	6.9 	3.0 	5.5 	1.3 	2.5 	4.5 	6.2 	8.7 
CLV_PCH_SM,SCA,P311_S14,FR	4.7 	4.6 	7.7 	8.7 	2.6 	4.3 	0.9 	1.9 	7.2 	4.7 	3.9 	3.1 
CLV_PCH_SM,SCA,P311_S14,IE	24.3 	23.4 	15.5 	12.7 	11.5 	11.4 	1.1 	2.6 	3.7 	4.2 	2.9 	3.6 
CLV_PCH_SM,SCA,P311_S14,IT	9.7 	7.1 	8.0 	5.4 	3.3 	4.9 	6.0 	3.8 	6.0 	4.5 	2.2 	3.2 
CLV_PCH_SM,SCA,P311_S14,LT	10.7 	13.7 	9.9 	9.7 	10.4 	12.6 	17.8 	17.1 	13.6 	12.6 	7.4 	6.4 
CLV_PCH_SM,SCA,P311_S14,LU	1.8 	0.2 	-11.1 	-11.7 	-11.9 	-10.9 	0.5 	2.7 	3.2 	2.2 	3.8 	3.3 
CLV_PCH_SM,SCA,P311_S14,LV	6.6 	2.4 	1.4 	0.3 	-0.4 	1.2 	2.6 	3.8 	6.0 	6.6 	7.0 	7.2 
CLV_PCH_SM,SCA,P311_S14,MT	13.3 	18.0 	5.3 	4.5 	-0.3 	-2.1 	4.8 	5.0 	3.0 	-3.4 	0.9 	0.3 
CLV_PCH_SM,SCA,P311_S14,NL	5.6 	3.6 	-2.8 p	2.5 p	0.0 p	0.1 p	5.6 p	6.5 p	6.9 p	1.0 p	10.7 p	8.2 p
CLV_PCH_SM,SCA,P311_S14,NO	2.8 	1.1 	2.4 	-2.0 	-0.1 	0.7 	1.2 	5.1 	5.1 	6.1 	0.3 	3.7 
CLV_PCH_SM,SCA,P311_S14,PL	4.3 	12.5 	8.0 	3.6 	7.3 	-1.1 	-2.2 	3.2 	3.5 	15.8 	32.9 	35.8 
CLV_PCH_SM,SCA,P311_S14,PT	12.0 	10.7 	14.4 	9.3 	7.6 	13.2 	7.1 	5.0 	8.8 	5.6 	3.3 	9.0 
CLV_PCH_SM,SCA,P311_S14,SE	12.4 	12.6 	11.3 	10.9 	6.1 	5.1 	5.6 	3.3 	3.2 	2.4 	0.5 	10.2 
CLV_PCH_SM,SCA,P311_S14,SI	9.1 	8.6 	13.0 	13.8 	8.5 	11.6 	13.5 	13.8 	11.5 	12.0 	6.9 	10.0 
CLV_PCH_SM,SCA,P311_S14,UK	9.2 	8.4 	12.9 	11.6 	11.1 	9.7 	8.5 	2.1 	3.6 	4.3 	1.2 	6.0 
CLV_PCH_SM,SCA,P312_S14,CZ	3.1 	7.2 	6.3 	4.0 	6.2 	4.0 	8.4 	11.2 	10.0 	10.6 	6.6 	6.3 
CLV_PCH_SM,SCA,P312_S14,DE	0.5 	0.8 	4.1 	4.2 	2.7 	5.3 	5.2 	3.3 	6.4 	2.6 	0.0 	2.2 
CLV_PCH_SM,SCA,P312_S14,DK	-2.3 	1.0 	2.5 	5.4 	2.7 	2.7 	0.5 	-0.2 	2.9 	0.9 	1.2 	2.6 
CLV_PCH_SM,SCA,P312_S14,EE	5.8 	1.8 	5.7 	5.0 	1.2 	5.4 	3.8 	2.5 	8.1 	5.1 	2.9 	6.2 
CLV_PCH_SM,SCA,P312_S14,FI	0.0 	1.6 	0.4 	1.5 	2.4 	1.1 	1.3 	2.3 	2.7 	4.4 	5.0 	4.7 
CLV_PCH_SM,SCA,P312_S14,FR	2.8 	0.0 	-0.1 	-1.0 	-2.4 	1.2 	1.6 	0.9 	4.1 	1.5 	0.2 	1.7 
CLV_PCH_SM,SCA,P312_S14,IE	9.6 	8.6 	4.4 	1.8 	0.8 	0.8 	8.4 	10.2 	11.3 	12.0 	2.7 	3.7 
CLV_PCH_SM,SCA,P312_S14,IT	2.2 	4.0 	1.6 	2.1 	1.2 	-0.5 	2.0 	0.6 	1.1 	1.0 	2.9 	1.9 
CLV_PCH_SM,SCA,P312_S14,LU	4.1 	4.1 	-3.2 	-1.3 	-2.2 	0.2 	0.4 	-0.4 	1.1 	-2.0 	4.7 	3.9 
CLV_PCH_SM,SCA,P312_S14,LV	8.5 	5.4 	4.0 	2.1 	1.3 	3.2 	3.3 	3.8 	6.5 	5.9 	5.7 	5.8 
CLV_PCH_SM,SCA,P312_S14,MT	16.3 	10.4 	5.2 	1.1 	-3.5 	1.0 	4.2 	11.1 	11.9 	10.1 	9.8 	3.4 
CLV_PCH_SM,SCA,P312_S14,NL	7.2 	0.8 	-1.9 p	1.7 p	-1.4 p	3.9 p	4.4 p	4.1 p	6.8 p	1.3 p	0.9 p	2.0 p
CLV_PCH_SM,SCA,P312_S14,NO	1.0 	-0.6 	-0.3 	-1.6 	-0.7 	2.2 	-0.2 	1.6 	3.8 	0.8 	2.9 	4.2 
CLV_PCH_SM,SCA,P312_S14,SE	7.3 	5.9 	5.5 	2.7 	2.2 	2.9 	1.6 	2.1 	2.8 	1.7 	0.3 	2.0 
CLV_PCH_SM,SCA,P312_S14,UK	4.9 	6.8 	4.7 	2.5 	2.0 	1.3 	4.5 	5.6 	5.0 	4.6 	2.1 	1.4 
CLV_PCH_SM,SCA,P313_S14,CZ	3.1 	5.7 	3.8 	2.6 	3.0 	2.5 	2.3 	3.8 	3.3 	3.1 	4.2 	2.8 
CLV_PCH_SM,SCA,P313_S14,DE	1.8 	1.1 	1.4 	0.3 	0.7 	1.6 	1.0 	3.5 	1.7 	1.3 	1.7 	-0.3 
CLV_PCH_SM,SCA,P313_S14,DK	1.6 	1.0 	3.3 	-0.5 	-1.0 	2.6 	0.5 	2.2 	0.3 	-1.2 	1.4 	0.8 
CLV_PCH_SM,SCA,P313_S14,EE	2.2 	1.4 	3.3 	2.1 	1.8 	1.3 	-1.0 	-0.3 	-1.0 	-0.6 	1.6 	1.6 
CLV_PCH_SM,SCA,P313_S14,FI	0.8 	2.0 	2.5 	1.2 	0.3 	0.4 	-0.9 	0.0 	-0.2 	-0.4 	0.7 	0.1 
CLV_PCH_SM,SCA,P313_S14,FR	1.2 	0.9 	0.6 	0.8 	0.4 	1.5 	0.0 	0.4 	0.6 	-0.2 	0.7 	-1.0 
CLV_PCH_SM,SCA,P313_S14,IE	5.6 	5.1 	5.2 	4.2 	3.2 	3.5 	-3.6 	-3.2 	-1.9 	-1.7 	2.5 	3.8 
CLV_PCH_SM,SCA,P313_S14,IT	2.0 	1.6 	1.3 	0.3 	-0.2 	0.0 	0.6 	0.5 	0.5 	0.4 	-0.3 	0.0 
CLV_PCH_SM,SCA,P313_S14,LU	-4.7 	-4.9 	0.0 	1.9 	1.5 	3.8 	0.0 	-0.6 	1.3 	-2.1 	2.1 	1.3 
CLV_PCH_SM,SCA,P313_S14,LV	2.2 	0.2 	1.3 	0.7 	0.1 	2.4 	3.2 	4.3 	7.0 	6.6 	6.1 	5.9 
CLV_PCH_SM,SCA,P313_S14,MT	3.3 	-2.8 	1.0 	-0.2 	-2.4 	4.6 	4.8 	1.8 	4.4 	0.2 	0.0 	2.9 
CLV_PCH_SM,SCA,P313_S14,NL	0.9 	1.1 	1.1 p	-1.7 p	2.8 p	2.7 p	-0.3 p	2.5 p	1.4 p	0.1 p	3.9 p	1.5 p
CLV_PCH_SM,SCA,P313_S14,NO	1.0 	0.4 	1.4 	-0.2 	-0.7 	-0.4 	-0.1 	1.1 	1.4 	2.1 	1.4 	1.2 
CLV_PCH_SM,SCA,P313_S14,SE	1.1 	1.5 	4.6 	1.6 	1.3 	1.9 	-0.9 	1.7 	0.4 	1.0 	4.0 	0.9 
CLV_PCH_SM,SCA,P313_S14,UK	1.5 	0.3 	1.6 	1.7 	1.0 	3.6 	1.1 	2.1 	2.6 	2.1 	2.5 	0.8 
CLV_PCH_SM,SCA,P314_S14,CZ	3.0 	1.8 	2.5 	2.3 	2.9 	3.2 	3.0 	3.5 	3.0 	3.3 	3.5 	3.4 
CLV_PCH_SM,SCA,P314_S14,DE	1.7 	1.4 	1.6 	1.8 	1.2 	1.2 	1.8 	1.2 	1.3 	1.0 	1.0 	1.4 
CLV_PCH_SM,SCA,P314_S14,DK	2.6 	2.5 	1.9 	2.4 	2.5 	2.8 	3.0 	2.0 	0.7 	0.3 	0.4 	1.1 
CLV_PCH_SM,SCA,P314_S14,EE	1.7 	1.2 	3.2 	2.1 	3.2 	3.2 	2.3 	3.8 	4.0 	3.6 	3.6 	3.8 
CLV_PCH_SM,SCA,P314_S14,FI	1.5 	1.9 	1.1 	1.8 	1.6 	1.9 	2.6 	1.3 	1.4 	1.9 	1.1 	2.2 
CLV_PCH_SM,SCA,P314_S14,FR	1.0 	1.0 	1.7 	1.4 	1.7 	1.9 	1.8 	1.9 	1.9 	1.8 	1.6 	1.5 
CLV_PCH_SM,SCA,P314_S14,IE	0.7 	0.1 	4.0 	2.8 	2.0 	2.2 	2.0 	2.8 	4.0 	4.9 	2.7 	3.5 
CLV_PCH_SM,SCA,P314_S14,IT	1.9 	1.9 	1.7 	1.2 	1.2 	1.0 	1.6 	2.0 	1.9 	1.7 	1.0 	0.9 
CLV_PCH_SM,SCA,P314_S14,LU	3.8 	3.9 	3.4 	5.4 	4.7 	7.2 	5.9 	5.1 	6.8 	3.5 	4.1 	3.2 
CLV_PCH_SM,SCA,P314_S14,LV	4.5 	2.3 	2.1 	1.0 	-0.7 	1.4 	0.8 	1.7 	3.8 	3.1 	3.5 	3.7 
CLV_PCH_SM,SCA,P314_S14,MT	6.1 	5.9 	6.5 	3.1 	1.6 	3.7 	7.1 	8.3 	8.4 	8.4 	8.3 	9.9 
CLV_PCH_SM,SCA,P314_S14,NL	1.7 	1.5 	2.3 p	1.4 p	1.8 p	1.6 p	1.5 p	2.3 p	1.9 p	2.1 p	2.5 p	2.7 p
CLV_PCH_SM,SCA,P314_S14,NO	4.0 	3.7 	3.3 	2.1 	1.9 	1.8 	2.0 	2.9 	3.0 	2.8 	2.3 	2.2 
CLV_PCH_SM,SCA,P314_S14,SE	3.2 	3.3 	2.9 	3.4 	3.3 	3.0 	3.4 	2.7 	2.5 	2.8 	2.2 	2.9 
CLV_PCH_SM,SCA,P314_S14,UK	0.8 	1.8 	2.0 	2.2 	2.8 	2.3 	2.3 	2.1 	0.8 	0.8 	1.0 	1.1 
CLV_PCH_SM,SCA,P31_S14,AT	0.5 	0.5 	0.6 	1.1 	1.8 	2.0 	2.0 	1.6 	1.7 	1.5 	2.1 	2.2 
CLV_PCH_SM,SCA,P31_S14,BE	1.3 	0.9 	0.8 	1.6 	1.6 	1.6 	1.5 	1.3 	1.2 	1.0 	1.1 	0.6 
CLV_PCH_SM,SCA,P31_S14,BG	3.3 	4.3 	4.7 	3.2 	3.2 	4.9 	4.4 	5.1 	4.1 	3.1 	2.7 p	4.6 p
CLV_PCH_SM,SCA,P31_S14,CZ	3.7 	4.2 	4.0 	2.9 	3.6 	3.2 	3.4 	4.8 	4.3 	4.3 	4.5 	3.6 
CLV_PCH_SM,SCA,P31_S14,DE	2.0 	1.4 	2.1 	1.9 	1.6 	2.0 	2.1 	2.4 	2.2 	1.6 	1.4 	1.0 
CLV_PCH_SM,SCA,P31_S14,DK	1.9 	2.0 	2.6 	2.5 	1.6 	2.7 	2.2 	2.2 	0.8 	1.0 	1.8 	1.8 
CLV_PCH_SM,SCA,P31_S14,EE	3.3 	2.0 	4.1 	2.8 	2.6 	3.0 	1.3 	2.2 	2.5 	2.2 	3.2 	3.3 
CLV_PCH_SM,SCA,P31_S14,EL	-1.5 p	-1.4 p	-2.0 p	-2.3 p	0.0 p	0.8 p	1.2 p	1.6 p	1.5 p	0.4 p	1.4 p	1.7 p
CLV_PCH_SM,SCA,P31_S14,ES	3.3 	3.2 	3.1 p	3.4 p	2.8 p	2.9 p	2.7 p	2.8 p	3.0 p	2.6 p	3.0 p	2.2 p
CLV_PCH_SM,SCA,P31_S14,FI	1.3 	2.5 	1.6 	2.6 	1.6 	1.1 	2.0 	0.5 	1.3 	1.8 	1.5 	2.5 
CLV_PCH_SM,SCA,P31_S14,FR	1.5 	1.2 	1.7 	1.6 	1.1 	1.9 	1.2 	1.4 	2.1 	1.4 	1.4 	0.9 
CLV_PCH_SM,SCA,P31_S14,IE	4.3 	3.6 	4.9 	4.0 	2.9 	3.1 	1.3 	1.1 	2.6 	3.3 	2.4 	3.9 
CLV_PCH_SM,SCA,P31_S14,IT	2.5 	2.4 	2.0 	1.3 	0.9 	0.9 	1.7 	1.6 	1.7 	1.4 	0.9 	0.9 
CLV_PCH_SM,SCA,P31_S14,LT	4.3 	4.0 	3.9 	4.9 	4.9 	5.2 	5.1 	3.8 	2.6 	2.8 	3.4 	4.8 
CLV_PCH_SM,SCA,P31_S14,LU	0.7 	0.7 	0.3 	2.3 	1.7 	4.0 	3.3 	2.5 	4.4 	1.0 	3.5 	2.7 
CLV_PCH_SM,SCA,P31_S14,LV	4.0 	1.7 	1.9 	1.0 	-0.2 	1.9 	2.2 	3.2 	5.3 	4.9 	5.1 	5.3 
CLV_PCH_SM,SCA,P31_S14,MT	6.8 	5.2 	4.6 	1.9 	-0.1 	3.0 	6.0 	6.6 	6.9 	4.9 	5.2 	6.5 
CLV_PCH_SM,SCA,P31_S14,NL	2.3 	1.5 	1.1 p	0.6 p	1.7 p	2.0 p	1.6 p	2.9 p	2.6 p	1.4 p	3.4 p	2.8 p
CLV_PCH_SM,SCA,P31_S14,NO	2.7 	2.2 	2.3 	1.2 	0.9 	1.4 	1.1 	2.6 	2.9 	2.8 	1.9 	2.3 
CLV_PCH_SM,SCA,P31_S14,PL	2.6 	2.5 	3.1 	3.2 	4.4 	4.8 	4.8 	5.0 	4.7 	4.7 	4.6 	4.8 
CLV_PCH_SM,SCA,P31_S14,PT	2.0 	1.8 	3.0 	2.0 	2.7 	4.1 	3.3 	3.4 	3.5 	3.4 	3.2 	3.5 
CLV_PCH_SM,SCA,P31_S14,SE	3.8 	3.9 	4.1 	3.5 	2.9 	3.0 	2.1 	2.4 	2.0 	2.0 	2.4 	2.9 
