na_item,s_adj,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
P3_S13,SCA,MIO_EUR_SCA,AT	17025.5 	17246.3 	17378.5 	17430.6 	17593.6 	17849.3 	17973.6 	17998.2 	18189.8 	18160.0 	18338.7 	18657.3 
P3_S13,SCA,MIO_EUR_SCA,BE	24459.0 	24626.0 	24669.0 	24645.0 	24814.0 	25113.0 	25304.0 	25540.0 	25707.0 	25861.0 	25940.0 	26153.0 
P3_S13,SCA,MIO_EUR_SCA,BG	1789.3 	1841.6 	1778.6 	1818.8 	1926.4 	2022.8 	2034.1 	1981.1 	2043.8 	2052.4 	2151.7 p	2213.4 p
P3_S13,SCA,MIO_EUR_SCA,CH	18192.7 	18049.0 	17973.7 	18062.4 	18196.4 	18383.4 	18600.0 	18402.0 	17727.6 	17391.5 	17416.2 	17374.0 
P3_S13,SCA,MIO_EUR_SCA,CY	721.0 	707.0 	707.1 	692.9 	719.6 	709.7 	736.1 	748.5 	733.3 	750.6 	732.0 	745.7 
P3_S13,SCA,MIO_EUR_SCA,CZ	8274.9 	8304.4 	8319.1 	8456.3 	8566.9 	8639.5 	8744.5 	9055.1 	9319.9 	9708.1 	10230.6 	10217.2 
P3_S13,SCA,MIO_EUR_SCA,DE	147840.0 	149602.0 	152263.0 	153674.0 	154228.0 	155329.0 	157467.0 	158829.0 	160324.0 	162255.0 	162563.0 	164464.0 
P3_S13,SCA,MIO_EUR_SCA,DK	17472.8 	17375.8 	17494.5 	17731.4 	17758.5 	17497.2 	17916.2 	17969.1 	18087.3 	18161.6 	18255.9 	18300.9 
P3_S13,SCA,MIO_EUR_SCA,EA	544864.0 	547756.1 	551773.2 	554482.5 	556562.2 	560325.2 	563859.8 	567851.8 	571789.2 	576067.2 	577963.8 	584407.4 
P3_S13,SCA,MIO_EUR_SCA,EA19	544864.0 	547756.1 	551773.2 	554482.5 	556562.2 	560325.2 	563859.8 	567851.8 	571789.2 	576067.2 	577963.8 	584407.4 
P3_S13,SCA,MIO_EUR_SCA,EE	1047.7 	1059.3 	1073.4 	1097.6 	1109.0 	1115.1 	1135.6 	1157.5 	1179.7 	1212.9 	1219.9 	1238.1 
P3_S13,SCA,MIO_EUR_SCA,EL	8930.3 	9054.6 	8847.0 	8887.0 	8892.0 	8687.6 	8817.1 	8857.0 p	8891.8 p	8972.9 p	8973.7 p	8971.2 p
P3_S13,SCA,MIO_EUR_SCA,ES	52413.0 	52736.0 	52593.0 p	52799.0 p	52880.0 p	52969.0 p	53430.0 p	53709.0 p	54093.0 p	54458.0 p	54691.0 p	54955.0 p
P3_S13,SCA,MIO_EUR_SCA,EU28	761286.8 	763266.6 	761330.0 	762846.8 	756699.8 	759183.9 	766891.4 	771720.5 	773336.1 	780074.5 	785348.8 	792054.1 
P3_S13,SCA,MIO_EUR_SCA,FI	12769.0 	12845.0 	12911.0 	12836.0 	12759.0 	13056.0 	12716.0 	12800.0 	12918.0 	12799.0 	13059.0 	13144.0 
P3_S13,SCA,MIO_EUR_SCA,FR	130901.0 	131220.0 	131594.0 	131906.0 	132677.0 	133218.0 	134176.0 	134791.0 	135498.0 	135869.0 	136162.0 	136489.0 
P3_S13,SCA,MIO_EUR_SCA,HR	2225.6 	2218.2 	2224.8 	2263.8 	2290.0 	2274.3 	2335.5 	2389.5 	2417.7 	2407.0 	2475.1 	2527.9 
P3_S13,SCA,MIO_EUR_SCA,HU	5462.6 	5572.0 	5734.0 	5730.6 	5737.3 	5823.3 	5913.3 	6184.0 	6446.2 	6568.6 	6494.8 	6399.8 
P3_S13,SCA,MIO_EUR_SCA,IE	8049.2 	8166.1 	8224.0 	8299.5 	8449.8 	8492.8 	8705.1 	8833.4 	8969.2 	9114.6 	9168.6 	9288.7 
P3_S13,SCA,MIO_EUR_SCA,IT	78297.8 	77547.7 	79129.3 	78982.4 	79031.2 	79512.1 	79659.0 	79793.1 	80175.1 	80341.8 	80634.2 	83681.4 
P3_S13,SCA,MIO_EUR_SCA,LT	1621.3 	1662.6 	1627.7 	1646.0 	1655.0 	1684.3 	1704.6 	1718.0 	1735.5 	1757.1 	1793.9 	1824.2 
P3_S13,SCA,MIO_EUR_SCA,LU	2157.7 	2178.3 	2190.7 	2219.1 	2236.1 	2264.1 	2305.1 	2342.8 	2390.3 	2418.3 	2438.1 	2464.9 
P3_S13,SCA,MIO_EUR_SCA,LV	1098.3 	1096.4 	1113.3 	1107.8 	1133.4 	1159.1 	1183.3 	1200.4 	1212.8 	1236.1 	1261.9 	1295.1 
P3_S13,SCA,MIO_EUR_SCA,MT	420.1 	435.1 	436.0 	441.4 	388.7 	409.2 	425.0 	429.8 	447.1 	450.3 	462.5 	477.9 
P3_S13,SCA,MIO_EUR_SCA,NL	43289.8 	43181.1 	43234.5 p	43681.2 p	43931.5 p	44075.2 p	44000.0 p	44651.4 p	44866.8 p	45257.2 p	45929.6 p	45643.2 p
P3_S13,SCA,MIO_EUR_SCA,NO	20021.9 	19604.5 	19545.5 	20310.3 	20519.0 	21427.1 	21714.7 	21103.1 	21435.2 	21244.8 	21307.0 	21706.5 
P3_S13,SCA,MIO_EUR_SCA,PL	19133.7 	19485.1 	18726.7 	18948.8 	19232.7 	19046.0 	19822.3 	20469.7 	20588.4 	21060.1 	21543.4 	21515.4 
P3_S13,SCA,MIO_EUR_SCA,PT	8179.0 	8212.2 	8245.3 	8284.5 	8342.7 	8424.5 	8397.1 	8478.5 	8549.9 	8611.1 	8650.3 	8686.4 
P3_S13,SCA,MIO_EUR_SCA,RO	5848.3 	5502.5 	6034.5 p	6331.1 p	6215.0 p	6681.1 p	6838.4 p	6991.7 p	7450.9 p	7129.6 p	7490.2 p	7863.3 p
P3_S13,SCA,MIO_EUR_SCA,SE	28929.7 	29815.6 	30176.2 	30892.3 	30415.3 	30227.3 	31018.3 	30684.7 	31466.1 	30948.8 	30875.3 	30223.4 
P3_S13,SCA,MIO_EUR_SCA,SI	1809.1 	1837.7 	1875.4 	1887.6 	1906.4 	1921.6 	1940.4 	1939.5 	1963.8 	1992.6 	2014.8 	2080.5 
P3_S13,SCA,MIO_EUR_SCA,UK	126981.3 	125262.1 	118937.7 	116360.4 	108307.3 	106740.5 	108093.3 	107841.0 	103647.8 	105782.6 	107237.1 	108124.1 
