na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
P51G,PCH_Q1_SCA,AT	1.9 	-0.1 	2.6 	0.9 	-0.6 	1.9 	1.5 	0.9 	0.1 	1.1 	0.4 	2.1 
P51G,PCH_Q1_SCA,BE	2.7 	1.0 	1.7 	0.8 	7.7 	-5.8 	0.4 	1.0 	0.0 	0.8 	0.4 	0.9 
P51G,PCH_Q1_SCA,BG	3.5 	0.4 	-5.9 	-2.2 	-0.3 	-0.9 	1.2 	4.0 	-1.9 	3.2 	4.1 p	1.1 p
P51G,PCH_Q1_SCA,CH	0.5 	-0.1 	2.0 	1.1 	-0.2 	0.2 	2.1 	0.3 	0.9 	0.9 	1.2 	0.1 
P51G,PCH_Q1_SCA,CY	-9.8 	51.8 	-61.7 	328.8 	-52.7 	73.2 	-3.9 	-30.4 	1.4 	136.3 	-76.4 	167.1 
P51G,PCH_Q1_SCA,CZ	0.9 	0.5 	-3.5 	-3.3 	1.9 	0.4 	-0.4 	4.1 	1.1 	0.6 	4.2 	1.7 
P51G,PCH_Q1_SCA,DE	0.7 	2.5 	1.5 	-1.1 	0.7 	0.2 	2.0 	1.3 	0.4 	0.3 	1.4 	0.5 
P51G,PCH_Q1_SCA,DK	-0.1 	1.8 	1.5 	2.2 	0.9 	1.5 	-1.0 	3.0 	1.3 	1.7 	2.1 	8.6 
P51G,PCH_Q1_SCA,EA	-4.3 	2.7 	0.6 	1.3 	0.8 	1.4 	-0.7 	2.1 	-0.3 	1.5 	0.1 	1.4 
P51G,PCH_Q1_SCA,EA19	-4.3 	2.7 	0.6 	1.3 	0.8 	1.4 	-0.7 	2.1 	-0.3 	1.5 	0.1 	1.4 
P51G,PCH_Q1_SCA,EE	1.5 	9.1 	-0.4 	-3.3 	-2.3 	2.4 	19.4 	-1.8 	-3.6 	-9.3 	5.8 	7.0 
P51G,PCH_Q1_SCA,EL	3.2 	21.7 	-18.2 	9.9 	3.8 	-0.8 	3.4 	-5.1 	-5.8 p	39.5 p	-28.0 p	0.0 p
P51G,PCH_Q1_SCA,ES	1.0 	1.1 	-0.1 p	0.9 p	0.2 p	1.1 p	2.4 p	-0.2 p	2.3 p	0.6 p	1.1 p	3.5 p
P51G,PCH_Q1_SCA,EU28	-3.5 	2.7 	-0.3 	1.3 	0.9 	1.0 	-0.2 	2.1 	0.1 	1.3 	0.2 	1.2 
P51G,PCH_Q1_SCA,FI	0.4 	1.7 	3.6 	2.7 	0.7 	2.8 	0.4 	-0.6 	1.7 	0.0 	0.9 	1.9 
P51G,PCH_Q1_SCA,FR	1.1 	1.2 	1.1 	-0.1 	0.3 	0.9 	2.3 	0.8 	1.3 	1.0 	0.1 	0.8 
P51G,PCH_Q1_SCA,HR	2.5 	1.3 	1.4 	2.5 	-0.1 	2.8 	0.5 	0.4 	0.2 	0.9 	1.7 	0.2 
P51G,PCH_Q1_SCA,HU	-1.6 	7.3 	-20.5 	0.2 	7.0 	2.7 	6.1 	4.9 	3.1 	1.3 	6.1 	3.4 
P51G,PCH_Q1_SCA,IE	8.2 	38.5 	-6.5 	23.6 	0.0 	14.9 	-45.0 	44.2 	-38.4 	15.6 	-3.1 	-1.4 
P51G,PCH_Q1_SCA,IT	0.8 	0.2 	1.3 	-0.1 	2.1 	2.7 	-1.6 	1.4 	3.0 	1.6 	-1.1 	2.8 
P51G,PCH_Q1_SCA,LT	-3.2 	-4.4 	4.6 	2.0 	-3.1 	3.3 	0.9 	3.0 	0.9 	4.6 	-0.6 	2.4 
P51G,PCH_Q1_SCA,LU	1.8 	-6.1 	10.4 	5.3 	2.1 	5.6 	2.5 	2.6 	-14.8 	4.7 	-2.9 	-1.1 
P51G,PCH_Q1_SCA,LV	-6.5 	1.0 	-6.3 	-4.7 	3.4 	4.2 	2.2 	7.3 	1.7 	0.5 	9.8 	0.8 
P51G,PCH_Q1_SCA,MT	-0.5 	-6.7 	-12.6 	24.4 	-15.0 	14.6 	-11.3 	-17.2 	11.8 	22.9 	-25.4 	9.5 
P51G,PCH_Q1_SCA,NL	-46.9 	2.7 	2.1 p	3.0 p	0.8 p	-0.8 p	3.0 p	1.9 p	2.9 p	-1.1 p	2.6 p	1.1 p
