unit,s_adj,asset10,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CLV_PCH_PRE,SCA,N111G,AT	1.5 	1.1 	1.0 	-1.0 	1.2 	-0.1 	2.2 	2.1 	-1.3 	1.5 	0.3 	1.5 
CLV_PCH_PRE,SCA,N111G,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
CLV_PCH_PRE,SCA,N111G,BG	4.6 	0.9 	95.2 	0.3 	0.6 	1.4 	9.7 	6.8 	-0.5 	5.7 	6.0 p	2.7 p
CLV_PCH_PRE,SCA,N111G,CY	-4.2 	0.6 	7.4 	9.8 	11.1 	6.7 	5.7 	4.5 	1.5 	4.3 	2.1 	1.6 
CLV_PCH_PRE,SCA,N111G,CZ	1.8 	-1.8 	0.1 	4.7 	-0.8 	8.2 	-6.8 	5.4 	3.2 	-1.1 	5.5 	3.7 
CLV_PCH_PRE,SCA,N111G,DE	0.3 	1.9 	2.3 	0.3 	0.4 	1.4 	0.9 	1.9 	0.2 	-0.1 	1.7 	0.8 
CLV_PCH_PRE,SCA,N111G,DK	6.9 	3.3 	-0.1 	2.1 	-2.2 	1.2 	4.9 	2.9 	1.4 	1.5 	5.9 	0.7 
CLV_PCH_PRE,SCA,N111G,EA	1.1 	0.9 	1.6 	1.3 	1.6 	1.2 	0.9 	1.4 	1.1 	1.1 	0.9 	0.8 
CLV_PCH_PRE,SCA,N111G,EA19	1.1 	0.9 	1.6 	1.3 	1.6 	1.2 	0.9 	1.4 	1.1 	1.1 	0.9 	0.8 
CLV_PCH_PRE,SCA,N111G,EE	25.9 	7.5 	-3.9 	16.5 	-10.4 	1.5 	4.3 	-9.7 	18.0 	-7.4 	6.7 	15.8 
CLV_PCH_PRE,SCA,N111G,EL	-23.9 	5.5 	-3.7 	-1.2 	-3.2 	5.6 	-12.0 	5.2 	-5.0 p	1.1 p	9.8 p	-0.3 p
CLV_PCH_PRE,SCA,N111G,ES	0.8 	1.4 	2.7 p	1.6 p	1.5 p	2.0 p	2.5 p	2.9 p	2.0 p	1.6 p	2.6 p	0.7 p
CLV_PCH_PRE,SCA,N111G,EU28	1.2 	1.5 	1.3 	1.5 	1.6 	1.2 	1.7 	1.5 	1.1 	1.2 	1.2 	0.6 
CLV_PCH_PRE,SCA,N111G,FI	2.2 	3.1 	3.4 	2.1 	1.8 	1.4 	0.7 	1.8 	1.6 	1.9 	3.1 	1.7 
CLV_PCH_PRE,SCA,N111G,FR	0.4 	1.1 	0.2 	1.0 	0.9 	0.7 	1.5 	0.2 	0.7 	0.8 	0.8 	0.1 
CLV_PCH_PRE,SCA,N111G,IE	7.1 	2.9 	6.5 	9.0 	3.9 	-1.2 	9.4 	2.8 	4.3 	6.6 	1.1 	3.0 
CLV_PCH_PRE,SCA,N111G,IT	0.2 	0.9 	0.3 	0.3 	0.2 	0.5 	1.5 	0.3 	1.2 	1.5 	0.1 	0.7 
CLV_PCH_PRE,SCA,N111G,LT	1.2 	-4.2 	-34.2 	83.8 	-4.3 	16.4 	-25.6 	8.2 	-5.8 	3.3 	4.9 	-1.5 
CLV_PCH_PRE,SCA,N111G,LU	7.3 	0.2 	-7.0 	12.7 	-1.9 	10.3 	-10.5 	3.8 	0.9 	-2.8 	22.2 	-11.0 
CLV_PCH_PRE,SCA,N111G,LV	-33.2 	9.3 	-5.5 	-14.3 	13.1 	-21.0 	1.1 	12.7 	-5.6 	-9.1 	42.2 	-14.7 
CLV_PCH_PRE,SCA,N111G,MT	-5.8 	7.3 	-5.6 	19.3 	15.6 	32.5 	3.6 	1.8 	0.4 	4.3 	4.4 	6.4 
CLV_PCH_PRE,SCA,N111G,NL	3.6 	-10.1 	19.2 p	3.3 p	7.8 p	-0.6 p	5.4 p	1.4 p	-0.5 p	4.7 p	2.0 p	2.1 p
CLV_PCH_PRE,SCA,N111G,NO	1.2 	3.4 	-1.9 	3.9 	1.9 	3.1 	3.9 	-0.5 	0.9 	-5.4 	-2.6 	-4.6 
CLV_PCH_PRE,SCA,N111G,PT	0.1 	1.3 	0.6 	1.9 	3.4 	2.7 	-2.7 	1.1 	7.2 	1.7 	-6.5 	3.6 
CLV_PCH_PRE,SCA,N111G,SE	4.3 	6.5 	0.8 	-0.6 	3.6 	1.5 	5.0 	3.0 	2.3 	-0.6 	2.8 	-0.3 
CLV_PCH_PRE,SCA,N111G,SI	-1.1 	0.3 	-2.1 	2.2 	1.4 	1.4 	-1.1 	0.8 	2.3 	2.3 	0.4 	0.0 
CLV_PCH_PRE,SCA,N111G,UK	-0.1 d	2.2 d	3.2 d	1.2 d	1.7 d	1.5 d	4.2 d	0.4 d	0.4 d	2.2 d	0.0 d	-0.2 d
