s_adj,direct,sector,na_item,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
SCA,RECV,S1,B8G,MIO_EUR_SCA,AT	22967 	23376 	23811 	23359 	23924 	24462 	25000 	24886 	25222 	26084 	26652 	26387 
SCA,RECV,S1,B8G,MIO_EUR_SCA,BE	24045 	23917 	23692 	27631 	24942 	25286 	25244 	26844 	25830 	26208 	26020 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,BG	2800 	2754 	3091 	3570 	3224 	3408 	3404 p	3250 p	3557 p	3434 p	: 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,CY	607 	605 	479 	663 	486 	512 	559 	555 	563 	642 	623 	688 
SCA,RECV,S1,B8G,MIO_EUR_SCA,CZ	11395 	11808 	11117 	12851 	10893 	11068 	11754 	12073 	13386 	13121 	13399 	13052 
SCA,RECV,S1,B8G,MIO_EUR_SCA,DE	219458 	219827 	219827 	229029 	220180 	226583 	230407 	224669 	235986 	236369 	243948 	246057 
SCA,RECV,S1,B8G,MIO_EUR_SCA,DK	19952 	19100 	19284 	19427 	19177 	20639 	21864 	21377 	19936 	20602 	19963 	20012 
SCA,RECV,S1,B8G,MIO_EUR_SCA,EE	1361 	1291 	1256 	1267 	1326 	1361 	1516 	1533 	1547 	1635 	1676 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,EL	4863 p	4853 p	4750 p	4750 p	3956 p	4145 p	4557 p	4615 p	4754 p	4831 p	: 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,ES	57698 	59417 	61924 	63103 	63460 	64260 	64485 	66289 	67813 	69966 	67600 	68839 
SCA,RECV,S1,B8G,MIO_EUR_SCA,FI	11162 	12117 	11372 	11160 	11888 	11694 	12206 	12570 	12596 	13936 	13197 	13380 
SCA,RECV,S1,B8G,MIO_EUR_SCA,FR	122835 	125973 	123897 	120960 	120061 	119992 	126297 	128681 	131420 	134941 	133811 	132655 
SCA,RECV,S1,B8G,MIO_EUR_SCA,IE	17305 	21689 	23137 	22905 	19830 	29282 	21902 	22182 	26411 	29293 	28299 	29525 
SCA,RECV,S1,B8G,MIO_EUR_SCA,LT	1640 	1741 	1584 	1586 	1629 	1726 	1884 	1762 	2036 	2225 	2074 	1973 
SCA,RECV,S1,B8G,MIO_EUR_SCA,LV	1343 	1364 	1373 	1372 	1382 	1447 	1492 	1543 	1519 	1634 	1711 	1748 
SCA,RECV,S1,B8G,MIO_EUR_SCA,NL	49242 	49671 	48826 p	48869 p	50247 p	53843 p	55988 p	54261 p	59020 p	60047 p	58519 p	59937 p
SCA,RECV,S1,B8G,MIO_EUR_SCA,NO	30896 	27512 	26000 	26212 	26677 	30338 	30507 	29901 	29108 	29242 	30837 	33459 
SCA,RECV,S1,B8G,MIO_EUR_SCA,PL	21341 	21409 	21380 	22524 	19324 	21274 	22130 	22729 	24673 	23894 	26077 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,PT	7178 	6766 	7269 	7382 	7468 	7455 	8193 e	8438 e	8238 e	8394 e	9155 e	8508 e
SCA,RECV,S1,B8G,MIO_EUR_SCA,RO	9269 p	9884 p	9211 p	10018 p	10250 p	9964 p	: 	: 	: 	: 	: 	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,SE	33054 	33423 	33091 	33236 	33242 	33262 	34016 	35024 	35258 	34867 	34581 	33689 
SCA,RECV,S1,B8G,MIO_EUR_SCA,SI	2321 	2338 	2455 	2382 	2433 	2488 	2739 	2862 	3022 	3179 	3149 	3380 
SCA,RECV,S1,B8G,MIO_EUR_SCA,SK	4663 e	4632 e	4623 e	4517 e	4532 e	4961 e	4816 e	4947 e	4868 e	4832 e	4859 e	: 
SCA,RECV,S1,B8G,MIO_EUR_SCA,UK	85058 	66519 	73267 	73142 	69607 	73549 	81711 	74635 	78415 	78012 	78434 	79337 
