na_item,sector,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B9,S13,MIO_EUR,AT	-6790.5 	-3846.8 	-4392.5 	-15351.9 	-13141.6 	-7919.3 	-6975.5 	-6316.5 	-9092.0 	-3601.9 	-5622.5 	-2948.9 
B9,S13,MIO_EUR,BE	716.9 	225.4 	-3905.9 	-18774.9 	-14609.5 	-15898.8 	-16409.3 	-12281.2 	-12396.7 	-10076.2 	-10321.0 	-3873.1 
B9,S13,MIO_EUR,BG	495.7 	357.2 	591.4 	-1513.8 	-1190.3 	-812.8 	-134.2 	-151.5 	-2320.3 	-760.1 	87.3 	585.2 
B9,S13,MIO_EUR,CY	-166.9 	566.1 	164.6 	-1014.7 	-911.6 	-1122.1 	-1082.2 	-930.8 	-1577.4 	-236.4 	58.9 	344.2 
B9,S13,MIO_EUR,CZ	-2691.4 	-903.8 	-3193.5 	-8103.3 	-6566.1 	-4469.1 	-6344.3 	-1968.0 	-3288.8 	-1023.8 	1281.4 	2970.3 
B9,S13,MIO_EUR,DE	-41200.0 	4706.0 	-4531.0 	-79590.0 	-108904.0 	-25863.0 	-929.0 	-3967.0 	16693.0 	23856.0 	28746.0 	34008.0 
B9,S13,MIO_EUR,DK	11247.5 	11716.9 	7668.6 	-6471.5 	-6590.4 	-5095.8 	-8885.9 	-3197.3 	3041.4 	-3997.9 	-1134.3 	3180.2 
B9,S13,MIO_EUR,EA18	-133783.7 	-63002.6 	-207648.5 	-576979.4 	-590531.8 	-413464.5 	-360934.1 	-303603.9 	-252282.5 	-215396.7 	-168623.5 	-108191.5 
B9,S13,MIO_EUR,EA19	-133849.2 	-63239.4 	-208656.5 	-579432.0 	-592465.9 	-416260.4 	-361983.1 	-304516.3 	-252509.0 	-215494.1 	-168521.2 	-107985.3 
B9,S13,MIO_EUR,EE	393.0 	441.4 	-440.4 	-308.9 	27.6 	193.1 	-46.3 	-32.2 	137.6 	14.2 	-71.1 	-90.5 
B9,S13,MIO_EUR,EL	-12954.0 	-15607.0 	-24625.0 	-35966.0 	-25309.0 	-21280.0 	-16951.0 	-23765.0 	-6355.0 	-9941.0 	932.0 	1391.0 
B9,S13,MIO_EUR,ES	22175.0 	20792.0 	-49343.0 	-118194.0 	-101404.0 	-103214.0 	-108847.0 	-71687.0 	-61942.0 	-57004.0 	-49996.0 	-35903.0 
B9,S13,MIO_EUR,EU27	-197211.4 	-113929.4 	-324148.9 	-810278.9 	-818539.7 	-600491.8 	-572405.5 	-449109.6 	-404637.4 	-345866.7 	-250008.1 	-150669.4 
B9,S13,MIO_EUR,EU28	-198572.8 	-115003.4 	-325478.5 	-812982.5 	-821373.3 	-604016.5 	-574721.4 	-451421.0 	-406868.5 	-347401.6 	-250442.8 	-150246.4 
B9,S13,MIO_EUR,FI	6786.0 	9577.0 	8098.0 	-4577.0 	-4883.0 	-2056.0 	-4362.0 	-5315.0 	-6597.0 	-5782.0 	-3727.0 	-1542.0 
B9,S13,MIO_EUR,FR	-45163.0 	-51180.0 	-65026.0 	-138934.0 	-137410.0 	-106104.0 	-104043.0 	-86468.0 	-83941.0 	-79697.0 	-79089.0 	-61355.0 
B9,S13,MIO_EUR,HR	-1361.4 	-1074.0 	-1329.6 	-2703.5 	-2833.6 	-3524.6 	-2315.9 	-2311.3 	-2231.1 	-1535.0 	-434.7 	423.0 
B9,S13,MIO_EUR,HU	-8511.6 	-5133.5 	-3980.2 	-4278.1 	-4422.9 	-5485.4 	-2387.5 	-2663.1 	-2751.0 	-2109.1 	-1876.5 	-2746.5 
B9,S13,MIO_EUR,IE	5169.2 	569.7 	-13119.5 	-23467.0 	-53712.0 	-21876.6 	-14114.3 	-11026.6 	-7045.6 	-5014.4 	-1466.1 	-728.5 
B9,S13,MIO_EUR,IT	-54555.0 	-23577.0 	-42942.0 	-82548.0 	-67573.1 	-60231.0 	-47078.0 	-46893.0 	-49340.0 	-43153.0 	-42937.0 	-41060.0 
B9,S13,MIO_EUR,LT	-65.5 	-236.8 	-1008.0 	-2452.6 	-1934.1 	-2795.9 	-1049.0 	-912.4 	-226.5 	-97.4 	102.3 	206.2 
