na_item,sector,unit,geo\time	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
GD,S13,MIO_EUR,AT	292980.2 	291910.7 	297908.0 	297840.1 	291325.4 	295845.2 	292173.3 	294167.8 	292723.7 	289665.8 	289079.3 	289429.2 
GD,S13,MIO_EUR,BE	446522.0 	437541.0 	453124.0 	458459.0 	458024.0 	450390.0 	461507.0 	459491.0 	466502.0 	453994.0 	469920.0 	470933.0 
GD,S13,MIO_EUR,BG	11955.5 	11870.9 	13647.0 	13655.7 	13610.3 	14245.8 	14011.6 	14084.6 	13187.4 	13246.7 	12726.7 	12688.1 
GD,S13,MIO_EUR,CY	19371.7 	19163.9 	19327.5 	19241.3 	19909.9 	19509.3 	19636.8 	19854.7 	19536.4 	18814.0 	18531.3 	20931.8 
GD,S13,MIO_EUR,CZ	67245.7 	67951.6 	68666.3 	68210.2 	67060.8 	64945.2 	71182.9 	73427.0 	66947.3 	68515.1 	72068.7 	70285.3 
GD,S13,MIO_EUR,DE	2163327.0 	2159746.0 	2168305.0 	2171800.0 	2165378.0 	2143904.0 	2117281.0 	2111075.0 	2104519.0 	2092781.0 	2069912.0 	2052296.0 
GD,S13,MIO_EUR,DK	111859.0 	108496.2 	107224.2 	108849.2 	107031.0 	105325.1 	103544.1 	104803.3 	105383.4 	104106.2 	104137.1 	103327.5 
GD,S13,MIO_EUR,EA18	9482755.4 	9451538.3 	9646225.3 	9717986.0 	9655185.7 	9627753.8 	9731807.3 	9789628.5 	9778261.3 	9714907.2 	9805329.1 	9826785.7 
GD,S13,MIO_EUR,EA19	9496889.5 	9467477.8 	9661261.5 	9733140.3 	9670915.4 	9643269.2 	9747240.9 	9806393.3 	9794419.5 	9731521.4 	9820706.0 	9842005.1 
GD,S13,MIO_EUR,EE	2038.5 	2034.9 	2016.5 	1987.8 	1981.5 	1986.8 	1965.4 	1957.5 	1995.8 	2063.7 	2045.6 	2033.1 
GD,S13,MIO_EUR,EL	303909.0 	311725.0 	309100.0 	315273.0 	311216.0 	315011.0 	310661.0 	309091.0 	313495.0 	317414.0 	322568.0 	323378.0 
GD,S13,MIO_EUR,ES	1068350.0 	1073934.0 	1096895.0 	1107059.0 	1108433.0 	1107220.0 	1126273.0 	1135138.0 	1133377.0 	1144425.0 	1160736.0 	1163885.0 
GD,S13,MIO_EUR,EU27	12457201.9 	12481582.8 	12494918.1 	12526991.0 	12381476.8 	12418278.0 	12528653.2 	12553390.1 	12527337.9 	12512668.3 	12595622.3 	12616565.0 
GD,S13,MIO_EUR,EU28	12494392.4 	12518789.3 	12532249.3 	12564007.4 	12418954.5 	12455543.9 	12567950.1 	12591197.1 	12565255.6 	12550745.6 	12633408.9 	12655023.9 
GD,S13,MIO_EUR,FI	127743.0 	133206.0 	135469.0 	131096.0 	131966.0 	136150.0 	137073.0 	136173.0 	134547.0 	137278.0 	135436.0 	135807.0 
GD,S13,MIO_EUR,FR	2107094.0 	2101221.0 	2176289.0 	2209455.0 	2201121.0 	2188349.0 	2251388.0 	2274036.0 	2269205.0 	2257765.0 	2294645.0 	2299842.0 
GD,S13,MIO_EUR,HR	37193.3 	37209.5 	37334.1 	37019.4 	37480.7 	37268.9 	39299.9 	37810.0 	37920.7 	38080.3 	37789.7 	38461.8 
GD,S13,MIO_EUR,HU	85100.2 	83348.7 	86186.4 	84798.7 	86704.7 	86861.2 	89231.4 	89630.2 	89252.6 	90534.2 	92183.3 	89563.7 
GD,S13,MIO_EUR,IE	203543.7 	201624.1 	207218.7 	200420.5 	202494.3 	200677.8 	208565.8 	211274.0 	210969.3 	201289.9 	210199.5 	214945.1 
GD,S13,MIO_EUR,IT	2193981.4 	2173402.7 	2231749.4 	2252476.2 	2214699.2 	2219581.2 	2261190.5 	2290358.3 	2292076.5 	2263479.2 	2302766.1 	2323642.8 
GD,S13,MIO_EUR,LT	14134.1 	15939.6 	15036.3 	15154.3 	15729.7 	15515.4 	15433.5 	16764.8 	16158.2 	16614.1 	15376.8 	15219.4 
GD,S13,MIO_EUR,LU	11343.5 	11446.9 	11656.4 	11507.9 	11422.6 	11024.4 	12805.8 	12641.4 	12801.4 	12697.1 	12474.4 	12551.1 
GD,S13,MIO_EUR,LV	8887.9 	8953.3 	8913.8 	9651.1 	9435.9 	10091.6 	9954.0 	10278.3 	10077.2 	10806.8 	9764.8 	10385.8 
GD,S13,MIO_EUR,MT	5646.8 	5585.5 	5809.0 	5819.8 	5784.3 	5734.9 	5897.4 	5861.8 	5837.9 	5670.6 	5718.9 	5735.0 
GD,S13,MIO_EUR,NL	451583.0 	446058.0 	446531.0 	442373.0 	433510.0 	438418.0 	426814.0 	424720.0 	416081.0 	419778.0 	411482.0 	407894.0 
GD,S13,MIO_EUR,NO	101347.8 	103009.6 	107309.9 	116722.2 	119186.3 	121062.1 	127881.4 	120156.6 	121296.4 	120695.2 	124911.3 	126398.0 
GD,S13,MIO_EUR,PL	215469.0 	216516.8 	221312.0 	221273.8 	227409.2 	228831.6 	240391.8 	241127.1 	235505.5 	240768.0 	244951.3 	235984.0 
GD,S13,MIO_EUR,PT	232231.7 	231512.6 	233264.5 	239828.8 	244350.4 	240962.6 	243476.2 	249098.9 	249231.0 	242804.5 	246013.5 	246767.3 
GD,S13,MIO_EUR,RO	57629.3 	59494.1 	59538.8 	59429.7 	60438.0 	62911.0 	63395.4 	65089.2 	64063.4 	64647.1 	64804.5 	65590.1 
GD,S13,MIO_EUR,SE	193027.6 	202004.9 	195212.7 	197297.2 	188770.1 	194479.0 	193980.3 	191099.4 	185637.1 	189917.2 	171726.1 	171216.8 
GD,S13,MIO_EUR,SI	32196.5 	32087.4 	32522.0 	32340.7 	32654.6 	31753.4 	32924.3 	33290.1 	33307.3 	31859.1 	32995.7 	32307.9 
GD,S13,MIO_EUR,SK	41635.4 	41295.0 	41035.7 	42265.9 	42388.0 	42053.2 	43679.5 	42780.2 	43037.2 	43229.8 	43749.2 	45359.8 
